Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Indian Lake,Dane,1249000,SC,13,,133419,SE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190697,03/22/1987,6,NO,1.8,,,51,,,,,,GREEN,
8190697,04/01/1987,4,NO,1.2,,,57,,,,,,GREEN,
8190697,04/04/1987,4,NO,1.2,,,57,,,,,,GREEN,
8190697,05/16/1987,2.75,NO,0.8,,,63,,,,,,GREEN,
8190697,06/27/1987,1.75,NO,0.5,,,69,,,,,,BROWN,
8190697,09/13/1987,1.5,NO,0.5,,,71,,,,,,BROWN,
8189854,05/21/1988,5,NO,1.5,,,54,,,,,,BROWN,2-Very minor aesthetic problems
8189854,06/05/1988,3.75,NO,1.1,,,58,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189854,06/10/1988,3,NO,0.9,,,61,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189854,06/26/1988,2.75,NO,0.8,,,63,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189854,07/10/1988,1.5,NO,0.5,,,71,,,,,,GREEN,4-Would not swim but boating OK (algae)
8189854,07/23/1988,1.75,NO,0.5,,,69,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189854,08/11/1988,2,NO,0.6,,,67,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189854,08/22/1988,2,NO,0.6,,,67,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189854,09/06/1988,2,NO,0.6,,,67,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189854,06/04/1989,6,NO,1.8,,,51,,,,,,BROWN,2-Very minor aesthetic problems
8189854,06/26/1989,3,NO,0.9,,,61,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189854,07/01/1989,2.5,NO,0.8,,,64,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189854,07/10/1989,1.75,NO,0.5,,,69,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189854,07/15/1989,2.5,NO,0.8,,,64,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189854,07/30/1989,2.25,NO,0.7,,,65,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189854,08/06/1989,1.75,NO,0.5,,,69,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189854,08/13/1989,1.75,NO,0.5,,,69,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189854,08/22/1989,2,NO,0.6,,,67,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189854,08/30/1989,2.75,NO,0.8,,,63,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189854,09/07/1989,3.5,NO,1.1,,,59,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
