Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lyman Lake,Douglas,2856400,NO,16,,163123,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,01/29/1973,,,,,30,,54,,,,,,
1,07/09/1973,,,,,40,,57,,,,,,
1,05/14/1974,,,,,50,,58,,,,,,
1,08/13/1974,,,,,20,,51,,,,,,
1,10/22/1974,,,,,120,,65,,,,,,
1,02/05/1975,,,,,140,,66,,,,,,
82607229,07/17/2017,2,NO,0.6,6.72,44,67,57,49,,,CLEAR,BROWN,
10585221,08/09/2017,2.5,NO,0.8,14,49.7,64,58,55,,,CLEAR,BROWN,
10585221,09/05/2017,3,NO,0.9,11.5,56.4,61,59,53,,,MURKY,BROWN,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
01/29/1973,,,0,C,2.9,MG/L
07/09/1973,,,23.3889,C,5.4,MG/L
05/14/1974,,,45.5,C,8.8,MG/L
08/13/1974,,,18.6111,C,6.6,MG/L
10/22/1974,,,44,C,10.7,MG/L
02/05/1975,,,3.33333,C,4,MG/L
07/17/2017,0,FEET,71.5,DEGREES F,6.76,MG/L
07/17/2017,1,FEET,71.3,DEGREES F,6.74,MG/L
07/17/2017,2,FEET,71.3,DEGREES F,6.74,MG/L
07/17/2017,3,FEET,71.2,DEGREES F,6.71,MG/L
07/17/2017,4,FEET,71.2,DEGREES F,6.7,MG/L
07/17/2017,5,FEET,71,DEGREES F,6.66,MG/L
07/17/2017,6,FEET,70.9,DEGREES F,6.64,MG/L
07/17/2017,7,FEET,70.7,DEGREES F,6.59,MG/L
07/17/2017,8,FEET,70.3,DEGREES F,6.15,MG/L
07/17/2017,9,FEET,68.2,DEGREES F,3.56,MG/L
07/17/2017,10,FEET,68,DEGREES F,3.66,MG/L
07/17/2017,11,FEET,57.7,DEGREES F,3.49,MG/L
07/17/2017,12,FEET,57.2,DEGREES F,2.6,MG/L
07/17/2017,13,FEET,56.9,DEGREES F,1.89,MG/L
08/09/2017,0,FEET,72.6,DEGREES F,7.4,MG/L
08/09/2017,1,FEET,72.5,DEGREES F,7.4,MG/L
08/09/2017,2,FEET,72.4,DEGREES F,7.39,MG/L
08/09/2017,3,FEET,72.4,DEGREES F,7.35,MG/L
08/09/2017,4,FEET,72.3,DEGREES F,7.32,MG/L
08/09/2017,5,FEET,72.2,DEGREES F,7.27,MG/L
08/09/2017,6,FEET,71.7,DEGREES F,6.89,MG/L
08/09/2017,7,FEET,70.5,DEGREES F,5.65,MG/L
08/09/2017,8,FEET,69,DEGREES F,3.68,MG/L
08/09/2017,9,FEET,69.1,DEGREES F,3.65,MG/L
08/09/2017,10,FEET,69.3,DEGREES F,3.48,MG/L
09/05/2017,0,FEET,64.8,DEGREES F,7.15,MG/L
09/05/2017,1,FEET,64.8,DEGREES F,7.14,MG/L
09/05/2017,2,FEET,64.8,DEGREES F,7.15,MG/L
09/05/2017,3,FEET,64.8,DEGREES F,7.15,MG/L
09/05/2017,4,FEET,64.7,DEGREES F,7.13,MG/L
09/05/2017,5,FEET,64.6,DEGREES F,7.11,MG/L
09/05/2017,6,FEET,64.5,DEGREES F,7.13,MG/L
09/05/2017,7,FEET,64.1,DEGREES F,6.81,MG/L
09/05/2017,8,FEET,63.7,DEGREES F,6.74,MG/L
09/05/2017,9,FEET,63.6,DEGREES F,6.75,MG/L
09/05/2017,10,FEET,63.5,DEGREES F,6.71,MG/L
09/05/2017,11,FEET,62.9,DEGREES F,6.65,MG/L



Start Date,Fieldwork Comment
01/29/1973,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
07/09/1973,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
05/14/1974,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
08/13/1974,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
10/22/1974,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
02/05/1975,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    




Start Date,Group Name,Project Name
01/29/1973,Data Collectors,Migrated from STORET Legacy
07/09/1973,Data Collectors,Migrated from STORET Legacy
05/14/1974,Data Collectors,Migrated from STORET Legacy
08/13/1974,Data Collectors,Migrated from STORET Legacy
10/22/1974,Data Collectors,Migrated from STORET Legacy
02/05/1975,Data Collectors,Migrated from STORET Legacy
07/17/2017,Mark Sundeen and Alex Smith,West District Follow Up Monitoring for Impairment Decisions 2017 
08/09/2017,MARK SUNDEEN,West District Follow Up Monitoring for Impairment Decisions 2017 
09/05/2017,MARK SUNDEEN,West District Follow Up Monitoring for Impairment Decisions 2017 
