Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Unnamed,Douglas,2693500,NO,16,,163237,NW,
Bond Lake,Douglas,2693700,NO,16,,163237,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190323,08/19/1991,17.25,NO,5.2,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190323,09/06/1991,18,NO,5.5,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190323,10/02/1991,18.5,NO,5.6,,,35,,,,,CLEAR,BLUE,
8190323,05/01/1992,13.5,NO,4.1,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190323,05/15/1992,17,NO,5.2,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190323,05/29/1992,17,NO,5.2,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190323,06/14/1992,20,NO,6.1,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190323,06/28/1992,17,NO,5.2,,,36,,,,,CLEAR,BLUE,
8190323,07/12/1992,16.5,NO,5,,,37,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190323,07/26/1992,15,NO,4.6,,,38,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190323,08/14/1992,15.5,NO,4.7,,,38,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190323,08/28/1992,15.5,NO,4.7,,,38,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190323,09/11/1992,15.5,NO,4.7,,,38,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190323,09/25/1992,16.25,NO,4.9,,,37,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190323,10/11/1992,16.75,NO,5.1,,,37,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
