Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Leader Lake,Douglas,2693800,NO,16,,163238,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189810,07/01/1991,12.75,NO,3.9,,,40,,,DOWN 3-4',,,,2-Very minor aesthetic problems
8189810,07/08/1991,15,NO,4.6,,,38,,,DOWN 3-4',,CLEAR,BLUE,1-Beautiful, could not be nicer
8189810,07/25/1991,14.75,NO,4.5,,,38,,,DOWN 3-4',,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,08/11/1991,19.75,NO,6,,,34,,,DOWN 3',,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,09/05/1991,17.5,NO,5.3,,,36,,,DOWN 3',,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,09/14/1991,20,NO,6.1,,,34,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,10/01/1991,19.5,NO,5.9,,,34,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,04/27/1992,13,NO,4,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189810,05/26/1992,29,NO,8.8,,,29,,,1FOOT ABOVE NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,06/05/1992,25.5,NO,7.8,,,30,,,8-10"ABOVE,,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,06/22/1992,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,07/10/1992,14.5,NO,4.4,,,39,,,1 FOOT ABOVE,,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,07/13/1992,16.5,NO,5,,,37,,,12"ABOVE LAST YR.,,,GREEN,2-Very minor aesthetic problems
8189810,08/18/1992,13,NO,4,,,40,,,DOWN FROM JULY,,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,08/28/1992,16.5,NO,5,,,37,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,09/20/1992,22.5,NO,6.8,,,32,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,10/02/1992,20.5,NO,6.2,,,34,,,DOWN 1",,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,10/24/1992,16.75,NO,5.1,,,37,,,DOWN 1",,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,04/21/1993,15,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,05/05/1993,15.5,NO,4.7,,,38,,,2-3' ABOVE LAST FALL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,05/25/1993,23.5,NO,7.1,,,32,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,07/07/1993,16.5,NO,5,,,37,,,HIGH,,,BLUE,2-Very minor aesthetic problems
8189810,08/10/1993,20,NO,6.1,,,34,,,4" LOWER THAN LAST MONTH,,CLEAR,BLUE,2-Very minor aesthetic problems
1,08/31/1993,,,,,10,,46,,,,,,
8189810,08/31/1993,16.5,NO,5,2.39,,37,,41,DOWN 4",,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,10/20/1993,18,NO,5.5,2.12,,35,,40,DOWN 12" FROM SUMMER HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,07/13/1994,15,NO,4.6,2.11,9,38,45,40,DOWN FROM 93,,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,08/29/1994,20,NO,6.1,1.93,10,34,46,40,,,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,10/31/1994,14,NO,4.3,0.92,26,39,53,34,,,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,05/11/1995,16,NO,4.9,3.62,11,37,47,45,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190673,06/21/1995,17,NO,5.2,0.57,,36,,31,DOWN 4",,CLEAR,BLUE,2-Very minor aesthetic problems
8190673,07/26/1995,15,NO,4.6,0.04,7,38,43,10,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190673,09/05/1995,17,NO,5.2,1.28,,36,,37,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,07/02/1996,13,NO,4,2.12,,40,,40,HIGH,,CLEAR,GREEN,
8189810,08/12/1996,12.5,NO,3.8,1.95,,41,,40,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8189810,09/18/1996,14,NO,4.3,2.76,7,39,43,42,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189810,05/28/1997,14,NO,4.3,,32,39,55,,,,,GREEN,2-Very minor aesthetic problems
8189810,07/30/1997,15,NO,4.6,1.46,,38,,38,HIGH,,,BLUE,2-Very minor aesthetic problems
1,10/29/1997,15.5,,4.7,1.19,29,38,54,36,,,,,
8189810,10/29/1997,15.5,NO,4.7,,,38,,,HIGH,,,BLUE,2-Very minor aesthetic problems
8189810,05/19/1998,25,NO,7.6,,,31,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189810,05/20/1998,,,,,11,,47,,,,,,
8189810,07/22/1998,21,NO,6.4,1.29,16,33,50,37,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189810,08/11/1998,19,NO,5.8,1.15,7,35,43,36,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189810,09/28/1998,14.5,NO,4.4,2.06,13,39,48,40,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189810,10/28/1998,13,NO,4,4.84,9,40,45,47,,,CLEAR,GREEN,2-Very minor aesthetic problems
8189810,05/14/1999,25,NO,7.6,,,31,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189810,06/29/1999,15.5,NO,4.7,2.64,9,38,45,42,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189810,07/28/1999,21,NO,6.4,0.52,9,33,45,30,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189810,09/28/1999,16.5,NO,5,2,8,37,44,40,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189810,10/26/1999,9,NO,2.7,,,45,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8190673,04/25/2000,15.5,NO,4.7,,,38,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189810,05/19/2000,30,NO,9.1,,,28,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8190673,06/25/2000,17,NO,5.2,,,36,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8190673,06/26/2000,,,,1,10,,46,35,,,,,
8190673,07/11/2000,17,NO,5.2,,,36,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8190673,07/27/2000,16.5,NO,5,,,37,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
1,07/31/2000,,,,1,11,,47,35,,,,,
8190673,08/12/2000,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8190673,08/28/2000,15.5,NO,4.7,,,38,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8190673,09/12/2000,20,NO,6.1,1,,34,,35,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8190673,10/16/2000,24,NO,7.3,,,31,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189810,05/30/2001,13.5,NO,4.1,,11,40,47,,HIGH,,CLEAR,GREEN,
8189810,06/27/2001,20,NO,6.1,,,34,,,,,CLEAR,GREEN,
8189810,07/11/2001,16,NO,4.9,1,,37,,35,NORMAL,,CLEAR,GREEN,
8189810,07/15/2001,15,NO,4.6,,,38,,,,,CLEAR,GREEN,
8189810,07/31/2001,13,NO,4,,,40,,,,,CLEAR,GREEN,
8189810,08/18/2001,15,NO,4.6,,,38,,,,,CLEAR,GREEN,
8189810,08/27/2001,20,NO,6.1,1,8,34,44,35,NORMAL,,CLEAR,GREEN,
8189810,08/31/2001,21,NO,6.4,,,33,,,,,CLEAR,GREEN,
8189810,09/24/2001,20.5,NO,6.2,3.3,6,34,42,44,NORMAL,,CLEAR,GREEN,
8189810,10/02/2001,20.5,NO,6.2,,,34,,,,,CLEAR,GREEN,
8189810,10/19/2001,21,NO,6.4,,,33,,,,,CLEAR,GREEN,
8189810,05/25/2002,20,NO,6.1,,,34,,,HIGH,,CLEAR,GREEN,
8189810,07/12/2002,16.5,NO,5,,,37,,,HIGH,,CLEAR,GREEN,
8189810,07/24/2002,,NO,,1.58,8,,44,38,HIGH,,CLEAR,GREEN,
8189810,08/13/2002,17,NO,5.2,,,36,,,HIGH,,CLEAR,GREEN,
8189810,08/28/2002,16,NO,4.9,1.6,8,37,44,38,HIGH,,CLEAR,GREEN,
8189810,09/12/2002,22,NO,6.7,,,33,,,HIGH,,CLEAR,GREEN,
8189810,09/17/2002,17.5,NO,5.3,1.43,12,36,47,38,HIGH,,CLEAR,GREEN,
8189810,09/26/2002,18,NO,5.5,,,35,,,HIGH,,CLEAR,GREEN,
8189810,05/17/2003,25,NO,7.6,,,31,,,NORMAL,,CLEAR,GREEN,
8189810,06/24/2003,22,NO,6.7,,,33,,,NORMAL,,CLEAR,GREEN,
8189810,06/30/2003,19,NO,5.8,1.61,11,35,47,38,,,CLEAR,GREEN,
8189810,07/23/2003,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,
8189810,07/28/2003,18,NO,5.5,1.92,9,35,45,40,LOW,,CLEAR,GREEN,
8189810,08/26/2003,,,,1.69,7,,43,39,,,,,
8189810,08/27/2003,24,NO,7.3,,,31,,,LOW,,CLEAR,GREEN,
8189810,09/05/2003,22,NO,6.7,,,33,,,LOW,,CLEAR,GREEN,
8189810,10/19/2003,21,NO,6.4,,,33,,,LOW,,CLEAR,GREEN,
8189810,08/31/2004,,,,1.66,8,,44,39,,,,,
8191324,07/28/2005,,,,1.82,13,,48,39,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191324,08/03/2005,14.25,NO,4.3,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191324,08/14/2005,18.5,NO,5.6,,,35,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191324,08/22/2005,17.25,NO,5.2,1.9,9,36,45,40,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191324,09/23/2005,17,NO,5.2,2.91,10,36,46,43,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191324,10/10/2005,17.25,NO,5.2,2.22,9,36,45,41,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191324,05/18/2006,23,NO,7,,,32,,,HIGH,,CLEAR,GREEN,
8191324,05/24/2006,30,NO,9.1,,,28,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191324,06/10/2006,18.5,NO,5.6,2,7,35,43,40,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191324,06/26/2006,17.75,NO,5.4,1.06,9,36,45,35,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8191324,07/20/2006,17.75,NO,5.4,0.95,8,36,44,34,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191324,08/21/2006,16.5,NO,5,1.01,8,37,44,35,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191324,09/06/2006,17.75,NO,5.4,1.51,10,36,46,38,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8191324,09/24/2006,17,NO,5.2,1.37,11,36,47,37,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
