Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Whitefish Lake,Douglas,2694000,NO,16,,163388,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,03/04/1998,,,,,,,,,,,,,
1,04/21/1998,,,,1.08,,,,35,,,,,
1,06/10/1998,,,,1.85,,,,39,,,,,
1,07/09/1998,,,,0.8,5,,41,33,,,,,
1,08/12/1998,,,,1.01,,,,35,,,,,
1,03/03/1999,,,,,,,,,,,,,
1,04/14/1999,,,,0.53,,,,30,,,,,
8189392,04/14/1999,29.75,NO,9,,,28,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189393,05/14/1999,27,NO,8.2,,,30,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189393,05/26/1999,30,NO,9.1,,,28,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188630,06/02/1999,,,,1.81,,,,39,,,,,
1,07/14/1999,,,,1.25,,,,36,,,,,
8189392,07/14/1999,20.25,NO,6.2,,,34,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188630,08/16/1999,,,,0.74,,,,33,,,,,
8188630,03/03/2000,,,,,6,,42,,,,,,
8188630,04/12/2000,,,,1.07,8,,44,35,,,,,
8189392,04/12/2000,21.5,NO,6.5,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,05/02/2000,35,NO,10.6,,,26,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,05/04/2000,39,NO,11.9,,,24,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,05/26/2000,32,NO,9.7,,,27,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,06/07/2000,27,NO,8.2,,,30,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188630,06/08/2000,,,,1,0,,,35,,,,,
8189392,06/27/2000,23,NO,7,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/11/2000,23,NO,7,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188630,07/13/2000,,,,1,6,,42,35,,,,,
8189392,07/22/2000,21,NO,6.4,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/10/2000,,,,1.5,,,,38,,,,,
8189392,09/10/2000,18,NO,5.5,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188630,03/02/2001,,,,,50,,58,,,,,,
8188630,05/03/2001,,,,3.3,,,,44,,,,,
8189392,05/23/2001,37,NO,11.2,,,25,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,06/07/2001,31,NO,9.4,,,28,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188630,06/13/2001,,,,1.1,6,,42,36,,,,,
8189392,07/02/2001,23,NO,7,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/05/2001,27,NO,8.2,,,30,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/11/2001,26,NO,7.9,,,30,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188630,07/12/2001,,,,1,,,,35,,,,,
8189392,07/18/2001,28.5,NO,8.7,,,29,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,08/13/2001,26,NO,7.9,,,30,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/14/2001,,,,1.2,6,,42,36,,,,,
8189392,06/07/2002,40,NO,12.2,,,24,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,06/17/2002,32,NO,9.7,,,27,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/11/2002,23,NO,7,,,32,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/18/2002,22,NO,6.7,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/24/2002,18,NO,5.5,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/29/2002,23,NO,7,,,32,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,08/04/2002,20,NO,6.1,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,08/19/2002,20,NO,6.1,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,08/20/2002,20,NO,6.1,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,05/27/2003,38,NO,11.6,,,25,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,06/09/2003,28,NO,8.5,,,29,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,06/23/2003,26.5,NO,8.1,,,30,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/28/2003,24,NO,7.3,,,31,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,08/04/2003,21,NO,6.4,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,08/12/2003,22,NO,6.7,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,08/18/2003,21.5,NO,6.5,,,33,,,NORMAL,27,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,09/09/2003,25,NO,7.6,,,31,,,NORMAL,27,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,10/10/2003,28,NO,8.5,,,29,,,LOW,27,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,05/25/2004,25,NO,7.6,,,31,,,NORMAL,,,,1-Beautiful, could not be nicer
8189392,06/03/2004,37,NO,11.2,,,25,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,06/15/2004,33,NO,10,,,27,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/15/2004,23,NO,7,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/20/2004,25,NO,7.6,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,08/16/2004,26,NO,7.9,,,30,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,09/07/2004,17,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,10/06/2004,18,NO,5.5,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188630,04/20/2005,,,,5.3,,,,47,,,,,
8191347,05/10/2005,15,NO,4.6,,,38,,,NORMAL,,,,1-Beautiful, could not be nicer
8191347,05/24/2005,30,NO,9.1,,,28,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188630,06/15/2005,,,,0.98,,,,35,,,,,
8191347,06/20/2005,34,NO,10.3,,,26,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191347,07/07/2005,33,NO,10,,,27,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
