Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Whitefish Lake,Douglas,2694000,NO,16,,163389,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,03/04/1998,,,,,,,,,,,,,
1,04/21/1998,,,,1.13,,,,36,,,,,
1,06/10/1998,,,,1.9,,,,40,,,,,
1,07/09/1998,,,,1.17,5,,41,36,,,,,
1,08/12/1998,,,,1.57,,,,38,,,,,
8189392,09/28/1998,22.25,NO,6.8,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,10/27/1998,21.25,NO,6.5,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,03/03/1999,,,,,,,,,,,,,
1,04/14/1999,,,,0.49,,,,29,,,,,
8189392,04/14/1999,30.25,NO,9.2,,,28,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,04/24/1999,21.5,NO,6.5,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,05/26/1999,35,NO,10.6,,,26,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,06/02/1999,,,,1.43,,,,38,,,,,
8189392,06/17/1999,28,NO,8.5,,,29,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,06/24/1999,29,NO,8.8,,,29,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/11/1999,23,NO,7,,,32,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,07/14/1999,,,,0.64,,,,31,,,,,
8189392,07/14/1999,23,NO,7,,,32,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/21/1999,23,NO,7,,,32,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188630,08/16/1999,,,,0.95,,,,34,,,,,
8189392,08/26/1999,25.5,NO,7.8,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,09/02/1999,20.25,NO,6.2,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188630,03/03/2000,,,,,7,,43,,,,,,
8188630,04/12/2000,,,,1,10,,46,35,,,,,
8189392,04/12/2000,21.5,YES,6.5,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,05/02/2000,35,NO,10.6,,,26,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,05/04/2000,39,NO,11.9,,,24,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,05/26/2000,32,NO,9.7,,,27,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,06/07/2000,28,NO,8.5,,,29,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,06/08/2000,,,,1,0,,,35,,,,,
8189392,06/27/2000,25,NO,7.6,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/11/2000,24,NO,7.3,,,31,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,07/13/2000,,,,1,6,,42,35,,,,,
8189392,07/13/2000,27.25,NO,8.3,,,30,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/22/2000,24,NO,7.3,,,31,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/30/2000,25.5,NO,7.8,,,30,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/31/2000,27.5,NO,8.4,1,7,29,43,35,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/10/2000,,,,1,,,,35,,,,,
8189392,08/28/2000,25,NO,7.6,1.4,6,31,42,37,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,09/02/2000,21,NO,6.4,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,09/10/2000,23,NO,7,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,09/25/2000,,,,1.3,6,,42,37,,,,,
8189392,10/13/2000,26,NO,7.9,,,30,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,03/02/2001,,,,,,,,,,,,,
1,05/03/2001,,,,1.8,6,,42,39,,,,,
8189392,05/23/2001,37,NO,11.2,,,25,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,05/30/2001,,,,,,,,,,,,,
8189392,06/07/2001,34,NO,10.3,,,26,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188630,06/13/2001,,,,1,6,,42,35,,,,,
8189392,07/02/2001,24,NO,7.3,1,6,31,42,35,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/05/2001,30,NO,9.1,,,28,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/11/2001,28.5,NO,8.7,,,29,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188630,07/12/2001,,,,1,,,,35,,,,,
8189392,07/18/2001,31,NO,9.4,,,28,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189392,07/30/2001,27.5,NO,8.4,1.6,5,29,41,38,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
