Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Altoona Lake,Eau Claire,2128100,WC,18,,184002,SW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8188631,08/09/1979,,,,30.73,59,,60,61,,,,,
8188631,07/24/2012,,,,,,,,,,,,,
10589084,07/24/2012,2,NO,0.6,45.3,144,67,67,64,,,,,
8188631,08/15/2012,,,,,,,,,,,,,
10589084,08/15/2012,1.6,NO,0.5,70.5,139,70,66,67,,,,,
8188631,09/12/2012,,,,,,,,,,,,,
10589084,09/12/2012,1.6,NO,0.5,42.5,157,70,67,63,,,,,
10589084,05/08/2013,3,NO,0.9,,84.3,61,62,,,,,,
83263526,07/06/2013,1.75,NO,0.5,,,69,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
10589084,07/09/2013,2.95,N,0.9,37,121,62,65,62,,,,,
83263526,07/29/2013,2.25,NO,0.7,,,65,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
10589084,08/06/2013,3.3,NO,1,,,60,,,,,,,
83263526,08/24/2013,3.25,NO,1,,,60,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
10589084,09/04/2013,2.13,N,0.6,52.4,152,65,67,65,,,,,
83263526,05/10/2014,3,NO,0.9,,,61,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
83263526,07/27/2014,2.75,NO,0.8,,,63,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
83263526,08/01/2014,2.75,NO,0.8,,,63,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
83263526,08/30/2014,3,NO,0.9,,,61,,,HIGH,,MURKY,GREEN,4-Would not swim but boating OK (algae)
83263526,04/18/2015,3.75,NO,1.1,,,58,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
83263526,06/27/2015,3.25,NO,1,,,60,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
83263526,07/24/2015,2.75,NO,0.8,,,63,,,HIGH,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
83263526,08/29/2015,3.25,NO,1,,,60,,,HIGH,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
83263526,09/26/2015,3.75,NO,1.1,,,58,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
83263526,05/07/2016,3.5,NO,1.1,,,59,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
83263526,06/24/2016,2.5,NO,0.8,,,64,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
83263526,07/23/2016,3.75,NO,1.1,,,58,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
83263526,09/04/2016,2.75,NO,0.8,,,63,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
83263526,06/26/2017,2.5,NO,0.8,,,64,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/09/1979,,,,,.1,MG/L
07/24/2012,0,METERS,27.32,DEGREES C,9.48,MG/L
07/24/2012,1,METERS,27.06,DEGREES C,8.16,MG/L
07/24/2012,2,METERS,26.96,DEGREES C,6.7,MG/L
07/24/2012,3,METERS,25.78,DEGREES C,2.75,MG/L
07/24/2012,4,METERS,24.76,DEGREES C,.76,MG/L
08/15/2012,0,METERS,23.35,DEGREES C,11.75,MG/L
08/15/2012,1,METERS,23.31,DEGREES C,11.85,MG/L
08/15/2012,2,METERS,22.55,DEGREES C,8.3,MG/L
08/15/2012,3,METERS,22.25,DEGREES C,7.85,MG/L
08/15/2012,4,METERS,22.02,DEGREES C,5.57,MG/L
09/12/2012,0,METERS,20.62,DEGREES C,8.45,MG/L
09/12/2012,1,METERS,20.64,DEGREES C,7.98,MG/L
09/12/2012,2,METERS,20.63,DEGREES C,7.92,MG/L
09/12/2012,3,METERS,20.63,DEGREES C,7.87,MG/L
09/12/2012,4,METERS,20.6,DEGREES C,7.61,MG/L
09/12/2012,5,METERS,19.84,DEGREES C,5.84,MG/L
05/08/2013,0,METERS,16.5,DEGREES C,11.25,MG/L
05/08/2013,1,METERS,12.99,DEGREES C,10.78,MG/L
05/08/2013,2,METERS,11.82,DEGREES C,10.48,MG/L
05/08/2013,3,METERS,10.44,DEGREES C,10.37,MG/L
05/08/2013,4,METERS,9.67,DEGREES C,10.34,MG/L
07/06/2013,3,FEET,77,DEGREES F,8.55,MG/L
07/06/2013,6,FEET,76,DEGREES F,8.35,MG/L
07/06/2013,9,FEET,73,DEGREES F,6.3,MG/L
07/06/2013,12,FEET,70,DEGREES F,1.95,MG/L
07/06/2013,15,FEET,69,DEGREES F,1.2,MG/L
07/06/2013,17.6,FEET,69,DEGREES F,.92,MG/L
07/09/2013,0,METERS,27.16,DEGREES C,9.66,MG/L
07/09/2013,1,METERS,26.48,DEGREES C,9.4,MG/L
07/09/2013,2,METERS,25.99,DEGREES C,8.63,MG/L
07/09/2013,3,METERS,24.1,DEGREES C,5.51,MG/L
07/09/2013,4,METERS,22.52,DEGREES C,3.33,MG/L
07/09/2013,,,27.2,C,9.7,MG/L
07/29/2013,3,FEET,71,DEGREES F,8.73,MG/L
07/29/2013,6,FEET,70,DEGREES F,8.45,MG/L
07/29/2013,9,FEET,67,DEGREES F,7.56,MG/L
07/29/2013,12,FEET,66,DEGREES F,6.48,MG/L
07/29/2013,15,FEET,67,DEGREES F,4.46,MG/L
07/29/2013,17.6,FEET,67,DEGREES F,1.2,MG/L
08/24/2013,3,FEET,76,DEGREES F,13.3,MG/L
08/24/2013,6,FEET,75,DEGREES F,11.1,MG/L
08/24/2013,9,FEET,72,DEGREES F,5.7,MG/L
08/24/2013,12,FEET,69,DEGREES F,1.8,MG/L
08/24/2013,15,FEET,68,DEGREES F,.2,MG/L
08/24/2013,17.6,FEET,66,DEGREES F,.2,MG/L
09/04/2013,0,METERS,24.82,DEGREES C,12.59,MG/L
09/04/2013,1,METERS,23.66,DEGREES C,11.62,MG/L
09/04/2013,2,METERS,23.2,DEGREES C,8.95,MG/L
09/04/2013,3,METERS,23,DEGREES C,7.12,MG/L
09/04/2013,4,METERS,21.85,DEGREES C,5.25,MG/L
09/04/2013,5,METERS,20.9,DEGREES C,.6,MG/L
