Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Loon Lake,Florence,672700,NO,19,,193016,NE,DRAINED



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190563,05/21/1994,39.5,NO,12,,,24,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190563,06/04/1994,18.5,NO,5.6,,,35,,,,,,GREEN,2-Very minor aesthetic problems
8190563,06/18/1994,10.5,NO,3.2,,,43,,,,,,GREEN,2-Very minor aesthetic problems
8190563,06/24/1994,5,NO,1.5,,,54,,,GAUGE,1.28,CLEAR,BROWN,1-Beautiful, could not be nicer
8190563,06/26/1994,8.75,NO,2.7,,,46,,,,,,GREEN,2-Very minor aesthetic problems
8190563,07/19/1994,11,NO,3.3,,,43,,,,,,GREEN,
8190563,07/23/1994,11.5,NO,3.5,,,42,,,,,,GREEN,
8190563,07/31/1994,10.5,NO,3.2,,,43,,,,,,GREEN,2-Very minor aesthetic problems
8190563,08/07/1994,13.75,NO,4.2,,,39,,,,,,GREEN,2-Very minor aesthetic problems
8190563,08/21/1994,9.75,NO,3,,,44,,,,,,GREEN,2-Very minor aesthetic problems
8190563,09/03/1994,12.75,NO,3.9,,,40,,,,,,GREEN,2-Very minor aesthetic problems
8190563,05/06/1995,13,NO,4,,,40,,,,,,GREEN,2-Very minor aesthetic problems
8190563,05/29/1995,18.5,NO,5.6,,,35,,,,,,GREEN,2-Very minor aesthetic problems
8190563,07/07/1995,18,NO,5.5,,,35,,,,,,GREEN,2-Very minor aesthetic problems
8190563,07/29/1995,16.5,NO,5,,,37,,,,,,GREEN,2-Very minor aesthetic problems
8190563,08/06/1995,14,NO,4.3,,,39,,,,,,GREEN,2-Very minor aesthetic problems
8190563,08/18/1995,13.5,NO,4.1,,,40,,,,,,GREEN,
8190563,05/27/1996,13.5,NO,4.1,,,40,,,,,,GREEN,2-Very minor aesthetic problems
8190563,06/12/1996,14.5,NO,4.4,,,39,,,,,,GREEN,2-Very minor aesthetic problems
8190563,07/04/1996,14.5,NO,4.4,,,39,,,,,,GREEN,2-Very minor aesthetic problems
8190563,07/21/1996,16.25,NO,4.9,,,37,,,,,,GREEN,2-Very minor aesthetic problems
8190563,05/10/1997,9.25,NO,2.8,,19,45,51,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190563,05/26/1997,18,NO,5.5,,,35,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190563,06/20/1997,24,NO,7.3,1.13,51,31,59,36,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190563,07/06/1997,16.75,NO,5.1,,,37,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190563,07/17/1997,21.5,NO,6.5,,,33,,,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190563,07/20/1997,20.5,NO,6.2,1.77,39,34,57,39,,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190563,08/23/1997,15.5,NO,4.7,2.53,18,38,51,42,,,CLEAR,GREEN,2-Very minor aesthetic problems
8190563,11/08/1997,9,NO,2.7,14.2,28,45,54,55,,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8190563,05/10/1998,16,NO,4.9,,17,37,50,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190563,05/31/1998,15,NO,4.6,,,38,,,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190563,06/21/1998,13,NO,4,1.71,13,40,48,39,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190563,07/17/1998,12.25,NO,3.7,1.25,9,41,45,36,NO CHANGE,,CLEAR,GREEN,2-Very minor aesthetic problems
8190563,08/09/1998,15.75,NO,4.8,,,37,,,NO CHANGE,,CLEAR,GREEN,2-Very minor aesthetic problems
8190563,09/07/1998,14.75,NO,4.5,3.53,21,38,52,44,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190563,10/30/1998,19.5,NO,5.9,4.68,15,34,49,46,NO CHANGE,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190563,05/16/1999,19.5,NO,5.9,,13,34,48,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190563,06/05/1999,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190563,07/11/1999,10,NO,3,2.79,10,44,46,43,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8190563,07/22/1999,7.5,NO,2.3,,,48,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8190563,08/06/1999,10,NO,3,2.43,18,44,51,42,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8190563,08/29/1999,13,NO,4,,,40,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8190563,09/05/1999,12.5,NO,3.8,4,15,41,49,45,NORMAL,,CLEAR,YELLOW,3-Enjoyment somewhat impaired (algae)
