Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Sea Lion Lake,Florence,672300,NO,19,,193039,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,02/18/1993,,,,,15,,49,,,,,,
7000093,03/30/1993,,,,,40,,57,,,,,,
1,05/13/1993,20,,6.1,1.1,6,34,42,36,,,,,
1,06/29/1993,22,,6.71,1.77,4,33,39,39,,,,,
1,07/28/1993,12.8,,3.89,2.31,11,40,47,41,,,,,
1,08/25/1993,15.5,,4.72,1.05,5,38,41,35,,,,,
8188730,05/24/2004,30,NO,9.1,,11,28,47,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188730,08/16/2004,18,NO,5.5,1.33,10,35,46,37,,,CLEAR,BLUE,1-Beautiful, could not be nicer
18136776,08/14/2007,15,,4.6,,,38,,,,,,,
29575558,06/18/2009,,,,,,,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
35006126,05/19/2010,27.5,NO,8.4,,,29,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
47598699,06/29/2011,12.75,NO,3.9,,,40,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
81678457,06/18/2013,20,NO,6.1,,,34,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
129140005,06/02/2017,,,,,28.4,,54,,,,,,
129140005,07/07/2017,,,,,11.6,,47,,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
02/18/1993,,,3.0,C,0.8,MG/L
05/13/1993,,,16.3,C,1.5,MG/L
06/29/1993,,,20.5,C,2.8,MG/L
07/28/1993,,,24.0,C,0.2,MG/L
08/25/1993,,,1.8,C,0.0,MG/L
05/24/2004,0,FEET,13.8,DEGREES C,9.1,MG/L
05/24/2004,3,FEET,13.8,DEGREES C,9.1,MG/L
05/24/2004,6,FEET,13.8,DEGREES C,9.1,MG/L
05/24/2004,9,FEET,13.8,DEGREES C,9.1,MG/L
05/24/2004,12,FEET,13.2,DEGREES C,9.3,MG/L
05/24/2004,15,FEET,12.9,DEGREES C,9.6,MG/L
05/24/2004,18,FEET,9.9,DEGREES C,10.2,MG/L
05/24/2004,21,FEET,8.4,DEGREES C,9.6,MG/L
05/24/2004,24,FEET,7.2,DEGREES C,7.7,MG/L
05/24/2004,27,FEET,6.8,DEGREES C,5.8,MG/L
05/24/2004,30,FEET,6.1,DEGREES C,4.8,MG/L
05/24/2004,33,FEET,5.8,DEGREES C,3,MG/L
05/24/2004,36,FEET,5.3,DEGREES C,1.9,MG/L
05/24/2004,39,FEET,5,DEGREES C,.3,MG/L
05/24/2004,42,FEET,4.9,DEGREES C,.1,MG/L
05/24/2004,45,FEET,4.8,DEGREES C,.1,MG/L
05/24/2004,48,FEET,4.5,DEGREES C,.1,MG/L
05/24/2004,51,FEET,4.4,DEGREES C,.1,MG/L
05/24/2004,54,FEET,4.4,DEGREES C,.1,MG/L
05/24/2004,57,FEET,4.4,DEGREES C,.1,MG/L
05/24/2004,60,FEET,4.3,DEGREES C,.1,MG/L
05/24/2004,63,FEET,4.3,DEGREES C,.1,MG/L
05/24/2004,66,FEET,4.3,DEGREES C,.1,MG/L
08/16/2004,0,FEET,20.9,DEGREES C,8.9,MG/L
08/16/2004,3,FEET,20.7,DEGREES C,8.9,MG/L
08/16/2004,6,FEET,20.4,DEGREES C,9,MG/L
08/16/2004,9,FEET,20.3,DEGREES C,8.8,MG/L
08/16/2004,12,FEET,20,DEGREES C,8.9,MG/L
08/16/2004,15,FEET,19.7,DEGREES C,8.9,MG/L
08/16/2004,18,FEET,16.6,DEGREES C,10,MG/L
08/16/2004,21,FEET,13.2,DEGREES C,8,MG/L
08/16/2004,24,FEET,11.7,DEGREES C,5.1,MG/L
08/16/2004,27,FEET,9.8,DEGREES C,3,MG/L
08/16/2004,30,FEET,8.2,DEGREES C,.4,MG/L
08/16/2004,33,FEET,7.1,DEGREES C,.3,MG/L
08/16/2004,36,FEET,6.9,DEGREES C,.4,MG/L
08/16/2004,39,FEET,6.3,DEGREES C,.4,MG/L
08/16/2004,42,FEET,5.9,DEGREES C,.2,MG/L
08/16/2004,45,FEET,5.5,DEGREES C,.2,MG/L
08/16/2004,48,FEET,5.3,DEGREES C,.2,MG/L
08/16/2004,51,FEET,5.1,DEGREES C,.2,MG/L
08/16/2004,54,FEET,5,DEGREES C,.2,MG/L
08/16/2004,57,FEET,5,DEGREES C,.2,MG/L
08/16/2004,60,FEET,5,DEGREES C,.2,MG/L
08/16/2004,63,FEET,5,DEGREES C,.2,MG/L
08/16/2004,66,FEET,5,DEGREES C,.2,MG/L
08/16/2004,69,FEET,5,DEGREES C,.2,MG/L
08/16/2004,72,FEET,5,DEGREES C,.2,MG/L
06/18/2009,3,FEET,21.2,DEGREES C,9.07,MG/L
06/18/2009,6,FEET,20.4,DEGREES C,9.58,MG/L
06/18/2009,9,FEET,18.1,DEGREES C,9.87,MG/L
06/18/2009,12,FEET,17.1,DEGREES C,9.65,MG/L
06/18/2009,15,FEET,16.2,DEGREES C,9.28,MG/L
06/18/2009,18,FEET,15,DEGREES C,8.75,MG/L
06/18/2009,21,FEET,11.5,DEGREES C,4.88,MG/L
06/18/2009,24,FEET,9.5,DEGREES C,1.64,MG/L
06/18/2009,27,FEET,8.1,DEGREES C,.38,MG/L
06/18/2009,30,FEET,7.3,DEGREES C,.31,MG/L
06/18/2009,33,FEET,6.6,DEGREES C,.18,MG/L
06/18/2009,36,FEET,6.3,DEGREES C,.09,MG/L
06/18/2009,39,FEET,6,DEGREES C,.05,MG/L
06/18/2009,42,FEET,5.7,DEGREES C,.03,MG/L
06/18/2009,45,FEET,5.4,DEGREES C,.02,MG/L
06/18/2009,48,FEET,5.3,DEGREES C,.01,MG/L
06/18/2009,51,FEET,5.2,DEGREES C,.01,MG/L
06/18/2009,54,FEET,5.1,DEGREES C,0,MG/L
06/18/2009,57,FEET,5.1,DEGREES C,0,MG/L
06/18/2009,60,FEET,5.1,DEGREES C,,
06/18/2009,63,FEET,5.1,DEGREES C,,
06/18/2009,66,FEET,5,DEGREES C,,
06/18/2009,69,FEET,5,DEGREES C,,
06/18/2009,72,FEET,5,DEGREES C,,
06/18/2009,75,FEET,5,DEGREES C,,
06/18/2009,78,FEET,5,DEGREES C,,
06/18/2009,81,FEET,5,DEGREES C,,
05/19/2010,0,FEET,66.4,DEGREES F,9.23,MG/L
05/19/2010,3,FEET,63,DEGREES F,9.89,MG/L
05/19/2010,6,FEET,61,DEGREES F,10.21,MG/L
05/19/2010,9,FEET,57.9,DEGREES F,10.44,MG/L
05/19/2010,12,FEET,56.4,DEGREES F,10.43,MG/L
05/19/2010,15,FEET,55.6,DEGREES F,10.27,MG/L
05/19/2010,18,FEET,55.1,DEGREES F,10.25,MG/L
05/19/2010,21,FEET,54,DEGREES F,10.16,MG/L
05/19/2010,24,FEET,51.5,DEGREES F,9.41,MG/L
05/19/2010,27,FEET,47.8,DEGREES F,6.18,MG/L
05/19/2010,30,FEET,45.9,DEGREES F,2.55,MG/L
05/19/2010,33,FEET,44.2,DEGREES F,.39,MG/L
05/19/2010,36,FEET,42.9,DEGREES F,.31,MG/L
05/19/2010,39,FEET,41.8,DEGREES F,.11,MG/L
05/19/2010,42,FEET,41.1,DEGREES F,.08,MG/L
05/19/2010,45,FEET,40.8,DEGREES F,.03,MG/L
05/19/2010,48,FEET,40.7,DEGREES F,.03,MG/L
05/19/2010,51,FEET,40.7,DEGREES F,.02,MG/L
05/19/2010,54,FEET,40.6,DEGREES F,.02,MG/L
05/19/2010,57,FEET,40.5,DEGREES F,.01,MG/L
05/19/2010,60,FEET,40.5,DEGREES F,.01,MG/L
05/19/2010,63,FEET,40.5,DEGREES F,.01,MG/L
05/19/2010,66,FEET,40.5,DEGREES F,0,MG/L
06/29/2011,0,FEET,67.1,DEGREES F,9.62,MG/L
06/29/2011,3,FEET,66.9,DEGREES F,9.52,MG/L
06/29/2011,6,FEET,67,DEGREES F,9.52,MG/L
06/29/2011,9,FEET,66.9,DEGREES F,8.22,MG/L
06/29/2011,12,FEET,65.4,DEGREES F,8.46,MG/L
06/29/2011,15,FEET,57.5,DEGREES F,8.69,MG/L
06/29/2011,18,FEET,51.9,DEGREES F,8.27,MG/L
06/29/2011,21,FEET,48.9,DEGREES F,5.52,MG/L
06/29/2011,24,FEET,46.5,DEGREES F,1.97,MG/L
06/29/2011,27,FEET,45.3,DEGREES F,.3,MG/L
06/29/2011,30,FEET,44.3,DEGREES F,.23,MG/L
06/29/2011,33,FEET,43.5,DEGREES F,.26,MG/L
06/29/2011,36,FEET,42.8,DEGREES F,.14,MG/L
06/29/2011,39,FEET,42.4,DEGREES F,.1,MG/L
06/29/2011,42,FEET,41.2,DEGREES F,.09,MG/L
06/18/2013,0,FEET,67.6,DEGREES F,8.66,MG/L
06/18/2013,3,FEET,67.3,DEGREES F,8.65,MG/L
06/18/2013,6,FEET,66,DEGREES F,8.63,MG/L
06/18/2013,9,FEET,62.8,DEGREES F,8.5,MG/L
06/18/2013,12,FEET,58.2,DEGREES F,9.96,MG/L
06/18/2013,15,FEET,51.2,DEGREES F,10.09,MG/L
06/18/2013,18,FEET,48.1,DEGREES F,9.69,MG/L
06/18/2013,21,FEET,45.6,DEGREES F,7.48,MG/L
06/18/2013,24,FEET,43.3,DEGREES F,4.68,MG/L
06/18/2013,27,FEET,42.2,DEGREES F,2.06,MG/L
06/18/2013,30,FEET,41.9,DEGREES F,.4,MG/L
06/18/2013,33,FEET,41.1,DEGREES F,.15,MG/L
06/18/2013,36,FEET,40.9,DEGREES F,.09,MG/L
06/18/2013,39,FEET,40.4,DEGREES F,.09,MG/L
06/18/2013,42,FEET,40.2,DEGREES F,.08,MG/L
06/18/2013,45,FEET,40.1,DEGREES F,.08,MG/L
06/18/2013,48,FEET,40,DEGREES F,.08,MG/L
06/18/2013,51,FEET,40,DEGREES F,.08,MG/L
06/18/2013,54,FEET,40,DEGREES F,.08,MG/L
06/18/2013,57,FEET,39.9,DEGREES F,.09,MG/L
06/18/2013,60,FEET,39.9,DEGREES F,.1,MG/L
06/18/2013,63,FEET,40,DEGREES F,.1,MG/L
06/18/2013,66,FEET,40.1,DEGREES F,.11,MG/L
06/18/2013,69,FEET,40.1,DEGREES F,.12,MG/L
06/18/2013,72,FEET,40.2,DEGREES F,.13,MG/L



Start Date,Fieldwork Comment
03/30/1993,BASIN ASSESSMENT    
05/24/2004,DEEP HOLE - GRAB    
08/16/2004,DEEP HOLE - INTEGRATED SAMPLE    
08/14/2007,Lake has two very different sections: one shallow with lots of native vegetation; other deep with native vegetation close to the shore.  Steep shoreline.
06/18/2009,Loons Spotted
Out with Maureen Ferry and Bill Scaife
05/19/2010,Partly cloudy- slight breeze.
Volunteer- Bill Scaife
Additional data collectors- Maureen Ferry- Mari Dalapiazza
1 Loon sighted- Bald Eagle nest sighted.
06/29/2011,Weather- Sunny and Calm
Native Vegetation- very diverse- w.shield- diverse pondweeds (ft.leaf-L.leaf.Illinois...)
Wildlife Observed- Loon + 2 chicks- muskrat- Bald eagle nest (1 adult 2 juveniles) 
recent heavy rains + wind- low secchi data
clarity reading north end of the lake (13.25 secchi)
one loon still on nest- one with young loon- another adults swimming
native plants are very diverse- outlet is area of interest for ZM surveys 

06/18/2013,R. Richard- R. Jacobson			

Sunny- light breeze						
Loon						





Start Date,Group Name,Project Name
02/18/1993,Data Collectors,BASIN ASSESSMENT 1988 (over 3400 fieldwork events)
