Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Silver Lake,Forest,555700,NO,21,,213017,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190649,06/08/1992,13,NO,4,,,40,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,06/14/1992,9.5,NO,2.9,,,45,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,06/24/1992,9,NO,2.7,,,45,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,07/04/1992,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,07/13/1992,11,NO,3.3,,,43,,,ABOUT 6" ABOVE NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,07/21/1992,12.5,NO,3.8,,,41,,,ABOUT 4" ABOVE NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190649,07/27/1992,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,08/08/1992,12.25,NO,3.7,,,41,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,08/14/1992,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,08/21/1992,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,09/04/1992,14.25,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190649,09/14/1992,13.5,NO,4.1,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190649,09/23/1992,14,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,10/02/1992,13.5,NO,4.1,,,40,,,ABOVE NORMAL 8",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190649,10/12/1992,12.5,NO,3.8,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190649,06/09/1993,12.25,NO,3.7,,,41,,,10" ABOVE NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190649,06/16/1993,13,NO,4,,,40,,,10" ABOVE NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,06/28/1993,11.25,NO,3.4,,,42,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,07/07/1993,12.5,NO,3.8,,,41,,,6" ABOVE NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190649,07/15/1993,10,NO,3,,,44,,,4" ABOVE NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,07/23/1993,10.25,NO,3.1,,,44,,,4" ABOVE NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,07/30/1993,10.5,NO,3.2,,,43,,,3" ABOV NORM,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,08/07/1993,11,NO,3.3,,,43,,,2" ABOVE NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,08/21/1993,13,NO,4,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190649,09/06/1993,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190649,09/12/1993,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190649,10/04/1993,13,NO,4,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190649,05/07/1994,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190649,05/14/1994,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
