Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Arbutus Lake,Forest,181400,NO,21,,213142,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,04/21/1994,10.2,,3.1,3.2,20,44,51,44,,,,,
1,06/07/1994,19.7,,6,1.88,8,34,44,40,,,,,
1,07/20/1994,,,,2.33,11,,47,41,,,,,
1,08/16/1994,,,,5.6,12,,47,48,,,,,
8190277,10/29/1994,12,NO,3.6,,,41,,,GAUGE,30,,BROWN GREEN,3-Enjoyment somewhat impaired (algae)
8190277,10/30/1994,12,NO,3.6,7.65,13,41,48,50,,,,BROWN,3-Enjoyment somewhat impaired (algae)
1,10/31/1994,,,,7.88,17,,50,50,,,,,
1,01/26/1995,,,,1.4,50,,58,37,,,,,
8190277,04/01/1995,24,NO,7.3,,,31,,,FEET,30,CLEAR,BLUE,1-Beautiful, could not be nicer
1,04/20/1995,,,,0.59,,,,31,,,,,
1,04/22/1995,,,,0.43,9,,45,28,,,,,
8190277,04/22/1995,24,NO,7.3,,,31,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,06/15/1995,,,,3.92,,,,45,,,,,
8190277,06/16/1995,18,NO,5.5,3.27,,35,,44,FEET,30,CLEAR,BLUE,2-Very minor aesthetic problems
8191106,06/24/1995,23,NO,7,,,32,,,FEET,27,CLEAR,BLUE,2-Very minor aesthetic problems
1,07/02/1995,,,,0.92,7,,43,34,,,,,
8190277,07/02/1995,19.5,NO,5.9,,,34,,,,,,,
8191106,07/15/1995,18,NO,5.5,,,35,,,FEET,27,CLEAR,BLUE,2-Very minor aesthetic problems
8191106,08/04/1995,17.5,NO,5.3,,,36,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8191106,08/10/1995,15.5,NO,4.7,2.14,12,38,47,41,DOWN A LITTLE,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8191106,08/20/1995,12.25,NO,3.7,,,41,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8191106,09/03/1995,13.5,NO,4.1,,,40,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
1,10/18/1995,47.6,,14.5,0.33,11,21,47,26,,,,,
8191106,11/04/1995,14,NO,4.3,10.5,,39,,53,,,,BROWN,2-Very minor aesthetic problems
1,01/24/1996,,,,,,,,,,,,,
8190277,05/26/1996,10,NO,3,5.09,11,44,47,47,,,,BROWN,2-Very minor aesthetic problems
8190277,06/30/1996,15.5,NO,4.7,2.09,,38,,40,31' AT DEEP HOLE SAMPLE SPOT,,,GREEN,2-Very minor aesthetic problems
8190354,08/04/1996,18.5,NO,5.6,,,35,,,27',27,CLEAR,BLUE,2-Very minor aesthetic problems
8190354,08/23/1996,15.5,NO,4.7,,,38,,,27',27,CLEAR,BLUE,2-Very minor aesthetic problems
8190354,09/01/1996,21,NO,6.4,,,33,,,27',27,CLEAR,BLUE,2-Very minor aesthetic problems
8190354,06/08/1997,32,YES,9.7,,,27,,,MID-HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8190354,06/29/1997,29,NO,8.8,,,29,,,5 INCHES BELOW NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190354,07/06/1997,23.5,NO,7.1,,,32,,,5 INCHES BELOW NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190354,06/19/1998,18,NO,5.5,,,35,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190354,07/02/1998,19,NO,5.8,,,35,,,NO CHANGE,,CLEAR,BLUE,
8190354,07/03/2000,11.25,NO,3.4,,,42,,,24' AT ANCHOR POINT-DEEP HOLE,,,,3-Enjoyment somewhat impaired (algae)
8190277,08/18/2000,17,NO,5.2,1.4,9,36,45,37,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190277,09/16/2000,8,NO,2.4,1.4,13,47,48,37,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
1,04/28/2001,,,,,10,,46,,,,,,
8190277,04/29/2001,7.5,NO,2.3,,,48,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
