Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Green Lake,Green Lake,146100,NE,24,,243049,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190061,05/05/1986,12.5,NO,3.8,,,41,,,,,,,
8190061,05/07/1986,9,NO,2.7,,,45,,,,,,,
8190061,05/14/1986,5,NO,1.5,,,54,,,,,,,
8190061,05/21/1986,7,NO,2.1,,,49,,,,,,,
8190061,05/28/1986,7.5,NO,2.3,,,48,,,,,,,
8190061,06/04/1986,5.5,NO,1.7,,,53,,,,,,,
8190061,06/17/1986,19,NO,5.8,,,35,,,,,,,
8190061,06/26/1986,14,NO,4.3,,,39,,,,,,,
8190061,07/02/1986,7,NO,2.1,,,49,,,,,,,
8190061,07/08/1986,9,NO,2.7,,,45,,,,,,,
8190061,07/16/1986,10,NO,3,,,44,,,,,,,
8190061,07/23/1986,8,NO,2.4,,,47,,,,,,,
8190061,07/31/1986,9,NO,2.7,,,45,,,,,,,
8190061,08/05/1986,9.5,NO,2.9,,,45,,,,,,,
8190061,08/12/1986,13,NO,4,,,40,,,,,,,
8190061,08/20/1986,11,NO,3.3,,,43,,,,,,,
8190061,08/27/1986,9.5,NO,2.9,,,45,,,,,,,
8190061,09/03/1986,11.5,NO,3.5,,,42,,,,,,,
8190061,09/12/1986,12,NO,3.6,,,41,,,,,,,
8190061,09/19/1986,10,NO,3,,,44,,,,,,,
8190061,09/24/1986,9,NO,2.7,,,45,,,,,,,
8190061,10/01/1986,14,NO,4.3,,,39,,,,,,,
8190061,10/15/1986,18,NO,5.5,,,35,,,,,,,
7000091,03/02/1987,,,,,,,,,,,,,
8190994,04/08/1987,16,NO,4.9,,,37,,,,,,,
8190994,04/29/1987,10,NO,3,,,44,,,,,,,
8190994,05/13/1987,6.5,NO,2,,,50,,,,,,,
8190994,05/20/1987,6,NO,1.8,,,51,,,,,,,
8190994,05/28/1987,5,NO,1.5,,,54,,,,,,,
8190994,06/03/1987,8,NO,2.4,,,47,,,,,,,
8190994,06/10/1987,10,NO,3,,,44,,,,,,,
8190994,06/17/1987,16,NO,4.9,,,37,,,,,,,
8190994,06/24/1987,14,NO,4.3,,,39,,,,,,,
8190994,06/30/1987,7,NO,2.1,,,49,,,,,,,
8190994,07/08/1987,7,NO,2.1,,,49,,,,,,,
8190994,07/15/1987,6,NO,1.8,,,51,,,,,,,
8190994,07/22/1987,8,NO,2.4,,,47,,,,,,,
8190994,07/28/1987,8,NO,2.4,,,47,,,,,,,
8190994,08/05/1987,8,NO,2.4,,,47,,,,,,,
8190994,08/12/1987,10,NO,3,,,44,,,,,,,
8190994,08/21/1987,11.5,NO,3.5,,,42,,,,,,,
8190994,08/27/1987,12,NO,3.6,,,41,,,,,,,
7000091,09/02/1987,,,,,,,,,,,,,
8190994,09/02/1987,13,NO,4,,,40,,,,,,,
8190994,09/09/1987,13,NO,4,,,40,,,,,,,
8190994,09/18/1987,13,NO,4,,,40,,,,,,,
8190994,09/23/1987,13,NO,4,,,40,,,,,,,
8190994,09/30/1987,13,NO,4,,,40,,,,,,,
8190994,10/07/1987,12,NO,3.6,,,41,,,,,,,
8190994,10/14/1987,14.5,NO,4.4,,,39,,,,,,,
8190797,04/29/1988,17,NO,5.2,,,36,,,,,CLEAR,BLUE,
8190797,05/05/1988,5,NO,1.5,,,54,,,,,,GREEN,
8190797,05/12/1988,9.5,NO,2.9,,,45,,,,,,BROWN,2-Very minor aesthetic problems
8190797,05/18/1988,8,NO,2.4,,,47,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190797,05/25/1988,6,NO,1.8,,,51,,,,,,GREEN/BROWN,3-Enjoyment somewhat impaired (algae)
8190797,06/01/1988,5.5,NO,1.7,,,53,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190797,06/14/1988,12.5,NO,3.8,,,41,,,,,,GREEN,2-Very minor aesthetic problems
8190774,06/21/1988,12.25,NO,3.7,,,41,,,,,,GREEN,2-Very minor aesthetic problems
7000091,06/22/1988,11.5,,3.5,,,42,,,,,,,
8190774,06/28/1988,9,NO,2.7,,,45,,,,,,GREEN,2-Very minor aesthetic problems
7000091,07/19/1988,11.5,,3.5,,10,42,46,,,,,,
8190774,07/19/1988,9,NO,2.7,,,45,,,,,,GREEN,2-Very minor aesthetic problems
8190774,07/26/1988,9.75,NO,3,,,44,,,,,,GREEN,2-Very minor aesthetic problems
8190774,08/02/1988,9,NO,2.7,,,45,,,,,,GREEN,2-Very minor aesthetic problems
8190774,08/16/1988,11.75,NO,3.6,,,42,,,,,,GREEN,2-Very minor aesthetic problems
7000091,08/30/1988,12.3,,3.75,4,7,41,43,45,,,,,
8190774,08/30/1988,12.25,NO,3.7,,,41,,,,,,GREEN,2-Very minor aesthetic problems
8190132,09/09/1988,12.25,NO,3.7,,,41,,,,,,GREEN,2-Very minor aesthetic problems
8190132,09/15/1988,13.5,NO,4.1,,,40,,,,,,GREEN,
8190132,09/24/1988,13.5,NO,4.1,,,40,,,,,,GREEN,2-Very minor aesthetic problems
8190132,09/30/1988,12,NO,3.6,,,41,,,DOWN 10",,,GREEN,
8190132,10/12/1988,14.75,NO,4.5,,,38,,,,,,GREEN,1-Beautiful, could not be nicer
7000091,03/06/1989,,,,6,33,,55,48,,,,,
7000091,04/19/1989,21.3,,6.5,,30,33,54,,,,,,
8190132,04/19/1989,21.5,NO,6.5,,,33,,,GAUGE,796.4,,GREEN,
8190132,05/11/1989,14.25,NO,4.3,,,39,,,GAUGE,796.4,,GREEN,1-Beautiful, could not be nicer
8190132,06/02/1989,7.25,NO,2.2,,,49,,,GAUGE,796.9,,GREEN/BROWN,
8190132,06/08/1989,4.25,NO,1.3,,,56,,,1 FOOT,1,,GREEN/BROWN,
8190132,06/16/1989,9.25,NO,2.8,,,45,,,,,,GREEN,
8190132,06/21/1989,15.25,NO,4.6,,,38,,,GAUGE,796.4,,GREEN,
7000091,06/22/1989,14.8,,4.5,,25,38,53,,,,,,
8190132,06/29/1989,23,NO,7,,,32,,,GAUGE,796.4,,GREEN,
8190132,07/05/1989,18.75,NO,5.7,,,35,,,GAUGE,796.4,,GREEN,1-Beautiful, could not be nicer
8190132,07/17/1989,13,NO,4,,,40,,,GAUGE,794.6,,GREEN,2-Very minor aesthetic problems
7000091,07/26/1989,13.1,,4,6,17,40,50,48,,,,,
8190132,07/28/1989,11.5,NO,3.5,,,42,,,GAUGE,794.6,,,2-Very minor aesthetic problems
8190132,08/02/1989,9,NO,2.7,,,45,,,GAUGE,796.3,,GREEN,
8190132,08/10/1989,12,NO,3.6,,,41,,,GAUGE,794.6,,GREEN,2-Very minor aesthetic problems
8190132,08/18/1989,16.5,NO,5,,,37,,,GAUGE,794.6,,GREEN,2-Very minor aesthetic problems
8190132,08/30/1989,18,NO,5.5,,,35,,,GAUGE,794.5,,GREEN,2-Very minor aesthetic problems
7000091,09/07/1989,,,,3,10,,46,43,,,,,
8190132,09/07/1989,18,NO,5.5,,,35,,,GAUGE,794.5,,GREEN,2-Very minor aesthetic problems
8190132,09/22/1989,21,NO,6.4,,,33,,,,,,GREEN,1-Beautiful, could not be nicer
8190132,09/29/1989,19,NO,5.8,,,35,,,,,,GREEN,1-Beautiful, could not be nicer
8190132,10/04/1989,20.25,NO,6.2,,,34,,,,,,GREEN,1-Beautiful, could not be nicer
8190132,10/23/1989,19.75,NO,6,,,34,,,,,,GREEN,1-Beautiful, could not be nicer
8190132,03/21/1990,22,NO,6.7,,,33,,,GAUGE,796.48,,GREEN,3-Enjoyment somewhat impaired (algae)
8190132,05/23/1990,7.75,NO,2.4,,,48,,,GAUGE,796.66,,GREEN,2-Very minor aesthetic problems
8190132,05/30/1990,5,NO,1.5,,,54,,,GAUGE,796.52,,GREEN,3-Enjoyment somewhat impaired (algae)
8190061,06/04/1990,5.5,NO,1.7,,,53,,,,,,,
8190132,06/07/1990,5.5,NO,1.7,,,53,,,GAUGE,796.58,,GREEN,3-Enjoyment somewhat impaired (algae)
8190061,06/11/1990,5.75,NO,1.7,,,52,,,,,,,
8190132,06/14/1990,5.75,NO,1.7,,,52,,,GAUGE,796.63,,BROWN,3-Enjoyment somewhat impaired (algae)
8190061,06/18/1990,7.5,NO,2.3,,,48,,,,,,,
8190132,06/21/1990,7.5,NO,2.3,,,48,,,GAUGE,796.54,,GREEN,3-Enjoyment somewhat impaired (algae)
8190061,06/25/1990,11.25,NO,3.4,,,42,,,,,,,
8190132,06/27/1990,11.25,NO,3.4,,,42,,,GAUGE,796.78,,GREEN,2-Very minor aesthetic problems
8190061,07/02/1990,22,NO,6.7,,,33,,,,,,,
8190132,07/05/1990,22,NO,6.7,,,33,,,GAUGE,796.55,,GREEN,2-Very minor aesthetic problems
8190061,07/09/1990,12,NO,3.6,,,41,,,,,,,
8190132,07/11/1990,12,NO,3.6,,,41,,,GAUGE,796.42,,GREEN,2-Very minor aesthetic problems
8190061,07/14/1990,11.5,NO,3.5,,,42,,,,,,,
8190132,07/19/1990,11.5,NO,3.5,,,42,,,GAUGE,796.44,,GREEN,2-Very minor aesthetic problems
8190061,07/21/1990,10.5,NO,3.2,,,43,,,,,,,
8190132,07/24/1990,10.5,NO,3.2,,,43,,,GAUGE,796.37,,GREEN,2-Very minor aesthetic problems
8190061,07/28/1990,13,NO,4,,,40,,,,,,,
8190132,08/01/1990,13,NO,4,,,40,,,GAUGE,796.34,,GREEN,2-Very minor aesthetic problems
8190061,08/06/1990,11.75,NO,3.6,,,42,,,,,,,
8190132,08/09/1990,11.75,NO,3.6,,,42,,,GAUGE,796.48,,GREEN,2-Very minor aesthetic problems
8190061,08/13/1990,12.5,NO,3.8,,,41,,,,,,,
7000091,08/14/1990,,,,,,,,,,,,,
8190132,08/16/1990,12.5,NO,3.8,,,41,,,GAUGE,796.43,,GREEN,2-Very minor aesthetic problems
8190061,08/20/1990,15,NO,4.6,,,38,,,,,,,
8190132,08/22/1990,15,NO,4.6,,,38,,,GAUGE,796.75,,GREEN,2-Very minor aesthetic problems
8190061,08/27/1990,17.75,NO,5.4,,,36,,,,,,,
8190132,08/30/1990,17.75,NO,5.4,,,36,,,GAUGE,796.68,,GREEN,2-Very minor aesthetic problems
8190061,09/04/1990,17.25,NO,5.2,,,36,,,,,,,
8190132,09/06/1990,17.25,NO,5.2,,,36,,,GAUGE,796.55,,GREEN,2-Very minor aesthetic problems
8190132,09/13/1990,21.5,NO,6.5,,,33,,,GAUGE,796.56,,GREEN,2-Very minor aesthetic problems
8190132,09/20/1990,24,NO,7.3,,,31,,,GAUGE,796.54,,GREEN,1-Beautiful, could not be nicer
8190132,09/26/1990,23.5,NO,7.1,,,32,,,GAUGE,796.39,,GREEN,1-Beautiful, could not be nicer
8190132,10/11/1990,22.25,NO,6.8,,,32,,,GAUGE,796.12,,GREEN,1-Beautiful, could not be nicer
8190132,10/19/1990,22.5,NO,6.8,,,32,,,GAUGE,796.02,,GREEN,1-Beautiful, could not be nicer
8190132,10/24/1990,26,NO,7.9,,,30,,,GAUGE,795.9,,GREEN,1-Beautiful, could not be nicer
8190061,06/02/1991,11,NO,3.3,,,43,,,,,,,
8190061,06/04/1991,12,NO,3.6,,,41,,,,,,,
8190061,06/11/1991,29.5,NO,9,,,28,,,,,,,
8190061,06/18/1991,30.5,NO,9.3,,,28,,,,,,,
8190061,06/25/1991,10,NO,3,,,44,,,,,,,
8190061,07/09/1991,10,NO,3,,,44,,,,,,,
8190061,07/18/1991,13,NO,4,,,40,,,,,,,
8190061,07/23/1991,14.25,NO,4.3,,,39,,,,,,,
8190061,07/30/1991,12,NO,3.6,,,41,,,,,,,
8190061,08/06/1991,13.25,NO,4,,,40,,,,,,,
8190061,08/13/1991,16,NO,4.9,,,37,,,,,,,
8190061,08/20/1991,17,NO,5.2,,,36,,,,,,,
8190061,08/27/1991,19,NO,5.8,,,35,,,,,,,
8190061,09/04/1991,18,NO,5.5,,,35,,,,,,,
7000091,04/23/1992,14.1,,4.3,,,39,,,,,,,
8190061,06/02/1992,10,NO,3,,,44,,,,,,,
8190061,06/09/1992,13.5,NO,4.1,,,40,,,,,,,
8190061,06/16/1992,27,NO,8.2,,,30,,,,,,,
8190061,06/23/1992,27,NO,8.2,,,30,,,,,,,
8190061,06/30/1992,30,NO,9.1,,,28,,,,,,,
8190061,07/07/1992,17,NO,5.2,,,36,,,,,,,
8190061,07/14/1992,18,NO,5.5,,,35,,,,,,,
8190061,07/21/1992,16,NO,4.9,,,37,,,,,,,
7000091,07/28/1992,16.4,,5,,,37,,,,,,,
8190061,08/04/1992,15.5,NO,4.7,,,38,,,,,,,
8190061,08/11/1992,14,NO,4.3,,,39,,,,,,,
7000091,08/19/1992,14.8,,4.5,1.73,7,38,43,39,,,,,
8191078,08/19/1992,13,NO,4,,,40,,,,,,GREEN,1-Beautiful, could not be nicer
8190061,08/25/1992,17,NO,5.2,,,36,,,,,,,
8190061,09/01/1992,16,NO,4.9,,,37,,,,,,,
7000091,03/03/1993,,,,,,,,,,,,,
7000091,03/04/1993,,,,4.73,19,,51,47,,,,,
7000091,05/06/1993,4.3,,1.3,20,73,56,61,57,,,,,
8190061,05/10/1993,4.5,NO,1.4,,,55,,,,,,,
8190061,05/19/1993,5.5,NO,1.7,,,53,,,,,,,
8190061,05/26/1993,7,NO,2.1,,,49,,,,,,,
8190061,06/03/1993,5.5,NO,1.7,,,53,,,,,,,
7000091,06/22/1993,16.4,,5,3.61,24,37,53,45,,,,,
8190061,06/22/1993,15,NO,4.6,,,38,,,,,,,
8190061,07/16/1993,11,NO,3.3,,,43,,,,,,,
8190061,07/21/1993,11,NO,3.3,,,43,,,,,,,
1,07/22/1993,17.1,,5.2,21.5,26,36,53,58,,,,,
7000091,07/22/1993,17.1,,5.2,,,36,,,,,,,
8190061,07/27/1993,13,NO,4,,,40,,,,,,,
8190061,08/02/1993,15,NO,4.6,,,38,,,,,,,
8190061,08/10/1993,17,NO,5.2,,,36,,,,,,,
8190061,08/16/1993,14.5,NO,4.4,,,39,,,,,,,
8190061,08/23/1993,9,NO,2.7,,,45,,,,,,,
7000091,08/25/1993,11.5,,3.5,5.76,12,42,47,48,,,,,
7000091,03/01/1994,,,,6.12,40,,57,48,,,,,
7000091,04/19/1994,,,,4.38,29,,54,46,,,,,
8190061,05/12/1994,10,NO,3,,,44,,,,,,,
8190061,05/19/1994,6.5,NO,2,,,50,,,,,,,
8190061,05/24/1994,4.5,NO,1.4,,,55,,,,,,,
8190061,06/01/1994,5.25,NO,1.6,,,53,,,,,,,
8190061,06/09/1994,6.5,NO,2,,,50,,,,,,,
8190061,06/16/1994,8.2,NO,2.5,,,47,,,,,,,
8190061,06/22/1994,26.5,NO,8.1,,,30,,,,,,,
7000091,06/27/1994,21.6,,6.6,5.91,,33,,48,,,,,
