Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Turtle Flambeau Flowage,Iron,2294900,NO,26,,263048,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
7000017,05/04/1998,11,,3.3,1.34,16,43,50,37,,,,,
7000017,06/16/1998,10,,3,2.95,17,44,50,43,,,,,
7000017,07/24/1998,4.9,,1.5,16.4,35,54,56,56,,,,,
7000017,08/18/1998,3.5,,1.1,18.6,37,59,56,57,,,,,
7000017,09/19/1998,2.9,,0.9,35.8,27,62,54,62,,,,,
8188599,10/23/1998,5,NO,1.5,,,54,,,,,,,
16115883,10/23/1998,5,NO,1.5,,,54,,,,,,,
8188599,06/29/1999,,,,,,,,,,,,,
8188599,07/28/1999,4,NO,1.2,,,57,,,,,,,
16115883,07/28/1999,4,NO,1.2,,,57,,,,,,,
16115883,08/21/1999,4.2,NO,1.3,,,56,,,,,,,
8188599,09/22/1999,5.5,NO,1.7,,,53,,,,,,,
16115883,09/22/1999,5.5,NO,1.7,,,53,,,,,,,
8188599,05/04/2000,,,,,,,,,,,,,
8188599,06/06/2000,9.33,NO,2.8,,,45,,,,,,,
16115883,06/06/2000,9.4,NO,2.9,,,45,,,,,,,
8188599,07/06/2000,6.5,NO,2,,,50,,,,,,,
16115883,07/06/2000,6.5,NO,2,,,50,,,,,,,
8188599,08/04/2000,6.25,NO,1.9,,,51,,,,,,,
16115883,08/04/2000,6.25,NO,1.9,,,51,,,,,,,
16115883,09/04/2000,6.2,NO,1.9,,,51,,,,,,,
8188599,09/06/2000,5.75,NO,1.7,,,52,,,,,,,
16115883,09/06/2000,5.9,NO,1.8,,,52,,,,,,,
16115883,10/05/2000,4.8,NO,1.5,,,55,,,,,,,
16115883,07/07/2001,5.4,NO,1.6,,,53,,,,,,,
16115883,09/05/2001,4.9,NO,1.5,,,54,,,,,,,
16115883,10/01/2001,4.3,NO,1.3,,,56,,,,,,,
16115883,11/12/2001,5.9,NO,1.8,,,52,,,,,,,
8188630,04/29/2009,,,,1.57,,,,38,,,,,
8188630,06/25/2009,,,,3.63,,,,45,,,,,
8188630,08/04/2009,,,,3.79,,,,45,,,,,
8188630,09/03/2009,,,,5.95,,,,48,,,,,
7000057,06/24/2010,,,,7.74,22,,52,50,,,,,
7000057,07/01/2010,,,,5.75,28,,54,48,,,,,
7000057,08/01/2010,,,,13.8,31,,55,55,,,,,
7000057,05/09/2011,,,,,20,,51,,,,,,
44765386,05/09/2011,5.5,NO,1.7,,,53,,,,1572.5,MURKY,BROWN,2-Very minor aesthetic problems
44765386,06/04/2011,4.75,NO,1.4,,,55,,,,1571.6,MURKY,BROWN,2-Very minor aesthetic problems
44765386,06/10/2011,4.75,NO,1.4,,,55,,,,1571.2,MURKY,BROWN,2-Very minor aesthetic problems
44765386,06/19/2011,4.5,NO,1.4,,,55,,,,1571.0,MURKY,BROWN,2-Very minor aesthetic problems
18138766,06/26/2011,,,,5.79,20,,51,48,,,,,
44765386,06/26/2011,4.5,NO,1.4,,,55,,,,1570.9,MURKY,BROWN,2-Very minor aesthetic problems
44765386,07/09/2011,5,NO,1.5,,,54,,,,1570.67,MURKY,BROWN,2-Very minor aesthetic problems
18138766,07/13/2011,,,,6.48,25,,53,49,,,,,
44765386,07/16/2011,5,NO,1.5,,,54,,,,1570.60,MURKY,BROWN,2-Very minor aesthetic problems
44765386,07/31/2011,4.5,NO,1.4,,,55,,,,1570.31,MURKY,BROWN,
44765386,08/04/2011,4.5,NO,1.4,,,55,,,,1570.25,MURKY,BROWN,2-Very minor aesthetic problems
18138766,08/17/2011,,,,17.2,28,,54,56,,,,,
44765386,08/18/2011,4.25,NO,1.3,,,56,,,,1570.21,MURKY,BROWN,2-Very minor aesthetic problems
44765386,08/27/2011,4.25,NO,1.3,,,56,,,,1570.12,MURKY,BROWN,2-Very minor aesthetic problems
44765386,09/17/2011,4,NO,1.2,,,57,,,,1569.05,MURKY,BROWN,2-Very minor aesthetic problems
44765386,10/02/2011,4,NO,1.2,,,57,,,,15668.69,MURKY,BROWN,2-Very minor aesthetic problems
44765386,10/23/2011,5,NO,1.5,,,54,,,,1569.0,MURKY,BROWN,2-Very minor aesthetic problems
44765386,10/30/2011,5,NO,1.5,,,54,,,,1569.25,MURKY,BROWN,2-Very minor aesthetic problems
44765399,03/25/2012,5.25,NO,1.6,,,53,,,NORMAL,1569.86,MURKY,BROWN,2-Very minor aesthetic problems
44765399,04/01/2012,6,NO,1.8,,18,51,51,,NORMAL,1570.76,CLEAR,BROWN,1-Beautiful, could not be nicer
44765399,04/14/2012,6.75,NO,2.1,,,50,,,NORMAL,1570.86,CLEAR,BROWN,1-Beautiful, could not be nicer
