Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Martha Lake,Iron,2314300,NO,26,,263149,NW,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
119214945,07/25/2015,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
119214945,08/08/2015,6.25,NO,1.9,,,51,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
119214945,08/21/2015,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
119214945,09/02/2015,7.75,NO,2.4,,,48,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
119214945,04/16/2016,6,NO,1.8,,,51,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
119214945,04/30/2016,6.25,NO,1.9,,,51,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
119214945,05/10/2016,6.25,NO,1.9,,,51,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
119214945,05/28/2016,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
119214945,06/12/2016,5,NO,1.5,,,54,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
119214945,07/16/2016,5,NO,1.5,,,54,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
119214945,08/01/2016,5.25,NO,1.6,,,53,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
119214945,08/28/2016,5,NO,1.5,,,54,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
119214945,09/18/2016,5,NO,1.5,,,54,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
119214945,10/03/2016,5.5,NO,1.7,,,53,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
119214945,10/24/2016,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
119214945,06/11/2017,6,NO,1.8,,,51,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
1,06/27/2017,,,,2.93,,,,43,,,,,
119214945,06/28/2017,6.5,NO,2,,,50,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
119214945,07/10/2017,5.25,NO,1.6,,,53,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
119214945,07/26/2017,5.5,NO,1.7,2.66,14.7,53,49,42,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
119214945,08/06/2017,6.25,NO,1.9,,,51,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
119214945,08/21/2017,8,NO,2.4,1.89,10.7,47,47,40,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
119214945,09/14/2017,7.25,NO,2.2,,,49,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
119214945,09/24/2017,10,NO,3,,,44,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
119214945,10/11/2017,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/26/2017,5,FEET,73.2,DEGREES F,,
07/26/2017,10,FEET,65.6,DEGREES F,,
07/26/2017,15,FEET,54.8,DEGREES F,,
07/26/2017,20,FEET,51.6,DEGREES F,,
07/26/2017,25,FEET,50.1,DEGREES F,,
07/26/2017,30,FEET,49.2,DEGREES F,,
07/26/2017,35,FEET,48.5,DEGREES F,,
07/26/2017,40,FEET,48.2,DEGREES F,,
07/26/2017,45,FEET,48,DEGREES F,,
07/26/2017,50,FEET,48.5,DEGREES F,,
08/21/2017,5,FEET,71,DEGREES F,,
08/21/2017,10,FEET,66,DEGREES F,,
08/21/2017,15,FEET,54.3,DEGREES F,,
08/21/2017,20,FEET,51,DEGREES F,,
08/21/2017,25,FEET,49.1,DEGREES F,,
08/21/2017,30,FEET,48,DEGREES F,,
08/21/2017,35,FEET,48,DEGREES F,,
08/21/2017,40,FEET,47.8,DEGREES F,,
08/21/2017,45,FEET,47.8,DEGREES F,,
08/21/2017,50,FEET,48.2,DEGREES F,,



Start Date,Fieldwork Comment




Start Date,Group Name,Project Name
07/25/2015,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
08/08/2015,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
08/21/2015,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
09/02/2015,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
04/16/2016,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
04/30/2016,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
05/10/2016,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
05/28/2016,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
06/12/2016,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
07/16/2016,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
08/01/2016,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
08/28/2016,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
09/18/2016,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
10/03/2016,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
10/24/2016,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
06/11/2017,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
06/27/2017,Data Collectors,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
06/28/2017,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
07/10/2017,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
07/26/2017,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
08/06/2017,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
08/21/2017,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
09/14/2017,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
09/24/2017,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
10/11/2017,Edna McCarthy,Citizen Lake Monitoring - Water Quality - Martha Lake - Deep Hole
