Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
First Black Lake,Iron,2298500,NO,26,,263161,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8188501,08/13/2005,4.5,NO,1.4,,,55,,,,,,BROWN,
8188501,08/19/2006,4.5,NO,1.4,4.12,29,55,54,46,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8188501,07/10/2007,4.5,,1.4,,,55,,,,,,,
8188501,07/29/2007,,,,,18,,51,,,,,,
8188501,08/19/2007,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
131161828,08/16/2016,1.5,NO,0.5,,,71,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
131161828,08/24/2016,1.5,NO,0.5,,,71,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
131161828,09/02/2016,1.25,NO,0.4,,,74,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
131161830,09/18/2016,1.75,NO,0.5,,,69,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
131161830,09/25/2016,1.5,NO,0.5,,,71,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
131161830,10/03/2016,1.5,NO,0.5,,,71,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
131161830,10/19/2016,1.5,NO,0.5,,,71,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,06/01/2017,3,NO,0.9,,,61,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,06/08/2017,2,NO,0.6,,,67,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,07/10/2017,2,NO,0.6,,,67,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,07/19/2017,2.75,NO,0.8,,,63,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,08/04/2017,2.25,NO,0.7,,,65,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,08/12/2017,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,08/19/2017,2.5,,0.8,,,64,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,08/28/2017,2,NO,0.6,,,67,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,09/04/2017,2.25,NO,0.7,,,65,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,09/12/2017,2,NO,0.6,,,67,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,09/28/2017,2.5,YES,0.8,,,64,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,10/06/2017,2.75,NO,0.8,,,63,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/13/2005,3,FEET,71.5,DEGREES F,,
08/13/2005,6,FEET,67.4,DEGREES F,,
08/13/2005,9,FEET,57.3,DEGREES F,,
08/13/2005,12,FEET,51,DEGREES F,,
08/19/2006,3,FEET,71.5,DEGREES F,,
08/19/2006,6,FEET,67.9,DEGREES F,,
08/19/2006,9,FEET,57.3,DEGREES F,,
08/19/2006,12,FEET,57,DEGREES F,,
07/10/2007,3,FEET,71.5,DEGREES F,,
07/10/2007,6,FEET,67.4,DEGREES F,,
07/10/2007,9,FEET,57.3,DEGREES F,,
07/10/2007,12,FEET,57,DEGREES F,,
08/19/2007,3,FEET,71.5,DEGREES F,,
08/19/2007,6,FEET,67.9,DEGREES F,,
08/19/2007,9,FEET,57.3,DEGREES F,,
08/19/2007,12,FEET,57,DEGREES F,,
08/16/2016,3,FEET,70.7,DEGREES F,,
08/16/2016,6,FEET,63.3,DEGREES F,,
08/16/2016,9,FEET,53.6,DEGREES F,,
08/16/2016,12,FEET,49,DEGREES F,,
08/16/2016,15,FEET,47.4,DEGREES F,,
08/24/2016,3,FEET,68.1,DEGREES F,,
08/24/2016,6,FEET,63.1,DEGREES F,,
08/24/2016,9,FEET,56.4,DEGREES F,,
08/24/2016,12,FEET,50.5,DEGREES F,,
08/24/2016,15,FEET,47.4,DEGREES F,,
09/02/2016,3,FEET,67.6,DEGREES F,,
09/02/2016,6,FEET,62.6,DEGREES F,,
09/02/2016,9,FEET,55.7,DEGREES F,,
09/02/2016,12,FEET,50.3,DEGREES F,,
09/02/2016,15,FEET,47.3,DEGREES F,,
09/18/2016,3,FEET,65.1,DEGREES F,,
09/18/2016,6,FEET,61.3,DEGREES F,,
09/18/2016,9,FEET,56.3,DEGREES F,,
09/18/2016,12,FEET,50.7,DEGREES F,,
09/18/2016,15,FEET,48,DEGREES F,,
09/18/2016,18,FEET,46.7,DEGREES F,,
09/25/2016,3,FEET,62.6,DEGREES F,,
09/25/2016,6,FEET,62.4,DEGREES F,,
09/25/2016,9,FEET,55.9,DEGREES F,,
09/25/2016,12,FEET,51.2,DEGREES F,,
09/25/2016,15,FEET,48.3,DEGREES F,,
09/25/2016,18,FEET,47.3,DEGREES F,,
10/03/2016,3,FEET,60.2,DEGREES F,,
10/03/2016,6,FEET,56.6,DEGREES F,,
10/03/2016,9,FEET,55.5,DEGREES F,,
10/03/2016,12,FEET,52.5,DEGREES F,,
10/03/2016,15,FEET,48.5,DEGREES F,,
10/03/2016,18,FEET,47.1,DEGREES F,,
10/19/2016,3,FEET,52.8,DEGREES F,,
10/19/2016,6,FEET,51.9,DEGREES F,,
10/19/2016,9,FEET,50.9,DEGREES F,,
10/19/2016,12,FEET,50.3,DEGREES F,,
10/19/2016,15,FEET,50,DEGREES F,,
10/19/2016,18,FEET,49.4,DEGREES F,,
06/01/2017,3,FEET,60.8,DEGREES F,,
06/01/2017,6,FEET,56.8,DEGREES F,,
06/01/2017,9,FEET,52.5,DEGREES F,,
06/01/2017,12,FEET,49.3,DEGREES F,,
06/01/2017,15,FEET,45.3,DEGREES F,,
06/08/2017,3,FEET,68,DEGREES F,,
06/08/2017,6,FEET,57.2,DEGREES F,,
06/08/2017,9,FEET,51,DEGREES F,,
06/08/2017,12,FEET,48.2,DEGREES F,,
