Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Hooker Lake,Kenosha,738400,SE,30,,303053,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190054,07/22/1991,7,NO,2.1,,,49,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190054,08/08/1991,6.25,NO,1.9,,,51,,,LOWER,,,GREEN,2-Very minor aesthetic problems
8190054,08/14/1991,5.5,NO,1.7,,,53,,,DOWN,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190054,09/27/1991,6.25,NO,1.9,,,51,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190487,10/09/1991,6.5,NO,2,,,50,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190487,06/10/1992,6.5,NO,2,,,50,,,GAUGE,.74,,GREEN,3-Enjoyment somewhat impaired (algae)
8190487,07/29/1992,5.5,NO,1.7,,,53,,,GAUGE,.05,,GREEN,2-Very minor aesthetic problems
8190487,08/15/1992,3.5,NO,1.1,,,59,,,GAUGE,.05,,GREEN,3-Enjoyment somewhat impaired (algae)
8190487,10/13/1992,4,NO,1.2,,,57,,,GAUGE,.7,,GREEN,2-Very minor aesthetic problems
1,04/02/1998,4.9,,1.5,9.62,30,54,54,52,,,,,
1,06/02/1998,8.2,,2.5,4.8,19,47,51,47,,,,,
1,07/22/1998,9.5,,2.9,7.43,19,45,51,50,,,,,
1,08/17/1998,6.6,,2,6.78,22,50,52,49,,,,,
1,09/22/1998,10.2,,3.1,7.1,18,44,51,50,,,,,
1,10/19/1998,4.9,,1.5,9.52,13,54,48,52,,,,,
7000045,04/18/2001,3.9,,1.2,,24,57,53,,,,,,
7000045,08/28/2001,5.9,NO,1.8,8,20,51,51,51,,,,,4-Would not swim but boating OK (algae)
7000045,05/12/2004,3.9,NO,1.2,,31,57,55,,,,,,
7000045,08/17/2004,5.2,NO,1.6,,31,53,55,,,,,,4-Would not swim but boating OK (algae)
25475421,05/31/2009,,,,,23,,52,,,,,,
25475421,06/30/2009,,,,21,34,,55,58,,,,,
25475421,07/28/2009,,,,21.7,38,,56,58,,,,,
25475421,09/07/2009,,,,30.5,37,,56,61,,,,,
25475421,05/01/2010,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,GREEN,
25475421,05/07/2010,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,GREEN,
25475421,05/14/2010,3.5,NO,1.1,,,59,,,HIGH,9.5,MURKY,BROWN,2-Very minor aesthetic problems
25475421,05/21/2010,9,NO,2.7,,,45,,,HIGH,9.7,CLEAR,BROWN,
25475421,05/29/2010,10,NO,3,,,44,,,NORMAL,9.5,CLEAR,GREEN,
25475421,06/01/2010,10.5,NO,3.2,3.7,27,43,54,45,NORMAL,,CLEAR,GREEN,
25475421,06/07/2010,9.5,NO,2.9,,,45,,,NORMAL,94,CLEAR,GREEN,
25475421,06/13/2010,9.5,NO,2.9,,,45,,,NORMAL,94,CLEAR,GREEN,
25475421,06/20/2010,5.5,NO,1.7,,,53,,,,9.5,MURKY,BROWN,1-Beautiful, could not be nicer
25475421,06/23/2010,,,,,,,,,HIGH,9.5,MURKY,GREEN,1-Beautiful, could not be nicer
25475421,06/26/2010,7.5,NO,2.3,,,48,,,HIGH,9.5,CLEAR,GREEN,
25475421,07/05/2010,7.5,NO,2.3,,,48,,,NORMAL,9.3,CLEAR,GREEN,
25475421,07/10/2010,7.6,NO,2.3,,,48,,,NORMAL,9.3,CLEAR,GREEN,
25475421,07/17/2010,7.5,NO,2.3,,,48,,,NORMAL,9.2,CLEAR,BROWN,
25475421,07/20/2010,7.5,NO,2.3,,,48,,,NORMAL,9.2,CLEAR,GREEN,
25475421,07/23/2010,6.5,NO,2,,,50,,,HIGH,9.6,CLEAR,GREEN,4-Would not swim but boating OK (algae)
25475421,07/30/2010,6.5,NO,2,,,50,,,HIGH,9.5,CLEAR,GREEN,
25475421,08/15/2010,6.5,NO,2,,,50,,,NORMAL,9.3,CLEAR,GREEN,
25475421,08/17/2010,6.5,,2,,29,50,54,,,,,,
25475421,09/12/2010,,,,29.9,34,,55,60,,,,,
25475421,05/20/2012,10,NO,3,,,44,,,NORMAL,9.3,CLEAR,BROWN,
25475421,05/24/2012,10,NO,3,,,44,,,NORMAL,9.3,CLEAR,BROWN,
25475421,05/27/2012,10,NO,3,,,44,,,NORMAL,9.2,CLEAR,BROWN,
25475421,05/28/2012,,,,,29,,54,,,,,,
25475421,06/08/2012,10.5,NO,3.2,,,43,,,NORMAL,9.1,CLEAR,BLUE,
25475421,06/12/2012,10.5,NO,3.2,,,43,,,LOW,9.0,CLEAR,BROWN,
25475421,06/17/2012,10.5,NO,3.2,,,43,,,LOW,8.9,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
25475421,06/20/2012,9.5,NO,2.9,,,45,,,LOW,8.9,CLEAR,GREEN,
25475421,06/24/2012,9.5,NO,2.9,,,45,,,LOW,8.8,CLEAR,GREEN,
25475421,06/28/2012,8.25,NO,2.5,,,47,,,LOW,8.7,CLEAR,GREEN,
25475421,06/30/2012,7.5,NO,2.3,,,48,,,LOW,8.65,CLEAR,GREEN,
25475421,07/01/2012,7.75,NO,2.4,,,48,,,LOW,8.65,CLEAR,GREEN,
25475421,07/04/2012,8.5,NO,2.6,,,46,,,LOW,8.6,CLEAR,GREEN,
25475421,07/08/2012,10.5,NO,3.2,6.29,28,43,54,49,LOW,8.6,CLEAR,GREEN,
25475421,07/15/2012,6.5,NO,2,,,50,,,LOW,8.4,MURKY,GREEN,
25475421,07/22/2012,7.25,NO,2.2,,,49,,,LOW,8.65,CLEAR,GREEN,
25475421,07/29/2012,7.5,NO,2.3,,,48,,,LOW,8.5,CLEAR,GREEN,
25475421,08/18/2012,7,NO,2.1,7.72,29,49,54,50,LOW,8.4,CLEAR,GREEN,
25475421,08/20/2012,7,NO,2.1,,,49,,,LOW,8.4,CLEAR,GREEN,
25475421,08/22/2012,6.5,NO,2,,,50,,,LOW,8.3,CLEAR,GREEN,
25475421,08/25/2012,6.5,NO,2,,,50,,,LOW,8.2,CLEAR,GREEN,
25475421,09/03/2012,6.5,NO,2,,,50,,,LOW,8.0,CLEAR,GREEN,
25475421,09/15/2012,9.5,NO,2.9,6.56,25,45,53,49,LOW,,CLEAR,GREEN,
25475421,06/12/2013,,,,2.46,30.1,,55,42,,,,,
25475421,07/14/2013,,,,8.62,23.4,,53,51,,,,,
25475421,08/11/2013,,,,7.84,23.8,,53,50,,,,,
1,09/10/2013,,,,18.1,27,,54,57,,,,,
25475421,04/20/2014,10.9,NO,3.3,,,43,,,LOW,9.45,CLEAR,GREEN,
25475421,04/29/2014,10,NO,3,,25.8,44,53,,NORMAL,9.4,CLEAR,GREEN,
25475421,05/07/2014,10.5,NO,3.2,,,43,,,NORMAL,9.3,CLEAR,GREEN,
25475421,05/13/2014,7.5,NO,2.3,,,48,,,HIGH,9.7,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
25475421,05/18/2014,11.75,NO,3.6,,,42,,,HIGH,9.6,CLEAR,GREEN,
25475421,05/25/2014,17,NO,5.2,,,36,,,NORMAL,9.35,CLEAR,GREEN,
25475421,06/07/2014,11,NO,3.3,,,43,,,NORMAL,9.3,CLEAR,GREEN,
25475421,06/11/2014,6.75,NO,2.1,,,50,,,HIGH,9.6,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
25475421,06/18/2014,9.5,NO,2.9,,,45,,,HIGH,9.65,CLEAR,GREEN,2-Very minor aesthetic problems
25475421,06/29/2014,9.25,NO,2.8,20.3,31.9,45,55,58,NORMAL,9.55,CLEAR,GREEN,
25475421,07/04/2014,10.5,NO,3.2,,,43,,,NORMAL,9.45,CLEAR,GREEN,
25475421,07/06/2014,10.25,NO,3.1,,,44,,,NORMAL,9.45,CLEAR,GREEN,
25475421,07/11/2014,11.25,NO,3.4,,,42,,,NORMAL,9.65,CLEAR,GREEN,2-Very minor aesthetic problems
25475421,07/22/2014,11.25,NO,3.4,,,42,,,NORMAL,9.5,CLEAR,GREEN,
25475421,07/27/2014,10.25,NO,3.1,,,44,,,NORMAL,9.25,CLEAR,GREEN,
25475421,08/02/2014,,,,4.57,24.8,,53,46,,,,,
25475421,08/04/2014,9.5,NO,2.9,,,45,,,NORMAL,9.1,CLEAR,GREEN,1-Beautiful, could not be nicer
25475421,08/16/2014,10.5,NO,3.2,,,43,,,NORMAL,9.0,CLEAR,GREEN,
25475421,08/23/2014,11.25,NO,3.4,,,42,,,LOW,9.05,CLEAR,GREEN,
25475421,08/30/2014,10.5,NO,3.2,,,43,,,LOW,9.1,CLEAR,GREEN,1-Beautiful, could not be nicer
25475421,09/04/2014,8.75,NO,2.7,,,46,,,NORMAL,9.3,CLEAR,GREEN,2-Very minor aesthetic problems
25475421,09/08/2014,12.25,NO,3.7,4.65,31.8,41,55,46,NORMAL,9.35,CLEAR,GREEN,
25475421,09/20/2014,11.75,NO,3.6,,,42,,,NORMAL,9.15,CLEAR,GREEN,
25475421,09/27/2014,12,NO,3.6,,,41,,,NORMAL,9.05,CLEAR,GREEN,
25475421,05/15/2015,10.75,NO,3.3,,,43,,,NORMAL,9.3,CLEAR,GREEN,2-Very minor aesthetic problems
25475421,05/16/2015,11.5,NO,3.5,,,42,,,NORMAL,9.3,CLEAR,GREEN,
25475421,05/21/2015,12.5,NO,3.8,,,41,,,NORMAL,9.3,CLEAR,GREEN,2-Very minor aesthetic problems
25475421,05/24/2015,13.25,NO,4,,,40,,,NORMAL,9.225,CLEAR,,
25475421,06/04/2015,13.5,NO,4.1,,,40,,,NORMAL,9.4,CLEAR,,2-Very minor aesthetic problems
25475421,06/07/2015,13,NO,4,2.78,34.9,40,56,43,,,,,
25475421,06/10/2015,13.25,NO,4,,,40,,,NORMAL,9.3,CLEAR,GREEN,1-Beautiful, could not be nicer
25475421,06/15/2015,12.5,NO,3.8,,,41,,,HIGH,9.85,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
25475421,06/17/2015,12.5,NO,3.8,,,41,,,HIGH,9.775,CLEAR,GREEN,1-Beautiful, could not be nicer
25475421,06/21/2015,13.75,NO,4.2,,,39,,,NORMAL,9.55,CLEAR,GREEN,1-Beautiful, could not be nicer
25475421,06/30/2015,12.5,NO,3.8,,,41,,,NORMAL,9.4,CLEAR,GREEN,
25475421,07/06/2015,13.75,NO,4.2,,,39,,,NORMAL,9.3,CLEAR,GREEN,
25475421,07/12/2015,15.25,NO,4.6,3.42,32.4,38,55,44,NORMAL,9.15,CLEAR,GREEN,
25475421,07/18/2015,14,NO,4.3,,,39,,,NORMAL,9.25,CLEAR,GREEN,
25475421,07/19/2015,10.5,NO,3.2,,,43,,,NORMAL,9.5,CLEAR,GREEN,
25475421,07/26/2015,13.25,NO,4,,,40,,,LOW,9.3,CLEAR,GREEN,1-Beautiful, could not be nicer
25475421,08/02/2015,13.5,NO,4.1,,,40,,,NORMAL,9.15,CLEAR,GREEN,1-Beautiful, could not be nicer
25475421,08/09/2015,12.25,NO,3.7,,,41,,,NORMAL,9.1,CLEAR,GREEN,1-Beautiful, could not be nicer
25475421,08/11/2015,11.25,NO,3.4,2.89,26.3,42,53,43,,,,,
25475421,08/16/2015,12.25,NO,3.7,,,41,,,NORMAL,8.95,CLEAR,GREEN,1-Beautiful, could not be nicer
25475421,08/31/2015,7.75,NO,2.4,31.3,62.6,41,60,61,NORMAL,9.1,CLEAR,GREEN,1-Beautiful, could not be nicer
25475421,09/06/2015,13.25,NO,4,,,40,,,NORMAL,9.1,CLEAR,GREEN,1-Beautiful, could not be nicer
25475421,09/18/2015,7.25,NO,2.2,,,49,,,HIGH,9.85,MURKY,BROWN,4-Would not swim but boating OK (algae)
25475421,10/11/2015,10.25,NO,3.1,,,44,,,NORMAL,9.45,CLEAR,GREEN,1-Beautiful, could not be nicer
25475421,10/25/2015,9.25,NO,2.8,,,45,,,NORMAL,9.25,CLEAR,GREEN,1-Beautiful, could not be nicer
25475421,06/29/2016,,,,3,36.8,,56,43,,,,,
25475421,09/05/2016,,,,5.33,40.4,,57,47,,,,,
25475421,06/18/2017,,,,9.31,48.4,,58,52,,,,,
25475421,08/20/2017,,,,11.2,32.7,,55,53,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
04/02/1998,,,10.2,C,10.3,MG/L
06/02/1998,,,14.8,C,0.3,MG/L
07/22/1998,,,17.8,C,0.3,MG/L
08/17/1998,,,13.9,C,0.1,MG/L
09/22/1998,,,15.3,C,0.2,MG/L
10/19/1998,,,14.9,C,9.0,MG/L
04/18/2001,1,FEET,,,13.2,MG/L
04/18/2001,,,19.9,C,13.2,MG/L
08/28/2001,1,FEET,24.4,DEGREES C,8.6,MG/L
08/28/2001,3,FEET,24.5,DEGREES C,8.5,MG/L
08/28/2001,6,FEET,24.5,DEGREES C,8.4,MG/L
08/28/2001,9,FEET,24.3,DEGREES C,8.3,MG/L
08/28/2001,12,FEET,24.2,DEGREES C,8.2,MG/L
08/28/2001,15,FEET,22.4,DEGREES C,1.1,MG/L
08/28/2001,18,FEET,19.5,DEGREES C,.1,MG/L
08/28/2001,21,FEET,15.9,DEGREES C,0,MG/L
08/28/2001,24,FEET,14,DEGREES C,0,MG/L
08/28/2001,,,24.4,C,8.6,MG/L
05/12/2004,1,FEET,,,12.4,MG/L
05/12/2004,3,FEET,19.36,DEGREES C,12.38,MG/L
05/12/2004,6,FEET,19.29,DEGREES C,11.9,MG/L
05/12/2004,9,FEET,19.16,DEGREES C,11.3,MG/L
05/12/2004,12,FEET,13.96,DEGREES C,9.7,MG/L
05/12/2004,,,19.3,C,12.4,MG/L
08/17/2004,3,FEET,21.61,DEGREES C,8.45,MG/L
08/17/2004,6,FEET,21.59,DEGREES C,8.62,MG/L
08/17/2004,9,FEET,21.43,DEGREES C,8.46,MG/L
08/17/2004,12,FEET,20.35,DEGREES C,6.18,MG/L
08/17/2004,15,FEET,20.03,DEGREES C,4.34,MG/L
08/17/2004,18,FEET,19.61,DEGREES C,1.49,MG/L
08/17/2004,21,FEET,18.28,DEGREES C,.56,MG/L
08/17/2004,24,FEET,14.25,DEGREES C,.46,MG/L
08/17/2004,,,21.6,C,8.5,MG/L
06/01/2010,3,FEET,76.8,DEGREES F,6.8,MG/L
06/01/2010,6,FEET,74,DEGREES F,7,MG/L
06/01/2010,9,FEET,68,DEGREES F,8.2,MG/L
06/01/2010,12,FEET,62,DEGREES F,,
06/01/2010,15,FEET,59.7,DEGREES F,,
06/01/2010,18,FEET,58.2,DEGREES F,,
06/01/2010,21,FEET,56.4,DEGREES F,,
06/01/2010,24,FEET,54.8,DEGREES F,,
08/17/2010,3,FEET,83.6,DEGREES F,10,MG/L
08/17/2010,6,FEET,83.6,DEGREES F,7.25,MG/L
08/17/2010,9,FEET,80,DEGREES F,7.75,MG/L
08/17/2010,12,FEET,78.7,DEGREES F,,
08/17/2010,15,FEET,77.5,DEGREES F,,
08/17/2010,18,FEET,72.1,DEGREES F,,
08/17/2010,21,FEET,62.2,DEGREES F,,
08/17/2010,24,FEET,60.5,DEGREES F,,
09/12/2010,3,FEET,69,DEGREES F,7,MG/L
09/12/2010,6,FEET,68,DEGREES F,6.8,MG/L
