Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Center Lake,Kenosha,747300,SE,30,,303059,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190635,07/01/1989,4.5,NO,1.4,,,55,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190635,07/09/1989,3.5,NO,1.1,,,59,,,,,,GREEN,2-Very minor aesthetic problems
8190635,08/11/1989,4,NO,1.2,,,57,,,,,,GREEN,2-Very minor aesthetic problems
8190635,08/28/1989,4.25,NO,1.3,,,56,,,,,,GREEN,2-Very minor aesthetic problems
8190635,10/12/1989,4,NO,1.2,,,57,,,,,,GREEN,2-Very minor aesthetic problems
8190635,08/26/1991,2.75,NO,0.8,,,63,,,,,,GREEN,2-Very minor aesthetic problems
8190635,09/07/1991,4,NO,1.2,,,57,,,LOW,,,GREEN,2-Very minor aesthetic problems
8190635,09/22/1991,3.25,NO,1,,,60,,,DOWN 1',,,BROWN,2-Very minor aesthetic problems
8190635,10/09/1991,4,NO,1.2,,,57,,,DOWN 1',,,GREENISH/BROWN,2-Very minor aesthetic problems
8190635,06/13/1992,5.75,NO,1.7,,,52,,,,,,GREEN,2-Very minor aesthetic problems
8190635,07/11/1992,5.25,NO,1.6,,,53,,,,,,BROWN,2-Very minor aesthetic problems
1,10/25/1993,3,,0.9,45.9,49,62,58,64,,,,,
1,02/22/1994,1.3,,0.4,11.6,520,73,77,53,,,,,
1,06/30/1994,3,,0.9,7.56,25,62,53,50,,,,,
1,07/21/1994,6.2,,1.9,8.33,30,51,54,51,,,,,
1,08/17/1994,,,,7.26,27,,54,50,,,,,
1,09/06/1994,4.1,,1.25,12.9,28,57,54,54,,,,,
8190635,06/01/1995,7.5,NO,2.3,,,48,,,+1.25',,,GREEN,2-Very minor aesthetic problems
8190635,06/11/1995,7,NO,2.1,,,49,,,,,,GREEN,2-Very minor aesthetic problems
8190635,06/18/1995,7,NO,2.1,,,49,,,,,,GREEN,2-Very minor aesthetic problems
8190635,07/02/1995,6,NO,1.8,,,51,,,DOWN 2',,,BROWN,2-Very minor aesthetic problems
8190635,08/06/1995,4.5,NO,1.4,,,55,,,DOWN APPROX 5',,,BROWN,2-Very minor aesthetic problems
1,07/24/1996,3.5,,1.1,31.5,29,59,54,61,,,,,
1,08/20/1996,4.5,,1.4,12.8,21,55,52,54,,,,,
8189265,05/20/1997,8,NO,2.4,,,47,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8189265,06/04/1997,6,NO,1.8,,,51,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8189265,06/24/1997,7.25,NO,2.2,,,49,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
1,06/30/1997,5.2,,1.6,9.27,23,53,52,52,,,,,
8189265,07/08/1997,4.75,NO,1.4,,,55,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8189265,07/22/1997,3.25,NO,1,,,60,,,LOW,,,GREEN,2-Very minor aesthetic problems
1,07/30/1997,4.2,,1.3,10.3,20,56,51,52,,,,,
8189265,08/21/1997,5.5,NO,1.7,,,53,,,LOW,,,GREEN,2-Very minor aesthetic problems
1,08/28/1997,6,,1.8,8.55,24,51,53,51,,,,,
8189265,09/23/1997,4,NO,1.2,,,57,,,LOW,,,GREEN,2-Very minor aesthetic problems
7000045,04/18/2001,2.25,NO,0.7,,20,65,51,,,,,,4-Would not swim but boating OK (algae)
7000045,08/28/2001,5.2,NO,1.6,9,229,53,70,51,,,,,4-Would not swim but boating OK (algae)
7000045,08/04/2016,4.6,N,1.4,9.7,28.4,55,54,52,,,,,
7000045,08/30/2016,4.9,N,1.5,9.34,29.2,54,54,52,,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
7000045,09/16/2016,7.71,NO,2.3,7.56,27.6,33,54,50,,,MURKY,BROWN,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
10/25/1993,,,10.0,C,10.0,MG/L
02/22/1994,,,1.3,C,0.6,MG/L
06/30/1994,,,24.4,C,8.5,MG/L
07/21/1994,,,26.4,C,8.4,MG/L
09/06/1994,,,14.1,C,0.3,MG/L
07/24/1996,,,11.2,C,0.0,MG/L
08/20/1996,,,11.5,C,0.0,MG/L
06/30/1997,,,13.0,C,0.0,MG/L
07/30/1997,,,16.7,C,0.3,MG/L
08/28/1997,,,13.0,C,0.4,MG/L
04/18/2001,1,FEET,10.67,DEGREES C,13.7,MG/L
04/18/2001,3,FEET,10.46,DEGREES C,13.8,MG/L
04/18/2001,6,FEET,10.22,DEGREES C,13.78,MG/L
04/18/2001,9,FEET,10.02,DEGREES C,13.58,MG/L
04/18/2001,12,FEET,9.76,DEGREES C,13.18,MG/L
04/18/2001,15,FEET,9.66,DEGREES C,12.76,MG/L
04/18/2001,18,FEET,9.61,DEGREES C,12.63,MG/L
04/18/2001,21,FEET,9.59,DEGREES C,12.6,MG/L
04/18/2001,24,FEET,9.58,DEGREES C,12.52,MG/L
04/18/2001,27,FEET,9.39,DEGREES C,12.61,MG/L
04/18/2001,30,FEET,9.28,DEGREES C,12.04,MG/L
04/18/2001,,,10.7,C,13.7,MG/L
08/28/2001,1,FEET,25,DEGREES C,8.9,MG/L
08/28/2001,3,FEET,25,DEGREES C,8.8,MG/L
08/28/2001,6,FEET,24.9,DEGREES C,8.8,MG/L
08/28/2001,9,FEET,24.7,DEGREES C,8.7,MG/L
08/28/2001,12,FEET,23.6,DEGREES C,5.4,MG/L
08/28/2001,15,FEET,21.7,DEGREES C,.8,MG/L
08/28/2001,18,FEET,18.5,DEGREES C,.1,MG/L
08/28/2001,21,FEET,14.8,DEGREES C,0,MG/L
08/28/2001,24,FEET,13.3,DEGREES C,0,MG/L
08/28/2001,27,FEET,12.5,DEGREES C,0,MG/L
08/28/2001,29,FEET,12.1,DEGREES C,0,MG/L
08/28/2001,,,25.0,C,8.9,MG/L
08/04/2016,,,29.9,C,10.6,MG/L
08/30/2016,3,FEET,26.98,DEGREES C,8.66,MG/L
08/30/2016,6,FEET,26.58,DEGREES C,8.33,MG/L
08/30/2016,9,FEET,25.61,DEGREES C,6.4,MG/L
08/30/2016,12,FEET,24.71,DEGREES C,3.43,MG/L
08/30/2016,15,FEET,21.35,DEGREES C,.33,MG/L
08/30/2016,18,FEET,15.86,DEGREES C,6.78,MG/L
08/30/2016,21,FEET,12.55,DEGREES C,0,MG/L
08/30/2016,24,FEET,11.05,DEGREES C,0,MG/L
08/30/2016,26.5,FEET,10.65,DEGREES C,0,MG/L
08/30/2016,,,26.98,C,8.66,MG/L
09/16/2016,3,FEET,23.17,DEGREES C,7.2,MG/L
09/16/2016,6,FEET,22.99,DEGREES C,7,MG/L
09/16/2016,9,FEET,22.93,DEGREES C,6.92,MG/L
09/16/2016,12,FEET,22.81,DEGREES C,6.16,MG/L
09/16/2016,15,FEET,22.34,DEGREES C,4.84,MG/L
09/16/2016,18,FEET,17.27,DEGREES C,0,MG/L
09/16/2016,21,FEET,13.59,DEGREES C,0,MG/L
09/16/2016,24,FEET,11.25,DEGREES C,0,MG/L
09/16/2016,27,FEET,10.7,DEGREES C,0,MG/L
09/16/2016,,,23.2,C,7.2,MG/L



Start Date,Fieldwork Comment
07/09/1989,Rained .9 in. 7/9    
08/11/1989,Sunny- calm    
08/28/1989,Overcast- 1 in. rain today    
10/12/1989,Sunny- calm- weeds beginning to fade    
08/26/1991,Soft breeze- water surface temp: 81 F- 94 F    
09/07/1991,Calm- surface temp: 77 F- 82 F    
09/22/1991,Winds at 12-15 mph- 62 F- surface temp: 62 F    
10/09/1991,Calm- surface temp: 60 F- 70 F    
06/13/1992,Calm surface    
07/11/1992,Water surface temp is 75 degrees- air temp is 65 degrees- slight breeze- overcast skies.    
07/21/1994,nps appraisal monitoring    
08/17/1994,nps appraisal monitoring    
06/18/1995,82 degrees- slight breeze- perfect morning on the lake.    
07/02/1995,Perfect morning-sunny-70 degrees-calm.    
08/06/1995,78 degrees- overcast.    
07/24/1996,WISCONSIN LAKE MANAGEMENT PLAN GRANT PROGRAM    
