Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Krohns Lake,Kewaunee,94700,NE,31,,313030,SE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,02/09/1976,,,,,27,,54,,,,,,
1,04/13/1976,6.6,,2,,,50,,,,,,,
1,07/07/1976,4.3,,1.3,,,56,,,,,,,
1,10/25/1976,11.5,,3.5,,,42,,,,,,,
1,03/01/1994,,,,,60,,60,,,,,,
1,06/21/1994,6.3,,1.91,6.08,9,51,45,48,,,,,
1,07/21/1994,6,,1.83,3.7,11,51,47,45,,,,,
1,08/16/1994,6,,1.83,3.69,8,51,44,45,,,,,
7000093,08/21/2003,,,,2.67,,,,42,,,,,
8191175,09/18/2004,6.75,NO,2.1,,,50,,,LOW,,MURKY,YELLOW,3-Enjoyment somewhat impaired (algae)
8191175,09/25/2004,6.5,NO,2,,,50,,,LOW,,MURKY,YELLOW,3-Enjoyment somewhat impaired (algae)
8191175,10/09/2004,7,NO,2.1,,,49,,,LOW,,MURKY,YELLOW,3-Enjoyment somewhat impaired (algae)
8191175,10/25/2004,11.5,NO,3.5,,,42,,,LOW,,CLEAR,YELLOW,2-Very minor aesthetic problems
8191175,06/04/2005,8,NO,2.4,,,47,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8191175,06/14/2005,13.5,NO,4.1,,,40,,,NORMAL,,MURKY,YELLOW,4-Would not swim but boating OK (algae)
8191175,06/21/2005,4.5,NO,1.4,,,55,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8191175,07/04/2005,6.25,NO,1.9,,,51,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8191175,07/22/2005,16.5,YES,5,,,37,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8191175,08/13/2005,10.5,NO,3.2,,,43,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8191175,08/27/2005,10.5,NO,3.2,,,43,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8191175,09/06/2005,8.5,NO,2.6,,,46,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8191175,09/27/2005,14,NO,4.3,,,39,,,LOW,,MURKY,YELLOW,2-Very minor aesthetic problems
8191175,10/30/2005,10.5,NO,3.2,,,43,,,LOW,,MURKY,YELLOW,2-Very minor aesthetic problems
18663163,06/06/2007,5.5,NO,1.7,,,53,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
18663163,06/13/2007,4,NO,1.2,,,57,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
18663163,06/22/2007,5.5,NO,1.7,,,53,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
18663163,06/28/2007,5.5,NO,1.7,,,53,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
18663163,07/13/2007,4,NO,1.2,,,57,,,NORMAL,,MURKY,GREEN,5-Enjoyment substantially impaired (algae)
18663163,07/30/2007,7.5,NO,2.3,,,48,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
18663163,08/13/2007,9,NO,2.7,,,45,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
18663163,08/30/2007,12,NO,3.6,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
18663163,05/15/2008,12,NO,3.6,,,41,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
18663163,06/02/2008,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
18663163,06/18/2008,9.5,NO,2.9,,,45,,,HIGH,,MURKY,BLUE,2-Very minor aesthetic problems
18663163,07/04/2008,13,NO,4,,,40,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
18663163,07/20/2008,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
18663163,07/28/2008,4.5,NO,1.4,,,55,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
18663163,07/30/2008,4,NO,1.2,,,57,,,NORMAL,,MURKY,GREEN,5-Enjoyment substantially impaired (algae)
18663163,08/26/2008,5,NO,1.5,,,54,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
18663163,08/29/2008,6,NO,1.8,,,51,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
18663163,06/04/2009,18,NO,5.5,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
18663163,07/05/2009,9,NO,2.7,,,45,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
18663163,07/15/2009,4.5,NO,1.4,,,55,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
18663163,08/12/2009,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
18663163,08/24/2009,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
18663163,07/10/2010,4.3,NO,1.3,,,56,,,HIGH,,MURKY,BROWN,4-Would not swim but boating OK (algae)
18663163,07/26/2010,6.3,NO,1.9,,,51,,,HIGH,,MURKY,BROWN,4-Would not swim but boating OK (algae)
18663163,08/15/2010,6,NO,1.8,,,51,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
18663163,08/22/2010,7.3,NO,2.2,,,48,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
18663163,08/28/2010,7.8,NO,2.4,,,48,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
18663163,09/12/2010,6.5,NO,2,,,50,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
18663163,06/25/2011,6.1,NO,1.9,,,51,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
18663163,07/11/2011,5.6,NO,1.7,,,52,,,HIGH,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
18663163,07/13/2011,5.1,NO,1.6,,,54,,,HIGH,,MURKY,BROWN,4-Would not swim but boating OK (algae)
18663163,07/20/2011,5,NO,1.5,,,54,,,HIGH,,MURKY,BROWN,4-Would not swim but boating OK (algae)
18663163,07/29/2011,8,NO,2.4,,,47,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
18663163,08/05/2011,9.1,NO,2.8,,,45,,,HIGH,9.1,CLEAR,BROWN,2-Very minor aesthetic problems
18663163,09/01/2011,7.2,NO,2.2,,,49,,,HIGH,7.2,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
18663163,06/10/2012,5.9,NO,1.8,,,52,,,HIGH,,MURKY,GREEN,4-Would not swim but boating OK (algae)
