Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Heidmann Lake,Kewaunee,85200,NE,31,,313031,SE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,02/09/1976,,,,,29,,54,,,,,,
1,04/13/1976,4.9,,1.5,,,54,,,,,,,
1,07/07/1976,5.6,,1.7,,,52,,,,,,,
1,10/25/1976,7.4,,2.25,,,48,,,,,,,
8189551,05/22/1993,10.25,NO,3.1,,,44,,,,,,BROWN,2-Very minor aesthetic problems
8189551,06/06/1993,12.75,NO,3.9,,,40,,,,,,SLIGHT BROWN,2-Very minor aesthetic problems
8189551,07/03/1993,9.75,NO,3,,,44,,,,,,BROWN,2-Very minor aesthetic problems
8189551,07/21/1993,11.25,NO,3.4,,,42,,,,,,BROWN,2-Very minor aesthetic problems
8189551,08/14/1993,9,NO,2.7,,,45,,,,,,BROWN,2-Very minor aesthetic problems
8189551,08/31/1993,10.75,NO,3.3,,,43,,,,,,BROWN,2-Very minor aesthetic problems
8189551,10/07/1993,10,NO,3,,,44,,,,,,BROWN,2-Very minor aesthetic problems
8189551,04/18/1994,4.25,NO,1.3,27.8,47,56,58,60,6" ABOVE SUMMER LEVEL,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189551,05/22/1994,9,NO,2.7,,,45,,,HIGH-~3-5",,,BROWN,2-Very minor aesthetic problems
8189551,06/17/1994,11.25,NO,3.4,3.92,15,42,49,45,NORMAL,,,BROWN,2-Very minor aesthetic problems
8189551,07/03/1994,9,NO,2.7,,,45,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8189551,07/31/1994,10.75,NO,3.3,4.82,15,43,49,47,NORMAL,,,BROWN,2-Very minor aesthetic problems
1,08/29/1994,,,,5,20,,51,47,,,,,
8189551,08/29/1994,12,NO,3.6,,,41,,,NORMAL,,,BROWN,1-Beautiful, could not be nicer
8189551,11/10/1994,9.5,NO,2.9,11.2,23,45,52,53,NORMAL,,,BROWN,2-Very minor aesthetic problems
8189551,06/04/1995,9.5,NO,2.9,3.15,27,45,54,43,,,,BROWN,2-Very minor aesthetic problems
8189551,07/02/1995,11.25,NO,3.4,3.08,16,42,50,43,LOW,,,BROWN,2-Very minor aesthetic problems
8189551,08/29/1995,9.25,NO,2.8,6.8,25,45,53,49,,,,BROWN,2-Very minor aesthetic problems
8189551,06/05/1996,10,NO,3,3.72,77,44,62,45,6-8" HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8189551,07/04/1996,8,NO,2.4,,,47,,,4" ABOVE SUMMER,,CLEAR,BROWN,2-Very minor aesthetic problems
8189551,06/08/1997,7.25,NO,2.2,12.3,39,49,57,54,6-8" HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189551,07/20/1997,13,NO,4,3.24,20,40,51,44,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189551,08/22/1998,,,,6.38,16,,50,49,,,,,
8189551,05/09/2001,6,NO,1.8,,21,51,52,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189551,07/18/2001,9,NO,2.7,5,17,45,50,47,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
16097348,07/27/2002,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189551,08/31/2004,,,,4.15,15,,49,46,,,,,
16097348,08/31/2004,15.75,NO,4.8,,,37,,,NORMAL,,CLEAR,YELLOW,1-Beautiful, could not be nicer
15899263,04/11/2006,5.75,NO,1.7,,48,52,58,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
15899263,07/18/2006,12,NO,3.6,3.34,15,41,49,44,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
16097348,07/23/2006,11.25,NO,3.4,,,42,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
135619862,05/29/2017,13,NO,4,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
135619862,06/27/2017,6.5,NO,2,,,50,,,HIGH,,MURKY,BROWN,1-Beautiful, could not be nicer
7000093,07/19/2017,,,,2.3,17.1,,50,41,,,,,
144883596,07/19/2017,,,,,,,,,,,CLEAR,BROWN,
144883596,08/22/2017,,,,,,,,,,,CLEAR,BROWN,
147430520,08/22/2017,8,N,2.4,3.62,13.1,47,48,45,,,,,
144883596,09/11/2017,12,NO,3.6,3.96,16.1,41,50,45,,,CLEAR,BROWN,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
02/09/1976,,,1,C,9.4,MG/L
04/13/1976,,,4.6,C,4,MG/L
07/07/1976,,,11.8,C,1.3,MG/L
10/25/1976,,,8,C,8.4,MG/L
04/18/1994,3,FEET,50,DEGREES F,,
04/18/1994,9,FEET,49,DEGREES F,,
04/18/1994,12,FEET,48,DEGREES F,,
04/18/1994,15,FEET,47,DEGREES F,,
04/18/1994,20,FEET,47,DEGREES F,,
04/18/1994,25,FEET,47,DEGREES F,,
04/18/1994,30,FEET,47,DEGREES F,,
06/17/1994,3,FEET,80,DEGREES F,,
06/17/1994,9,FEET,74,DEGREES F,,
06/17/1994,12,FEET,67,DEGREES F,,
06/17/1994,15,FEET,61,DEGREES F,,
06/17/1994,20,FEET,54,DEGREES F,,
06/17/1994,25,FEET,49,DEGREES F,,
06/17/1994,30,FEET,48,DEGREES F,,
07/31/1994,3,FEET,75,DEGREES F,,
07/31/1994,9,FEET,74,DEGREES F,,
07/31/1994,12,FEET,72,DEGREES F,,
07/31/1994,15,FEET,66,DEGREES F,,
07/31/1994,20,FEET,53,DEGREES F,,
07/31/1994,25,FEET,50,DEGREES F,,
07/31/1994,30,FEET,49,DEGREES F,,
08/29/1994,3,FEET,74,DEGREES F,,
08/29/1994,9,FEET,73,DEGREES F,,
08/29/1994,12,FEET,70,DEGREES F,,
08/29/1994,15,FEET,66,DEGREES F,,
08/29/1994,20,FEET,57,DEGREES F,,
08/29/1994,25,FEET,50,DEGREES F,,
08/29/1994,30,FEET,48,DEGREES F,,
11/10/1994,3,FEET,47,DEGREES F,,
11/10/1994,9,FEET,47,DEGREES F,,
11/10/1994,12,FEET,47,DEGREES F,,
11/10/1994,15,FEET,46,DEGREES F,,
11/10/1994,20,FEET,46,DEGREES F,,
11/10/1994,25,FEET,46,DEGREES F,,
11/10/1994,30,FEET,46,DEGREES F,,
06/04/1995,3,FEET,73,DEGREES F,,
06/04/1995,9,FEET,63,DEGREES F,,
06/04/1995,12,FEET,61,DEGREES F,,
06/04/1995,15,FEET,58,DEGREES F,,
06/04/1995,20,FEET,50,DEGREES F,,
06/04/1995,25,FEET,47,DEGREES F,,
06/04/1995,30,FEET,46,DEGREES F,,
07/02/1995,3,FEET,76,DEGREES F,,
07/02/1995,9,FEET,74,DEGREES F,,
07/02/1995,12,FEET,70,DEGREES F,,
07/02/1995,15,FEET,62,DEGREES F,,
07/02/1995,20,FEET,54,DEGREES F,,
07/02/1995,25,FEET,48,DEGREES F,,
07/02/1995,30,FEET,48,DEGREES F,,
08/29/1995,3,FEET,77,DEGREES F,,
08/29/1995,9,FEET,77,DEGREES F,,
08/29/1995,12,FEET,76,DEGREES F,,
08/29/1995,15,FEET,71,DEGREES F,,
08/29/1995,20,FEET,58,DEGREES F,,
08/29/1995,25,FEET,51,DEGREES F,,
08/29/1995,30,FEET,50,DEGREES F,,
06/05/1996,3,FEET,65,DEGREES F,,
06/05/1996,9,FEET,63,DEGREES F,,
06/05/1996,12,FEET,57,DEGREES F,,
06/05/1996,15,FEET,52,DEGREES F,,
06/05/1996,20,FEET,50,DEGREES F,,
06/05/1996,25,FEET,45,DEGREES F,,
06/05/1996,30,FEET,45,DEGREES F,,
06/08/1997,3,FEET,68,DEGREES F,,
06/08/1997,9,FEET,63,DEGREES F,,
06/08/1997,12,FEET,60,DEGREES F,,
06/08/1997,15,FEET,54,DEGREES F,,
06/08/1997,20,FEET,54,DEGREES F,,
06/08/1997,25,FEET,49,DEGREES F,,
06/08/1997,30,FEET,46,DEGREES F,,
07/20/1997,3,FEET,76,DEGREES F,,
07/20/1997,9,FEET,75,DEGREES F,,
07/20/1997,12,FEET,70,DEGREES F,,
07/20/1997,15,FEET,63,DEGREES F,,
07/20/1997,20,FEET,53,DEGREES F,,
07/20/1997,25,FEET,48,DEGREES F,,
07/20/1997,30,FEET,47,DEGREES F,,
05/09/2001,3,FEET,63,DEGREES F,,
05/09/2001,9,FEET,60,DEGREES F,,
05/09/2001,12,FEET,60,DEGREES F,,
05/09/2001,15,FEET,53,DEGREES F,,
05/09/2001,18,FEET,50,DEGREES F,,
05/09/2001,21,FEET,46,DEGREES F,,
05/09/2001,25,FEET,46,DEGREES F,,
07/18/2001,3,FEET,80,DEGREES F,,
07/18/2001,6,FEET,78,DEGREES F,,
07/18/2001,9,FEET,78,DEGREES F,,
07/18/2001,12,FEET,70,DEGREES F,,
07/18/2001,15,FEET,64,DEGREES F,,
07/18/2001,20,FEET,55,DEGREES F,,
07/18/2001,25,FEET,49,DEGREES F,,
07/18/2001,30,FEET,47,DEGREES F,,
08/31/2004,3,FEET,69,DEGREES F,8,ug/l
08/31/2004,6,FEET,69.5,DEGREES F,8,ug/l
08/31/2004,9,FEET,69.5,DEGREES F,8,ug/l
08/31/2004,12,FEET,69,DEGREES F,7,ug/l
08/31/2004,15,FEET,67.5,DEGREES F,3,ug/l
08/31/2004,18,FEET,62.5,DEGREES F,,
08/31/2004,21,FEET,56.5,DEGREES F,,
08/31/2004,24,FEET,52,DEGREES F,,
08/31/2004,27,FEET,50,DEGREES F,,
08/31/2004,30,FEET,48.5,DEGREES F,,
04/11/2006,3,FEET,48,DEGREES F,9,MG/L
04/11/2006,9,FEET,47,DEGREES F,9,MG/L
04/11/2006,12,FEET,46,DEGREES F,9,MG/L
04/11/2006,15,FEET,45,DEGREES F,9,MG/L
04/11/2006,20,FEET,45,DEGREES F,8,MG/L
04/11/2006,25,FEET,44,DEGREES F,7,MG/L
04/11/2006,30,FEET,44,DEGREES F,7,MG/L
07/18/2006,3,FEET,81,DEGREES F,8,MG/L
07/18/2006,9,FEET,71,DEGREES F,6,MG/L
07/18/2006,12,FEET,71,DEGREES F,5.5,MG/L
07/18/2006,15,FEET,61.5,DEGREES F,3,MG/L
07/18/2006,20,FEET,54,DEGREES F,1,MG/L
07/18/2006,25,FEET,49,DEGREES F,1,MG/L
07/18/2006,30,FEET,46,DEGREES F,,
07/19/2017,1,METERS,26.2,DEGREES C,7.7,MG/L
07/19/2017,2,METERS,25.3,DEGREES C,7.8,MG/L
07/19/2017,3,METERS,23.8,DEGREES C,7.3,MG/L
07/19/2017,4,METERS,19.7,DEGREES C,2.4,MG/L
07/19/2017,5,METERS,13.8,DEGREES C,.7,MG/L
07/19/2017,6,METERS,10.5,DEGREES C,.4,MG/L
07/19/2017,7,METERS,8,DEGREES C,.2,MG/L
07/19/2017,8,METERS,6.8,DEGREES C,.1,MG/L
08/22/2017,1,METERS,23.97,DEGREES C,7.05,MG/L
08/22/2017,2,METERS,23.96,DEGREES C,7.09,MG/L
08/22/2017,3,METERS,23.98,DEGREES C,6.97,MG/L
08/22/2017,4,METERS,21.7,DEGREES C,1.12,MG/L
08/22/2017,5,METERS,16.06,DEGREES C,.55,MG/L
08/22/2017,6,METERS,11.35,DEGREES C,.33,MG/L
08/22/2017,7,METERS,9.68,DEGREES C,.3,MG/L
08/22/2017,,,24.0,C,7.1,MG/L
09/11/2017,1,METERS,18.7,DEGREES C,6.47,MG/L
09/11/2017,2,METERS,18.58,DEGREES C,6.43,MG/L
09/11/2017,3,METERS,18.46,DEGREES C,6.29,MG/L
09/11/2017,4,METERS,18.17,DEGREES C,4.46,MG/L
09/11/2017,5,METERS,17.43,DEGREES C,1.09,MG/L
09/11/2017,6,METERS,12.61,DEGREES C,.63,MG/L
09/11/2017,7,METERS,9.25,DEGREES C,.41,MG/L
09/11/2017,8,METERS,7.52,DEGREES C,.26,MG/L
09/11/2017,9,METERS,7.13,DEGREES C,.23,MG/L
09/11/2017,,,18.7,C,6.4,MG/L



Start Date,Fieldwork Comment
02/09/1976,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
04/13/1976,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
07/07/1976,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
10/25/1976,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
05/22/1993,Clear and sunny- calm- air temp is 68 degrees.  Water color is slight tan.    
06/06/1993,Sunny- light haze- slight ripple- air temp 65- water light tan    
07/03/1993,Sunny- slight ripple on water- much rain recently    
07/21/1993,Hazy- mostly calm    
08/31/1993,Clear- breezy- mild chop    
10/07/1993,Sunny- slight chop on the water- water color seems more brown than usual.    
04/18/1994,Sunny- 70 degrees- air temp- slight chop on water- ice off 4-9-94.  Red-breasted mergansers feeding on the lake.    
05/22/1994,Sunny- slight ripple- air temp. 75 degrees.  Saw a pair of black terns circling lake-nesting pair   used to have 5-6 pair nesting on hummocks of floating lily ad roots about 20-25 years ago.    
06/17/1994,Very slight breeze- 90 degrees and sunny    
07/03/1994,Sunny-slight ripple.    
07/31/1994,Sunny- but very hazy due to Canadian forest fires- slight ripple    
08/29/1994,Sunny- slight chop- 75 degrees air temperature    
11/10/1994,Sunny and calm    
06/04/1995,Sunny- high thin clouds- calm.    
07/02/1995,Sunny- brisk breeze- moderate chop.  Water level: Summer Low    
08/29/1995,Large areas of good bass and bluegill spawning and fishing areas on this lake have been ruined by a DNR weed cutting project.  The cutting machine has uprooted large lily pad root hammocks which have drifted across the lake and are now roo    
06/05/1996,Lake is still suffering effects of UW/Department of Natural Resources weed removal experiment- there are still large masses of muck and lily pad roots.    
06/08/1997,LAKE SAMPLE    
07/20/1997,LAKE SAMPLE    
08/22/1998,LAKE SAMPLE    
05/09/2001,DEEP SPOT    
07/18/2001,DEEP SPOT    
08/31/2004,DEEP HOLE - 3FT VAN DORN SAMPLE    
08/31/2004,I have a new/ replacement surface on my Secchi disk this year.  That may have helped me to get that exceptional 15.75 foot reading last month.    
07/18/2006,D.O sampled at 20 and 25 feet less than 1 ppm
