Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
West Alaska Lake,Kewaunee,94300,NE,31,,313170,SE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,08/05/1992,,,,,,,,,,,,,
7000093,08/21/2003,,,,7.25,,,,50,,,,,
8190347,05/30/2016,14.5,NO,4.4,,,39,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8190347,07/04/2016,10,NO,3,,,44,,,NORMAL,,CLEAR,YELLOW,1-Beautiful, could not be nicer
7000093,07/26/2016,20.5,NO,6.2,1.44,16.4,34,50,38,,,,,
7000093,08/15/2016,13.5,N,4.1,3.19,23.9,40,53,44,,,,,
7000093,09/09/2016,10,N,3,4.17,19.6,44,51,46,,,,,
8190347,09/18/2016,9,NO,2.7,,,45,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
7000093,07/17/2017,,,,4.18,19.5,,51,46,,,,,
144883596,07/17/2017,,,,,,,,,,,CLEAR,BLUE,
7000093,08/14/2017,11.3,,3.4,3.9,15.6,42,49,45,,,,,
144883596,08/14/2017,,,,,,,,,,,CLEAR,BROWN,
147430520,09/07/2017,11,N,3.3,5.49,17.1,43,50,48,,,CLEAR,BROWN,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/05/1992,,,22.5,C,,
07/04/2016,5,FEET,74.5,DEGREES F,,
07/04/2016,10,FEET,71.5,DEGREES F,,
07/04/2016,15,FEET,57,DEGREES F,,
07/04/2016,20,FEET,48,DEGREES F,,
07/04/2016,25,FEET,44.5,DEGREES F,,
07/04/2016,30,FEET,43.5,DEGREES F,,
07/26/2016,1,METERS,26.8,DEGREES C,7.6,MG/L
07/26/2016,2,METERS,26.6,DEGREES C,7.6,MG/L
07/26/2016,3,METERS,25,DEGREES C,8.2,MG/L
07/26/2016,4,METERS,20.5,DEGREES C,7.4,MG/L
07/26/2016,5,METERS,15,DEGREES C,2.7,MG/L
07/26/2016,6,METERS,10.7,DEGREES C,.8,MG/L
07/26/2016,6.5,METERS,9.4,DEGREES C,.4,MG/L
07/26/2016,,,,C,7.6,MG/L
08/15/2016,1,METERS,26.77,DEGREES C,8.03,MG/L
08/15/2016,2,METERS,26.56,DEGREES C,7.56,MG/L
08/15/2016,3,METERS,25.87,DEGREES C,6.38,MG/L
08/15/2016,4,METERS,22.13,DEGREES C,8.25,MG/L
08/15/2016,5,METERS,16.87,DEGREES C,3.43,MG/L
08/15/2016,6,METERS,11.6,DEGREES C,1.39,MG/L
08/15/2016,7,METERS,9.19,DEGREES C,.89,MG/L
08/15/2016,8,METERS,7.73,DEGREES C,.47,MG/L
08/15/2016,9,METERS,7.17,DEGREES C,.34,MG/L
08/15/2016,10,METERS,6.78,DEGREES C,.27,MG/L
08/15/2016,11,METERS,6.63,DEGREES C,.23,MG/L
09/09/2016,1,METERS,23.9,DEGREES C,8.3,MG/L
09/09/2016,2,METERS,23.8,DEGREES C,8,MG/L
09/09/2016,3,METERS,23.6,DEGREES C,7.8,MG/L
09/09/2016,4,METERS,22.3,DEGREES C,3.3,MG/L
09/09/2016,5,METERS,18.1,DEGREES C,.2,MG/L
09/09/2016,6,METERS,13.2,DEGREES C,.2,MG/L
09/09/2016,7,METERS,9.4,DEGREES C,.1,MG/L
09/09/2016,8,METERS,8.2,DEGREES C,.1,MG/L
09/09/2016,9,METERS,7.4,DEGREES C,.1,MG/L
09/09/2016,10,METERS,7,DEGREES C,.1,MG/L
09/09/2016,11,METERS,6.9,DEGREES C,.1,MG/L
09/18/2016,5,FEET,71.6,DEGREES F,,
09/18/2016,10,FEET,70.3,DEGREES F,,
09/18/2016,15,FEET,67,DEGREES F,,
09/18/2016,20,FEET,53,DEGREES F,,
09/18/2016,25,FEET,47.4,DEGREES F,,
