Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Jersey City Flowage,Lincoln,1516000,NO,35,,353090,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
37725885,08/06/1979,,,,18.79,30,,54,57,,,,,
8188599,04/30/2003,6,YES,1.8,,,51,,,,,,,
8188599,08/19/2003,4,NO,1.2,13.2,,57,,54,,,,,
37494383,09/04/2010,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
37494383,09/22/2010,3.25,NO,1,,,60,,,HIGH,,MURKY,BROWN,4-Would not swim but boating OK (algae)
37725885,09/22/2010,3.25,NO,1,,,60,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
37494383,09/29/2010,2.5,NO,0.8,,,64,,,HIGH,,MURKY,BROWN,4-Would not swim but boating OK (algae)
37725903,09/29/2010,2.5,NO,0.8,,,64,,,NORMAL,13,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
34972236,04/02/2012,3.8,NO,1.2,7.55,37,58,56,50,,,,,
16073539,06/21/2012,3.5,N,1.1,14.2,48,59,58,55,,,,,
16073539,07/23/2012,3,NO,0.9,23.8,51,61,59,59,,,,,
37725885,08/02/2012,3.5,,1.1,,,59,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
16073539,08/22/2012,4.2,NO,1.3,18.1,43,56,57,57,,,,,
73543800,10/30/2012,5.9,NO,1.8,4.46,42,52,57,46,,,,,
73543800,02/19/2013,5,NO,1.5,,70,54,61,,,,,,
1,05/23/2013,,,,,29.4,,54,,,,,,
87836035,05/23/2013,4,NO,1.2,,,57,,,HIGH,14.00,CLEAR,BROWN,
87836035,06/17/2013,4.5,NO,1.4,4.25,33.5,55,55,46,HIGH,14.00,CLEAR,BROWN,
87836035,07/30/2013,,,,12.7,43.6,,57,54,,,,,
37494383,08/26/2013,3,NO,0.9,,,61,,,HIGH,14.00,CLEAR,BROWN,
87836035,05/06/2014,4.5,NO,1.4,,33.3,55,55,,HIGH,,MURKY,BROWN,
37494383,06/17/2014,,,,5.93,33.3,,55,48,,,,,
87836035,06/17/2014,4,NO,1.2,,,57,,,HIGH,,MURKY,BROWN,
1,07/14/2014,,,,14.6,43,,57,55,,,,,
87836035,07/14/2014,3,NO,0.9,,,61,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
87836035,08/22/2014,3,NO,0.9,19.8,50.9,61,59,57,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
101137332,06/08/2015,3.5,NO,1.1,,,59,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
37725903,06/23/2015,,,,6.09,43.5,,57,48,,,,,
37725903,07/27/2015,,,,14.7,53.7,,59,55,,,,,
87836035,07/27/2015,3,NO,0.9,,,61,,,NORMAL,,MURKY,BROWN,4-Would not swim but boating OK (algae)
87836035,08/26/2015,4,NO,1.2,6.37,43,57,57,49,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
87836035,09/22/2015,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
1,03/29/2016,,,,,38.5,,56,,,,,,
87836035,03/29/2016,5,NO,1.5,,,54,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
37725903,06/08/2016,4.5,NO,1.4,,,55,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
87836035,06/08/2016,,,,4.95,41.6,,57,47,,,,,
87836035,07/12/2016,4,NO,1.2,,,57,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
87836035,08/03/2016,4,NO,1.2,16.7,47.8,57,58,56,NORMAL,,MURKY,BROWN,
87836035,10/06/2016,2,,0.6,,,67,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
101137332,05/10/2017,4,NO,1.2,,,57,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
101137332,06/20/2017,3,NO,0.9,,,61,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
87836035,07/19/2017,4.5,NO,1.4,6.93,35.7,55,56,49,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
87836035,08/22/2017,5,NO,1.5,,,54,,,HIGH,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
87836035,09/14/2017,5,NO,1.5,,,54,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/06/1979,,,23,C,,
04/30/2003,0,FEET,10.3,DEGREES C,9.72,MG/L
04/30/2003,1,FEET,10.4,DEGREES C,9.71,MG/L
04/30/2003,2,FEET,10.4,DEGREES C,9.66,MG/L
04/30/2003,3,FEET,10.4,DEGREES C,9.92,MG/L
04/30/2003,4,FEET,10.4,DEGREES C,9.81,MG/L
04/30/2003,5,FEET,10.4,DEGREES C,9.82,MG/L
04/30/2003,6,FEET,10.4,DEGREES C,9.77,MG/L
08/19/2003,0,FEET,24.8,DEGREES C,6.14,MG/L
08/19/2003,1,FEET,24.8,DEGREES C,6.06,MG/L
08/19/2003,2,FEET,24.8,DEGREES C,6.01,MG/L
08/19/2003,3,FEET,24.7,DEGREES C,5.94,MG/L
08/19/2003,4,FEET,24.7,DEGREES C,5.92,MG/L
08/19/2003,5,FEET,24.7,DEGREES C,5.89,MG/L
08/19/2003,6,FEET,24.7,DEGREES C,5.82,MG/L
04/02/2012,,,7.9,C,10.1,MG/L
06/21/2012,,,23.4,C,6.0,MG/L
07/23/2012,,,27.3,C,6.1,MG/L
08/22/2012,,,21.1,C,5.9,MG/L
10/30/2012,,,5.2,C,9.8,MG/L
02/19/2013,,,0.0,C,10.0,MG/L
08/26/2013,1,FEET,75.2,DEGREES F,,
08/26/2013,6,FEET,75,DEGREES F,,
06/17/2014,1,FEET,70.5,DEGREES F,,
06/17/2014,5,FEET,69,DEGREES F,,
07/14/2014,1,FEET,71.6,DEGREES F,,
07/14/2014,10,FEET,70,DEGREES F,,
08/22/2014,1,FEET,71.6,DEGREES F,,
08/22/2014,12,FEET,69.2,DEGREES F,,
06/08/2015,6,FEET,58.3,DEGREES F,,
07/27/2015,1,FEET,77.8,DEGREES F,,
07/27/2015,9,FEET,76.4,DEGREES F,,
08/26/2015,1,FEET,61.8,DEGREES F,,
08/26/2015,6,FEET,61,DEGREES F,,
09/22/2015,1,FEET,63.8,DEGREES F,,
09/22/2015,8,FEET,63.6,DEGREES F,,
03/29/2016,1,FEET,44,DEGREES F,,
03/29/2016,8,FEET,41,DEGREES F,,
06/08/2016,1,FEET,65.4,DEGREES F,,
06/08/2016,8,FEET,63,DEGREES F,,
07/12/2016,1,FEET,73.4,DEGREES F,,
07/12/2016,8,FEET,73.2,DEGREES F,,
08/03/2016,1,FEET,75.3,DEGREES F,,
08/03/2016,8,FEET,78,DEGREES F,,
05/10/2017,1,FEET,59.1,DEGREES F,,
05/10/2017,8,FEET,55.7,DEGREES F,,
06/20/2017,1,FEET,68,DEGREES F,,
06/20/2017,8,FEET,67.4,DEGREES F,,
07/19/2017,1,FEET,77,DEGREES F,,
07/19/2017,8,FEET,75,DEGREES F,,
08/22/2017,1,FEET,70,DEGREES F,,
08/22/2017,8,FEET,70,DEGREES F,,
09/14/2017,1,FEET,70,DEGREES F,,
09/14/2017,6,FEET,67,DEGREES F,,



Start Date,Fieldwork Comment
08/06/1979,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR     
08/19/2003,DEEP HOLE - INTEGRATED SAMPLER    
09/04/2010,This is our site information.  We refer to this site as Eagle Nest.  I am unable to change site names 
05/06/2014,Water depth 13 feet.
06/17/2014,Site is 14 feet deep.
07/14/2014,water is 14 feet deep.
08/22/2014,water level 14.00
06/08/2015,water is 15.5 feet deep
08/26/2015,15 feet deep
09/22/2015,15 feet deep
03/29/2016,water depth 14 feet.
06/08/2016,Water depth is 10.50 feet deep.
07/12/2016,water depth is 16 feet
08/03/2016,water depth 13.5 feet
10/06/2016,water depth 12 feet.
05/10/2017,water depth 13 feet
06/20/2017,Water depth 11 feet
07/19/2017,water depth 13.1 feet
08/22/2017,water depth of 18 feet
09/14/2017,water depth 16 feet




Start Date,Group Name,Project Name
08/06/1979,Dennis Hinterleitner,Citizen Lake Monitoring - Water Quality - Jersey City Flowage - Deep Hole
08/06/1979,Dennis Hinterleitner,Migrated from STORET Legacy
04/30/2003,Rick Jirsa,Lakes Baseline and Trends Monitoring
08/19/2003,Rick Jirsa,Lake Baseline Monitoring- DNR (1970s-2006)
09/04/2010,Robert and Sharon Eisenman,Citizen Lake Monitoring - Water Quality - Jersey City Flowage - Deep Hole
09/22/2010,Dennis Hinterleitner,Citizen Lake Monitoring - Water Quality - Jersey City Flowage - Deep Hole
09/22/2010,Robert and Sharon Eisenman,Citizen Lake Monitoring - Water Quality - Jersey City Flowage - Deep Hole
09/29/2010,Robert Eisenman and Dennis Hinterleitner,Citizen Lake Monitoring - Water Quality - Jersey City Flowage - Deep Hole
09/29/2010,Robert and Sharon Eisenman,Citizen Lake Monitoring - Water Quality - Jersey City Flowage - Deep Hole
04/02/2012,Todd Hanke - Onterra- LLC,FRIENDS OF JERSEY FLOWAGE: Jersey Flowage Lake Management Planning Project- Phase 1
