Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Cedar Lake,Manitowoc,45100,NE,36,,363120,SE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,07/26/1973,,,,,70,,61,,,,,,
1,11/29/1973,,,,,30,,54,,,,,,
1,04/25/1974,16.1,,4.9,,10,37,46,,,,,,
1,08/29/1974,,,,,40,,57,,,,,,
1,10/30/1974,,,,,60,,60,,,,,,
1,03/17/1975,,,,,20,,51,,,,,,
1,07/21/1988,12.1,,3.7,5,9,41,45,47,,,,,
1,08/30/1988,9.2,,2.8,7,12,45,47,50,,,,,
1,06/12/1997,,,,1.5,8,,44,38,,,,,
1,07/15/1997,,,,2.26,8,,44,41,,,,,
1,08/13/1997,,,,4.85,0,,,47,,,,,
1,02/10/1998,,,,,,,,,,,,,
1,04/14/1998,,,,4.99,8,,44,47,,,,,
8189421,06/26/1999,14.75,NO,4.5,,,38,,,,,CLEAR,,3-Enjoyment somewhat impaired (algae)
8189421,07/17/1999,12.75,NO,3.9,,,40,,,HIGH,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189421,08/07/1999,10,NO,3,,,44,,,NO CHANGE,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189421,08/15/1999,10,NO,3,,,44,,,NO CHANGE,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189421,08/29/1999,8.5,NO,2.6,,,46,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189421,10/10/1999,9,NO,2.7,,,45,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189421,07/23/2000,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189421,07/28/2001,13,NO,4,,,40,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189421,09/01/2001,10.5,NO,3.2,,,43,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189421,07/13/2002,8.5,NO,2.6,,,46,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189421,08/03/2002,9,NO,2.7,,,45,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189421,07/26/2003,12,NO,3.6,,,41,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189421,09/01/2003,10.5,NO,3.2,,,43,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189421,06/26/2004,23,NO,7,,,32,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8189421,07/18/2004,14.5,NO,4.4,,,39,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
10418673,10/10/2005,14.6,NO,4.4,,,39,,,,,,,
10418673,10/13/2005,20.3,NO,6.2,,,34,,,,,,,
10418673,10/20/2005,17.2,NO,5.2,,,36,,,,,,,
10418673,10/27/2005,19.3,,5.9,,,34,,,,,,,
10418673,05/30/2006,,,,,4,,39,,,,,,
10418673,06/14/2006,21.1,,6.4,0.99,11,33,47,35,,,,,
10418673,07/11/2006,15.5,,4.7,3.11,20,38,51,43,,,,,
10418673,07/15/2006,15.5,,4.7,,,38,,,,,,,
10418673,07/23/2006,14.6,,4.4,,,39,,,,,,,
10418673,08/20/2006,10.5,,3.2,3.63,15,43,49,45,,,,,
10418673,05/23/2007,,,,,16,,50,,,,,,
10418673,06/11/2007,,,,1.39,22,,52,37,,,,,
10418673,07/21/2007,15.1,NO,4.6,,,38,,,,,,,
10418673,07/25/2007,14.9,NO,4.5,2.19,14,38,49,41,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
10418673,08/14/2007,14.3,NO,4.3,,,39,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
10418673,08/29/2007,13.6,NO,4.1,4.11,12,40,47,45,,,,,
10418673,10/07/2007,16.8,NO,5.1,,,36,,,,,,,
10418673,11/03/2007,25.1,NO,7.6,,,31,,,,,,,
