Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Silver Lake,Manitowoc,67400,NE,36,,363312,SE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
7000093,04/24/2003,1.3,NO,0.4,,358,73,74,,,,,,
7000093,07/17/2003,1.3,NO,0.4,45.6,120,73,65,64,,,,,
7000093,08/14/2003,1.3,NO,0.4,29.3,94,73,63,60,,,,,
7000093,05/06/2004,3,NO,0.9,26.7,50,61,58,60,,,,,
7000093,06/16/2004,11.48,NO,3.5,6.25,30,42,54,49,,,,,
7000093,07/19/2004,4.264,NO,1.3,19.6,32,56,55,57,,,,,
7000093,08/24/2004,2.6,NO,0.8,29.9,39,63,57,60,,,,,
7000093,04/11/2005,3.3,NO,1,,49,52,58,,,,MURKY,BROWN,
7000093,06/16/2005,5.9,NO,1.8,6.65,24,52,53,49,,,MURKY,BROWN,
7000093,07/19/2005,2,NO,0.6,,29,67,54,,,,MURKY,GREEN,
7000093,08/12/2005,3,NO,0.9,10.2,27,61,54,52,,,MURKY,GREEN,
7000093,03/30/2006,4.6,NO,1.4,,64,55,60,,,,CLEAR,BLUE,
8188489,06/16/2006,8,NO,2.4,,,47,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
7000093,07/26/2006,3.3,NO,1,10.2,27,60,54,52,,,MURKY,GREEN,
8188489,08/05/2006,4,NO,1.2,,,57,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8188489,08/18/2006,4,NO,1.2,,,57,,,NORMAL,,,GREEN,4-Would not swim but boating OK (algae)
8188489,08/19/2006,4,NO,1.2,,,57,,,NORMAL,,,GREEN,4-Would not swim but boating OK (algae)
7000093,08/22/2006,3.3,NO,1,9.94,25,60,53,52,,,MURKY,GREEN,
7000093,09/12/2006,5.6,NO,1.7,10.2,30,52,54,52,,,MURKY,GREEN,
7000105,09/21/2006,,,,15.1,,,,55,,,,,
7000093,04/09/2007,3.6,NO,1.1,,42,59,57,,,,MURKY,GREEN,
7000093,05/21/2007,4.2,NO,1.3,,21,39,52,,HIGH,,CLEAR,,
7000093,06/11/2007,4.6,NO,1.4,,27,55,54,,,,,,
7000093,07/18/2007,6.6,NO,2,5.22,27,50,54,47,,,,,
7000093,08/28/2007,10.5,NO,3.2,7.03,22,43,52,50,,,,,
7000093,09/20/2007,5.6,NO,1.7,14.3,36,52,56,55,,,,,
7000093,04/15/2008,1.8,NO,0.5,,78,69,62,,HIGH,,,,
