Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Yankee Lake,Marinette,440100,NE,38,,383255,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190780,06/30/1989,6,NO,1.8,,,51,,,GAUGE,12,,GREEN,
8190780,07/08/1989,6.5,NO,2,,,50,,,GAUGE,10.5,,GREEN,4-Would not swim but boating OK (algae)
8190780,07/22/1989,5.75,NO,1.7,,,52,,,GAUGE,11,,GREEN,
8190780,08/06/1989,5,NO,1.5,,,54,,,GAUGE,11.5,,GREEN,4-Would not swim but boating OK (algae)
29404769,05/15/2009,7.75,NO,2.4,,,48,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,05/19/2009,7,NO,2.1,,,49,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,05/27/2009,6.25,NO,1.9,,,51,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,06/04/2009,8.5,NO,2.6,,,46,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,06/12/2009,8.25,NO,2.5,,,47,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,06/28/2009,6.25,NO,1.9,,,51,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,07/08/2009,5.25,NO,1.6,,,53,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
29404769,07/14/2009,4,NO,1.2,,,57,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
29404769,07/20/2009,4,NO,1.2,,,57,,,LOW,,MURKY,YELLOW,3-Enjoyment somewhat impaired (algae)
29404769,07/31/2009,4.25,NO,1.3,,,56,,,LOW,,MURKY,YELLOW,3-Enjoyment somewhat impaired (algae)
29404769,08/07/2009,4.25,NO,1.3,,,56,,,LOW,,MURKY,YELLOW,3-Enjoyment somewhat impaired (algae)
29404769,08/15/2009,4.25,NO,1.3,,,56,,,LOW,,MURKY,YELLOW,3-Enjoyment somewhat impaired (algae)
29404769,08/23/2009,5.5,NO,1.7,,,53,,,LOW,,MURKY,YELLOW,3-Enjoyment somewhat impaired (algae)
29404769,08/31/2009,6,NO,1.8,,,51,,,LOW,,CLEAR,YELLOW,2-Very minor aesthetic problems
29404769,09/08/2009,6.5,NO,2,,,50,,,LOW,,CLEAR,YELLOW,2-Very minor aesthetic problems
29404769,09/16/2009,5,NO,1.5,,,54,,,LOW,,CLEAR,YELLOW,3-Enjoyment somewhat impaired (algae)
29404769,04/05/2010,8.5,NO,2.6,,,46,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
29404769,04/28/2010,8.5,NO,2.6,,,46,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
29404769,05/09/2010,8.25,NO,2.5,,,47,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,06/07/2010,6.25,NO,1.9,,,51,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,06/16/2010,8,NO,2.4,,,47,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,06/23/2010,7.75,NO,2.4,,,48,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,07/01/2010,7.5,NO,2.3,,,48,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,07/09/2010,6,NO,1.8,,,51,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,07/17/2010,6,NO,1.8,,,51,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,07/25/2010,5,NO,1.5,,,54,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,08/04/2010,4.25,NO,1.3,,,56,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,08/10/2010,4,NO,1.2,,,57,,,LOW,,CLEAR,,3-Enjoyment somewhat impaired (algae)
29404769,08/18/2010,3.5,NO,1.1,,,59,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,08/26/2010,4,NO,1.2,,,57,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,09/06/2010,4.25,NO,1.3,,,56,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,09/18/2010,5.5,NO,1.7,,,53,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,10/04/2010,5.5,NO,1.7,,,53,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
29404769,10/12/2010,5,NO,1.5,,,54,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
