Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Rost Lake,Oconto,504300,NE,43,,433061,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,01/20/1976,,,,,22,,52,,,,,,
1,04/22/1976,11.5,,3.5,,,42,,,,,,,
1,07/14/1976,13.1,,4,,,40,,,,,,,
1,10/26/1976,21.3,,6.5,,,33,,,,,,,
8190075,07/08/1991,8.5,NO,2.6,,,46,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190075,07/21/1991,14,NO,4.3,,,39,,,,,CLEAR,,2-Very minor aesthetic problems
8190075,07/30/1991,10.5,NO,3.2,,,43,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190075,08/25/1991,10,NO,3,,,44,,,,,CLEAR,,2-Very minor aesthetic problems
8190075,09/30/1991,11.5,NO,3.5,,,42,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190075,06/01/1992,16,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190075,06/30/1992,9,NO,2.7,,,45,,,,,CLEAR,,2-Very minor aesthetic problems
8190075,07/08/1992,9.5,NO,2.9,,,45,,,,,CLEAR,,2-Very minor aesthetic problems
8190075,07/19/1992,11,NO,3.3,,,43,,,24"DOWN,,CLEAR,BLUE,2-Very minor aesthetic problems
8190075,07/10/1996,6.5,NO,2,,,50,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
34801495,04/24/2010,25,YES,7.6,,,31,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
34801495,06/13/2010,,,,4.33,11,,47,46,,,,,
1,07/17/2010,,,,2.83,11,,47,43,,,,,
1,08/22/2010,,,,3.66,8,,44,45,,,,,
34801495,05/29/2011,25,YES,7.6,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
34801495,06/18/2011,14,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
34801495,06/25/2011,15,NO,4.6,,,38,,,,,,,
1,06/26/2011,,,,3.35,10,,46,44,,,,,
34801495,07/17/2011,11,NO,3.3,4.74,11,43,47,47,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
34801495,08/14/2011,10,NO,3,3.79,6,44,42,45,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
34801495,06/10/2012,15,NO,4.6,1.93,12,38,47,40,NORMAL,29,CLEAR,BLUE,2-Very minor aesthetic problems
34801495,07/15/2012,9,NO,2.7,3.81,11,45,47,45,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
34801495,08/19/2012,10,NO,3,3.89,7,44,43,45,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
79323097,06/16/2016,19.25,NO,5.9,,,35,,,NORMAL,,CLEAR,,
125862804,07/21/2016,13,N,4,2,13.4,40,48,40,,,,,
125862804,08/28/2016,13,N,4,5.66,17.9,40,50,48,,,,,
132253856,08/28/2016,13,NO,4,,,40,,,HIGH,30,CLEAR,,1-Beautiful, could not be nicer
125862804,09/18/2016,13,N,4,2.78,20,40,51,43,,,,,
132253856,09/18/2016,13,NO,4,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
79323097,11/10/2016,14.25,NO,4.3,,,39,,,NORMAL,,,,
79323097,02/24/2017,,,,,,,,,,,,,
79323097,04/28/2017,26.5,NO,8.1,,,30,,,,,,,
18137035,06/18/2017,,,,2.35,12.7,,48,41,,,,,
148112004,09/20/2017,15,NO,4.6,,,38,,,,,CLEAR,BROWN,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
04/22/1976,,,11,C,9.9,MG/L
07/14/1976,,,24.8,C,8.2,MG/L
10/26/1976,,,6.8,C,10.8,MG/L
06/25/2011,0,FEET,67.2,DEGREES F,7.1,MG/L
06/25/2011,3,FEET,66.9,DEGREES F,7.1,MG/L
06/25/2011,6,FEET,66.7,DEGREES F,6.9,MG/L
06/25/2011,9,FEET,66.5,DEGREES F,6.4,MG/L
06/25/2011,14,FEET,66.5,DEGREES F,6.4,MG/L
06/25/2011,19,FEET,65.8,DEGREES F,3.9,MG/L
06/25/2011,24,FEET,61,DEGREES F,2.2,MG/L
06/25/2011,29,FEET,56.3,DEGREES F,.3,MG/L
07/17/2011,3,FEET,77.3,DEGREES F,7.6,MG/L
07/17/2011,6,FEET,77.3,DEGREES F,7.6,MG/L
07/17/2011,9,FEET,76.8,DEGREES F,7.3,MG/L
07/17/2011,14,FEET,75,DEGREES F,7.2,MG/L
07/17/2011,19,FEET,68.3,DEGREES F,4.2,MG/L
07/17/2011,24,FEET,57,DEGREES F,1,MG/L
07/17/2011,29,FEET,57,DEGREES F,.4,MG/L
08/14/2011,3,FEET,74.4,DEGREES F,7.4,MG/L
08/14/2011,6,FEET,75,DEGREES F,7.4,MG/L
08/14/2011,9,FEET,75,DEGREES F,7.5,MG/L
08/14/2011,14,FEET,71.4,DEGREES F,7.4,MG/L
08/14/2011,19,FEET,64.2,DEGREES F,3.5,MG/L
08/14/2011,24,FEET,60.2,DEGREES F,1.2,MG/L
08/14/2011,29,FEET,60,DEGREES F,0,MG/L
06/10/2012,3,FEET,75.9,DEGREES F,9.2,MG/L
06/10/2012,6,FEET,75.7,DEGREES F,8.6,MG/L
06/10/2012,9,FEET,75.7,DEGREES F,8.8,MG/L
06/10/2012,14,FEET,71.9,DEGREES F,9.4,MG/L
06/10/2012,19,FEET,69,DEGREES F,8.2,MG/L
06/10/2012,24,FEET,65.4,DEGREES F,9,MG/L
06/10/2012,29,FEET,65.4,DEGREES F,,
07/15/2012,3,FEET,82.7,DEGREES F,7.6,MG/L
07/15/2012,6,FEET,82.7,DEGREES F,7.4,MG/L
07/15/2012,9,FEET,82.7,DEGREES F,7.4,MG/L
07/15/2012,14,FEET,81.3,DEGREES F,7.6,MG/L
07/15/2012,19,FEET,72.8,DEGREES F,6.2,MG/L
07/15/2012,24,FEET,64.4,DEGREES F,5.2,MG/L
07/15/2012,29,FEET,60.2,DEGREES F,,
08/19/2012,3,FEET,71,DEGREES F,7.8,MG/L
08/19/2012,6,FEET,72.1,DEGREES F,7.8,MG/L
08/19/2012,9,FEET,72.1,DEGREES F,8,MG/L
08/19/2012,14,FEET,71.7,DEGREES F,8.2,MG/L
08/19/2012,19,FEET,71.4,DEGREES F,7,MG/L
08/19/2012,24,FEET,67.4,DEGREES F,2.5,MG/L
08/19/2012,29,FEET,64,DEGREES F,2,MG/L
08/19/2012,31,FEET,63.5,DEGREES F,,
06/16/2016,1,FEET,21.19,DEGREES F,12.05,MG/L
06/16/2016,3,FEET,21.12,DEGREES F,11.04,MG/L
06/16/2016,5,FEET,21.11,DEGREES F,11.26,MG/L
06/16/2016,7,FEET,21.08,DEGREES F,10.92,MG/L
06/16/2016,9,FEET,21.06,DEGREES F,10.84,MG/L
06/16/2016,11,FEET,21.04,DEGREES F,10.4,MG/L
06/16/2016,13,FEET,21.02,DEGREES F,9.97,MG/L
06/16/2016,15,FEET,20.9,DEGREES F,7.82,MG/L
06/16/2016,17,FEET,20.64,DEGREES F,6.9,MG/L
06/16/2016,19,FEET,17.63,DEGREES F,5.88,MG/L
06/16/2016,21,FEET,17.53,DEGREES F,4.99,MG/L
07/21/2016,,,26.4,C,,
08/28/2016,3,FEET,75.5,DEGREES F,,
08/28/2016,6,FEET,74.6,DEGREES F,,
08/28/2016,9,FEET,74.4,DEGREES F,,
08/28/2016,12,FEET,74.4,DEGREES F,,
08/28/2016,15,FEET,74.1,DEGREES F,,
08/28/2016,18,FEET,73.5,DEGREES F,,
