Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lake John,Oconto,470600,NE,43,,433078,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,02/15/1977,,,,,,,,,,,,,
1,05/10/1977,8.2,,2.5,,,47,,,,,,,
1,08/08/1977,8.2,,2.5,,,47,,,,,,,
1,03/09/1978,,,,,60,,60,,,,,,
1,05/09/1978,,,,,30,,54,,,,,,
1,07/31/1978,,,,,40,,57,,,,,,
1,10/09/1978,,,,,20,,51,,,,,,
1,07/23/1979,,,,5,20,,51,47,,,,,
1,11/06/1979,,,,7.4,20,,51,50,,,,,
1,05/07/1992,6.9,,2.1,7,13,49,48,50,,,,,
1,06/25/1992,10.5,,3.2,10,13,43,48,52,,,,,
1,08/11/1992,9.8,,3,3.59,13,44,48,44,,,,,
1,10/14/1992,,,,3.96,14,,49,45,,,,,
1,02/16/1993,,,,,13,,48,,,,,,
1,05/11/1993,7.2,,2.2,5.48,11,49,47,48,,,,,
1,08/26/1998,,,,,,,,,,,,,
49687800,08/26/1998,8.9,,2.7,3.48,28,46,54,44,,,,,
8188623,08/11/2003,10,NO,3,4.95,24,44,53,47,,,,,
7000043,08/30/2006,,,,,57,,59,,,,,,
49687800,06/15/2013,11,NO,3.3,,,43,,,HIGH,,CLEAR,,1-Beautiful, could not be nicer
49687800,07/14/2013,11,NO,3.3,,,43,,,HIGH,,CLEAR,,1-Beautiful, could not be nicer
49687800,08/11/2013,12,NO,3.6,,,41,,,NORMAL,,CLEAR,,1-Beautiful, could not be nicer
49687800,08/24/2013,12,NO,3.6,,,41,,,NORMAL,,CLEAR,,
49687800,05/25/2014,14,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
49687800,06/14/2014,15,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
49687800,07/03/2014,13,NO,4,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
49687800,07/26/2014,12,NO,3.6,,,41,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
49687800,08/16/2014,11,NO,3.3,,,43,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
49687800,08/30/2014,11,NO,3.3,,,43,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
49687800,05/25/2015,14,NO,4.3,,15.5,39,49,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
49687800,06/21/2015,15,NO,4.6,1.91,14.6,38,49,40,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
49687800,08/30/2015,12,NO,3.6,2.55,15,41,49,42,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
49687800,05/30/2016,14,NO,4.3,,24.2,39,53,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
49687800,06/19/2016,13,NO,4,3.99,21.7,40,52,45,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
49687800,07/31/2016,13,NO,4,4.23,19.8,40,51,46,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
49687800,07/25/2017,9,NO,2.7,4.21,20.3,45,51,46,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
49687800,08/13/2017,10,NO,3,3.83,17.8,44,50,45,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
49687800,09/10/2017,11,NO,3.3,6.53,29.3,43,54,49,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
02/15/1977,,,4,C,3.7,MG/L
05/10/1977,,,15,C,10.4,MG/L
08/08/1977,,,20.5,C,6.6,MG/L
10/14/1992,,,10,C,9.4,MG/L
02/16/1993,,,2.5,C,0.9,MG/L
05/11/1993,,,18,C,11.9,MG/L
08/26/1998,,,16.9,C,0,MG/L
08/11/2003,7,FEET,,,9.1,MG/L
08/11/2003,,,24.2,C,9.1,MG/L
05/25/2015,3,FEET,63.5,DEGREES F,,
05/25/2015,6,FEET,63.3,DEGREES F,,
05/25/2015,9,FEET,61.8,DEGREES F,,
05/25/2015,12,FEET,60,DEGREES F,,
05/25/2015,15,FEET,57.9,DEGREES F,,
05/25/2015,18,FEET,54.6,DEGREES F,,
05/25/2015,21,FEET,53.7,DEGREES F,,
05/25/2015,25,FEET,53.2,DEGREES F,,
06/21/2015,3,FEET,72.3,DEGREES F,,
06/21/2015,6,FEET,71.9,DEGREES F,,
06/21/2015,9,FEET,68.5,DEGREES F,,
06/21/2015,12,FEET,64.5,DEGREES F,,
06/21/2015,15,FEET,62.4,DEGREES F,,
06/21/2015,18,FEET,57.2,DEGREES F,,
06/21/2015,21,FEET,55.4,DEGREES F,,
08/30/2015,3,FEET,69,DEGREES F,,
08/30/2015,6,FEET,68.3,DEGREES F,,
08/30/2015,9,FEET,66.2,DEGREES F,,
08/30/2015,12,FEET,65.1,DEGREES F,,
08/30/2015,15,FEET,63.8,DEGREES F,,
08/30/2015,18,FEET,62.4,DEGREES F,,
08/30/2015,21,FEET,62.2,DEGREES F,,
08/30/2015,24,FEET,62,DEGREES F,,
05/30/2016,3,FEET,71,DEGREES F,,
05/30/2016,6,FEET,70.3,DEGREES F,,
05/30/2016,9,FEET,64.4,DEGREES F,,
05/30/2016,12,FEET,60,DEGREES F,,
05/30/2016,15,FEET,55.7,DEGREES F,,
05/30/2016,18,FEET,54.3,DEGREES F,,
05/30/2016,21,FEET,52.5,DEGREES F,,
06/19/2016,3,FEET,77.7,DEGREES F,,
06/19/2016,6,FEET,73,DEGREES F,,
06/19/2016,9,FEET,70.8,DEGREES F,,
06/19/2016,12,FEET,66.9,DEGREES F,,
06/19/2016,15,FEET,62.4,DEGREES F,,
06/19/2016,18,FEET,58.1,DEGREES F,,
06/19/2016,21,FEET,55.2,DEGREES F,,
06/19/2016,24,FEET,54.3,DEGREES F,,
07/31/2016,3,FEET,77.7,DEGREES F,,
07/31/2016,6,FEET,76.2,DEGREES F,,
07/31/2016,9,FEET,75.2,DEGREES F,,
07/31/2016,12,FEET,71.7,DEGREES F,,
07/31/2016,15,FEET,67.4,DEGREES F,,
07/31/2016,18,FEET,62.4,DEGREES F,,
07/31/2016,21,FEET,60.2,DEGREES F,,
07/25/2017,3,FEET,77,DEGREES F,,
07/25/2017,6,FEET,76.4,DEGREES F,,
07/25/2017,9,FEET,67.4,DEGREES F,,
07/25/2017,12,FEET,62.2,DEGREES F,,
07/25/2017,15,FEET,58.2,DEGREES F,,
07/25/2017,18,FEET,55.5,DEGREES F,,
07/25/2017,21,FEET,55,DEGREES F,,
08/13/2017,3,FEET,72.5,DEGREES F,,
08/13/2017,6,FEET,70.1,DEGREES F,,
08/13/2017,9,FEET,65.6,DEGREES F,,
08/13/2017,12,FEET,62,DEGREES F,,
08/13/2017,15,FEET,58.1,DEGREES F,,
08/13/2017,18,FEET,54.6,DEGREES F,,
08/13/2017,21,FEET,51.8,DEGREES F,,
08/13/2017,22,FEET,51,DEGREES F,,
09/10/2017,0,FEET,64.5,DEGREES F,,
09/10/2017,3,FEET,64.2,DEGREES F,,
09/10/2017,6,FEET,63.8,DEGREES F,,
09/10/2017,9,FEET,62,DEGREES F,,
09/10/2017,12,FEET,60.6,DEGREES F,,
09/10/2017,15,FEET,60.9,DEGREES F,,
09/10/2017,18,FEET,59.7,DEGREES F,,



Start Date,Fieldwork Comment
02/15/1977,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
05/10/1977,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
08/08/1977,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
