Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Archibald Lake,Oconto,417400,NE,43,,433120,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,08/29/1973,,,,,120,,65,,,,,,
1,11/13/1973,,,,,30,,54,,,,,,
1,02/12/1974,,,,,30,,54,,,,,,
1,05/06/1974,,,,,20,,51,,,,,,
1,09/04/1974,,,,,50,,58,,,,,,
1,11/12/1974,,,,,20,,51,,,,,,
8190817,07/08/1986,16.5,NO,5,,,37,,,,,,GREEN,
8190817,07/17/1986,13,NO,4,,,40,,,,,,GREEN,
8190817,08/05/1986,9.5,NO,2.9,,,45,,,,,,GREEN,
8190817,08/15/1986,10,NO,3,,,44,,,HIGH,,,GREEN,
8190817,08/29/1986,11.25,NO,3.4,,,42,,,HIGH,,,GREEN,
8190817,07/01/1987,11,NO,3.3,,,43,,,NORMAL,,,GREEN,
8190817,07/15/1987,10.5,NO,3.2,,,43,,,NORMAL,,,GREEN,
8190817,07/22/1987,11.5,NO,3.5,,,42,,,NORMAL,,,GREEN,
8190817,08/05/1987,12.5,NO,3.8,,,41,,,NORMAL,,,GREEN,
8190817,08/20/1987,12,NO,3.6,,,41,,,NORMAL,,,GREEN,
8190817,09/02/1987,12.5,NO,3.8,,,41,,,NORMAL,,,GREEN,
8190817,09/08/1987,14,NO,4.3,,,39,,,NORMAL,,,GREEN,
8190817,09/23/1987,10.5,NO,3.2,,,43,,,NORMAL,,,GREEN,
8190817,10/08/1987,8,NO,2.4,,,47,,,NORMAL,,,GREEN,
8190817,10/13/1987,8,NO,2.4,,,47,,,NORMAL,,,GREEN,
8190817,10/28/1987,9,NO,2.7,,,45,,,NORMAL,,,GREEN,
8190818,06/06/1988,12.5,NO,3.8,,,41,,,LOW,,,GREEN,
8190817,07/22/1988,10.5,NO,3.2,,,43,,,NORMAL,,,GREEN,
8190817,07/27/1988,10.25,NO,3.1,,,44,,,NORMAL,,,GREEN,
8190817,08/03/1988,11,NO,3.3,,,43,,,NORMAL,,,GREEN,
8190817,08/10/1988,11.5,NO,3.5,,,42,,,NORMAL,,,GREEN,
8190817,08/17/1988,12,NO,3.6,,,41,,,NORMAL,,,GREEN,
8190817,09/07/1988,13,NO,4,,,40,,,NORMAL,,,GREEN,
8190817,09/14/1988,15,NO,4.6,,,38,,,LOW,,,GREEN,
8190817,09/21/1988,12,NO,3.6,,,41,,,NORMAL,,,GREEN,
8190817,06/01/1989,11.5,NO,3.5,,,42,,,NORMAL,,,GREEN,
8190817,06/07/1989,11.5,NO,3.5,,,42,,,NORMAL,,,GREEN,
8190817,06/21/1989,16,NO,4.9,,,37,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8190817,06/28/1989,16.5,NO,5,,,37,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8190817,07/04/1989,15,NO,4.6,,,38,,,NORMAL,,,GREEN,
8190817,07/25/1989,11,NO,3.3,,,43,,,NORM.-LOW,,,GREEN,
8190817,08/02/1989,11.5,NO,3.5,,,42,,,NORM./LOW,,,GREEN,
8190736,07/09/1990,8,NO,2.4,,,47,,,LOW,,,GREEN,
8190736,07/13/1990,7.75,NO,2.4,,,48,,,LOW,,,GREEN,
8190736,07/28/1990,9.5,NO,2.9,,,45,,,LOW,,,GREEN,2-Very minor aesthetic problems
8190736,08/16/1990,9.5,NO,2.9,,,45,,,LOW,,,GREEN,
8190736,08/23/1990,10.5,NO,3.2,,,43,,,LOW,,,GREEN,
8190736,08/30/1990,14,NO,4.3,,,39,,,LOW,,,GREEN,1-Beautiful, could not be nicer
