Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Leigh Flowage,Oconto,519500,NE,43,,433207,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,01/20/1976,,,,,24,,53,,,,,,
1,04/29/1976,12.3,,3.75,,,41,,,,,,,
1,07/14/1976,10.7,,3.25,,,43,,,,,,,
1,10/26/1976,11.5,,3.5,,,42,,,,,,,
118550845,07/21/2016,12,NO,3.6,,,41,,,HIGH,48,CLEAR,BLUE,2-Very minor aesthetic problems
118550845,08/17/2016,13,NO,4,,,40,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
118550845,08/25/2016,13.5,NO,4.1,,,40,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
118550845,10/03/2016,16,NO,4.9,,,37,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
118550845,05/11/2017,18,NO,5.5,,,35,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
118550845,05/31/2017,17,NO,5.2,,,36,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
118550845,06/30/2017,13,NO,4,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
118550845,07/28/2017,12,NO,3.6,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
118550845,08/08/2017,10,NO,3,,,44,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
118550845,08/25/2017,11,NO,3.3,,,43,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
118550845,10/02/2017,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
04/29/1976,,,9.8,C,10.4,MG/L
07/14/1976,,,23.9,C,8.7,MG/L
10/26/1976,,,7,C,10.8,MG/L
07/21/2016,3,FEET,26.6,DEGREES C,109,MG/L
07/21/2016,6,FEET,26.3,DEGREES C,109,MG/L
07/21/2016,9,FEET,26.2,DEGREES C,109.2,MG/L
07/21/2016,12,FEET,25.6,DEGREES C,106.2,MG/L
07/21/2016,15,FEET,24.7,DEGREES C,92.1,MG/L
07/21/2016,18,FEET,21.4,DEGREES C,79.7,MG/L
07/21/2016,21,FEET,17.6,DEGREES C,68.6,MG/L
07/21/2016,24,FEET,15.6,DEGREES C,52.1,MG/L
07/21/2016,27,FEET,12.6,DEGREES C,8.1,MG/L
07/21/2016,30,FEET,11.2,DEGREES C,3,MG/L
07/21/2016,33,FEET,10.3,DEGREES C,1,MG/L
07/21/2016,36,FEET,9.8,DEGREES C,.5,MG/L
07/21/2016,39,FEET,9.5,DEGREES C,.2,MG/L
07/21/2016,42,FEET,9.4,DEGREES C,-.1,MG/L
08/17/2016,3,FEET,26.2,DEGREES C,8.3,MG/L
08/17/2016,6,FEET,26.4,DEGREES C,8.27,MG/L
08/17/2016,9,FEET,26.4,DEGREES C,8.23,MG/L
08/17/2016,12,FEET,26.4,DEGREES C,8.15,MG/L
08/17/2016,15,FEET,25.4,DEGREES C,6.34,MG/L
08/17/2016,18,FEET,22.4,DEGREES C,3.5,MG/L
08/17/2016,21,FEET,18.2,DEGREES C,2.27,MG/L
08/17/2016,24,FEET,16.2,DEGREES C,.52,MG/L
08/17/2016,27,FEET,13.3,DEGREES C,.19,MG/L
08/17/2016,30,FEET,11.8,DEGREES C,.17,MG/L
08/17/2016,33,FEET,11,DEGREES C,-.03,MG/L
08/17/2016,36,FEET,10.1,DEGREES C,-.05,MG/L
08/17/2016,39,FEET,9.9,DEGREES C,-.02,MG/L
08/17/2016,42,FEET,9.5,DEGREES C,-.04,MG/L
08/17/2016,45,FEET,9.5,DEGREES C,-.04,MG/L
08/25/2016,3,FEET,24.9,DEGREES C,7.5,MG/L
08/25/2016,6,FEET,24.8,DEGREES C,7.48,MG/L
08/25/2016,9,FEET,24.7,DEGREES C,7.46,MG/L
08/25/2016,12,FEET,24.4,DEGREES C,7.4,MG/L
08/25/2016,15,FEET,24.2,DEGREES C,7.4,MG/L
08/25/2016,18,FEET,23.6,DEGREES C,5.65,MG/L
08/25/2016,21,FEET,19.8,DEGREES C,2.49,MG/L
08/25/2016,24,FEET,16,DEGREES C,.64,MG/L
08/25/2016,27,FEET,14.1,DEGREES C,.37,MG/L
08/25/2016,30,FEET,12.3,DEGREES C,.28,MG/L
10/03/2016,3,FEET,16.9,DEGREES C,9.09,MG/L
10/03/2016,6,FEET,17.1,DEGREES C,8.99,MG/L
10/03/2016,9,FEET,17.1,DEGREES C,8.85,MG/L
10/03/2016,12,FEET,17.1,DEGREES C,8.7,MG/L
10/03/2016,15,FEET,17,DEGREES C,8.5,MG/L
