Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Pickerel Lake,Oconto,474900,NE,43,,433248,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,05/07/1979,,,,,20,,51,,,,,,
1,07/23/1979,,,,5,2,,34,47,,,,,
1,11/06/1979,,,,,20,,51,,,,,,
1,02/17/1993,,,,,6,,42,,,,,,
1,05/03/1993,9.5,,2.9,9.9,14,45,49,52,,,,,
1,06/17/1993,12.5,,3.81,3.55,7,41,43,44,,,,,
1,07/12/1993,6.4,,1.94,2.44,9,50,45,42,,,,,
1,08/17/1993,,,,2.75,7,,43,42,,,,,
18137035,06/11/2013,,,,1.44,13.7,,48,38,,,,,
34972183,04/14/2015,,,,,,,,,,,,,
34972241,04/14/2015,10.5,N,3.2,9.5,30.4,43,55,52,,,,,
130435685,04/14/2015,,,,,,,,,,,,,
18136832,04/23/2015,,,,,22.4,,52,,,,,,
130435685,06/11/2015,,,,,,,,,,,,,
130839548,06/11/2015,8.5,N,2.6,6.24,19.8,46,51,49,,,,,
34972183,07/13/2015,7.3,N,2.2,4.06,24.3,48,53,45,,,,,
130435685,07/13/2015,,,,,,,,,,,,,
34972183,08/27/2015,10.5,NO,3.2,2.62,25,43,53,42,,,,,
130435685,08/27/2015,,,,,,,,,,,,,
34972236,10/27/2015,13.2,YES,4,1.59,21.1,40,52,38,,,,,
130435685,10/27/2015,,,,,,,,,,,,,
18136832,01/21/2016,,,,,,,,,,,,,
130435685,01/21/2016,,,,,,,,,NORMAL,,,,
130435685,01/30/2016,,,,,,,,,NORMAL,,,,
34972236,02/16/2016,5.9,NO,1.8,,17.7,52,50,,,,,,
130435685,02/16/2016,,,,,,,,,,,,,
130435685,02/21/2016,,,,,,,,,,,,,
130435685,03/06/2016,,,,,,,,,,,,,
130435685,04/11/2016,12,NO,3.6,,,41,,,NORMAL,14.2,CLEAR,BLUE,1-Beautiful, could not be nicer
130435685,05/03/2016,12.75,NO,3.9,,16,40,50,,NORMAL,14.0,CLEAR,BLUE,1-Beautiful, could not be nicer
130435685,06/21/2016,12,NO,3.6,2.65,17.9,41,50,42,NORMAL,16,CLEAR,BLUE,1-Beautiful, could not be nicer
130435685,07/18/2016,10.75,NO,3.3,1.02,20.3,43,51,35,NORMAL,14,CLEAR,BLUE,1-Beautiful, could not be nicer
130435685,08/22/2016,11.75,NO,3.6,1.01,19,42,51,35,NORMAL,14.0,CLEAR,BLUE,1-Beautiful, could not be nicer
130435685,09/02/2016,13.9,YES,4.2,,,39,,,NORMAL,13.9,CLEAR,BLUE,1-Beautiful, could not be nicer
130435685,09/17/2016,14,NO,4.3,,,39,,,NORMAL,14.2,CLEAR,BLUE,1-Beautiful, could not be nicer
130435685,10/09/2016,13.3,NO,4,,,40,,,NORMAL,14.0,CLEAR,BLUE,1-Beautiful, could not be nicer
130435685,12/28/2016,,,,,,,,,NORMAL,,CLEAR,,
130435685,12/30/2016,,,,,,,,,NORMAL,,CLEAR,,
130435685,01/09/2017,,,,,,,,,NORMAL,,CLEAR,,
130435685,01/22/2017,,,,,,,,,NORMAL,,CLEAR,,
130435685,02/04/2017,,,,,,,,,NORMAL,,CLEAR,,
130435685,02/18/2017,,,,,,,,,NORMAL,,CLEAR,,
130435685,02/27/2017,,,,,,,,,NORMAL,,CLEAR,,
130435685,04/13/2017,6,NO,1.8,,,51,,,NORMAL,14.0,CLEAR,BROWN,1-Beautiful, could not be nicer
157734507,04/13/2017,,,,,27.5,,54,,,,,,
130435685,06/22/2017,6.5,NO,2,7.63,25.6,50,53,50,NORMAL,13.5,CLEAR,,1-Beautiful, could not be nicer
130435685,07/21/2017,8.7,NO,2.6,2.33,20.5,46,52,41,NORMAL,14.0,CLEAR,,1-Beautiful, could not be nicer
130435685,08/21/2017,11,NO,3.3,2.98,14.8,43,49,43,NORMAL,14.2,CLEAR,BROWN,1-Beautiful, could not be nicer
130435685,10/13/2017,13.1,NO,4,,,40,,,NORMAL,14.0,CLEAR,,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
02/17/1993,,,3.0,C,0.6,MG/L
05/03/1993,,,10.5,C,8.9,MG/L
06/17/1993,,,19.0,C,7.0,MG/L
07/12/1993,,,22.8,C,4.7,MG/L
08/17/1993,,,22.8,C,0.7,MG/L
04/14/2015,1,FEET,8.8,DEGREES C,10.2,MG/L
04/14/2015,2,FEET,8.3,DEGREES C,10.4,MG/L
04/14/2015,3,FEET,8.3,DEGREES C,10.4,MG/L
04/14/2015,4,FEET,8.2,DEGREES C,10.4,MG/L
04/14/2015,5,FEET,8.2,DEGREES C,10.4,MG/L
04/14/2015,6,FEET,8.2,DEGREES C,10.4,MG/L
04/14/2015,7,FEET,8.1,DEGREES C,10.4,MG/L
04/14/2015,8,FEET,8.1,DEGREES C,10.4,MG/L
04/14/2015,9,FEET,8,DEGREES C,10.3,MG/L
04/14/2015,10,FEET,7.9,DEGREES C,10.3,MG/L
04/14/2015,11,FEET,7.9,DEGREES C,10.3,MG/L
04/14/2015,12,FEET,7.9,DEGREES C,10.3,MG/L
04/14/2015,13,FEET,7.9,DEGREES C,9.4,MG/L
04/14/2015,14,FEET,7.9,DEGREES C,1.5,MG/L
04/14/2015,,,7.9,C,10.3,MG/L
06/11/2015,1,FEET,20.7,DEGREES C,9.7,MG/L
06/11/2015,3,FEET,21,DEGREES C,9.6,MG/L
06/11/2015,5,FEET,21.1,DEGREES C,9.5,MG/L
06/11/2015,7,FEET,21.2,DEGREES C,9.5,MG/L
06/11/2015,9,FEET,21.2,DEGREES C,9.5,MG/L
06/11/2015,11,FEET,20.9,DEGREES C,8.6,MG/L
06/11/2015,13,FEET,20.3,DEGREES C,4.4,MG/L
06/11/2015,,,20.9,C,8.6,MG/L
07/13/2015,1,FEET,26.6,DEGREES C,8.8,MG/L
07/13/2015,3,FEET,26.5,DEGREES C,8.8,MG/L
07/13/2015,5,FEET,25.6,DEGREES C,9.4,MG/L
07/13/2015,7,FEET,25.4,DEGREES C,9.4,MG/L
07/13/2015,9,FEET,25.2,DEGREES C,9.3,MG/L
07/13/2015,11,FEET,24,DEGREES C,7.9,MG/L
07/13/2015,13,FEET,23.5,DEGREES C,6.7,MG/L
07/13/2015,,,24.0,C,7.9,MG/L
08/27/2015,1,FEET,18.1,DEGREES C,9.2,MG/L
08/27/2015,2,FEET,18.4,DEGREES C,9.1,MG/L
08/27/2015,3,FEET,18.4,DEGREES C,9.1,MG/L
08/27/2015,4,FEET,18.5,DEGREES C,9.1,MG/L
08/27/2015,5,FEET,18.5,DEGREES C,9.1,MG/L
08/27/2015,6,FEET,18.5,DEGREES C,9.2,MG/L
08/27/2015,7,FEET,18.6,DEGREES C,9.2,MG/L
08/27/2015,8,FEET,18.6,DEGREES C,9.2,MG/L
08/27/2015,9,FEET,18.6,DEGREES C,9.2,MG/L
08/27/2015,10,FEET,18.6,DEGREES C,8.9,MG/L
08/27/2015,11,FEET,18.5,DEGREES C,8.6,MG/L
08/27/2015,12,FEET,18.6,DEGREES C,8.6,MG/L
08/27/2015,13,FEET,18.6,DEGREES C,8.6,MG/L
08/27/2015,,,18.4,C,8.6,MG/L
10/27/2015,1,FEET,10.1,DEGREES C,11.3,MG/L
10/27/2015,3,FEET,10,DEGREES C,11.3,MG/L
10/27/2015,5,FEET,10,DEGREES C,11.4,MG/L
10/27/2015,7,FEET,10,DEGREES C,11.4,MG/L
10/27/2015,9,FEET,10,DEGREES C,11.4,MG/L
10/27/2015,11,FEET,10,DEGREES C,11.4,MG/L
10/27/2015,13,FEET,9.9,DEGREES C,11.4,MG/L
10/27/2015,,,10.0,C,11.3,MG/L
01/21/2016,1,FEET,1.2,DEGREES C,13.1,MG/L
01/21/2016,4,FEET,1.6,DEGREES C,12.8,MG/L
01/21/2016,7,FEET,1.9,DEGREES C,12.5,MG/L
01/21/2016,10,FEET,2.4,DEGREES C,10.7,MG/L
01/30/2016,1,FEET,1.3,DEGREES C,12.4,MG/L
01/30/2016,4,FEET,1.8,DEGREES C,11.6,MG/L
01/30/2016,7,FEET,2.1,DEGREES C,11.2,MG/L
01/30/2016,10,FEET,2.4,DEGREES C,11.1,MG/L
02/16/2016,1,FEET,1,DEGREES C,10.2,MG/L
02/16/2016,3,FEET,1.6,DEGREES C,9.5,MG/L
02/16/2016,5,FEET,1.9,DEGREES C,8.5,MG/L
02/16/2016,7,FEET,2.1,DEGREES C,8.3,MG/L
