Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Bass Lake,Oconto,417900,NE,43,,433354,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8188637,05/20/2008,,,,,,,,,,,,,
8188637,06/25/2008,,,,1.99,,,,40,,,,,
8188637,07/23/2008,18.5,,5.6,,,35,,,,,,,
8188637,09/24/2008,,,,3.23,,,,44,,,,,
1,05/13/2009,19,,5.8,,,35,,,,,,,
1,07/27/2009,,,,1.85,8,,44,39,,,,,
1,08/26/2009,,,,3.2,5,,41,44,,,,,
1,09/30/2009,16,NO,4.9,3.11,,37,,43,,,,,
26009824,05/26/2010,,,,,15,,49,,,,,,
26009824,08/30/2010,,,,1.81,10,,46,39,,,,,
26009824,08/03/2011,,,,2.7,,,,42,,,,,
26009824,06/13/2012,,,,2.66,11,,47,42,,,,,
26009824,07/31/2012,,,,1.87,10,,46,40,,,,,
26009824,08/30/2012,,,,1.61,8,,44,38,,,,,
66582850,06/15/2013,, ,,,,,,,,,,,
66582850,07/15/2013,, ,,,,,,,,,,,1-Beautiful, could not be nicer
26009824,08/14/2013,, ,,2.69,15.8,,50,42,,,,,
66582850,08/14/2013,23,NO,7,,,32,,,LOW,,CLEAR,GREEN,
66582850,08/22/2013,, ,,,,,,,,,,,
26009824,09/15/2013,,,,2.95,11.9,,47,43,,,,,
66582850,09/15/2013,18.75,NO,5.7,,,35,,,LOW,,CLEAR,GREEN,
66582850,06/16/2014,,,,2.94,10.5,,46,43,,,,,
66583155,06/16/2014,12.5,NO,3.8,,,41,,,,,CLEAR,GREEN,2-Very minor aesthetic problems
66582850,07/17/2014,,,,2.07,6.28,,42,40,,,,,
66582850,08/15/2014,,,,2.38,7.82,,44,41,,,,,
66582850,09/15/2014,26,NO,7.9,0.909,7.75,30,44,34,,,CLEAR,GREEN,1-Beautiful, could not be nicer
66582850,06/12/2015,,,,2.46,9.22,,45,42,,,,,
66583155,06/12/2015,24.25,NO,7.4,,,31,,,,,,,2-Very minor aesthetic problems
66583155,07/15/2015,18,NO,5.5,,,35,,,,,,,2-Very minor aesthetic problems
66582850,07/16/2015,,,,1.45,9.59,,46,38,,,,,
66582850,08/13/2015,,,,2.28,9.59,,46,41,,,,,
66583155,08/13/2015,20.5,NO,6.2,,,34,,,,,,,2-Very minor aesthetic problems
66583155,09/14/2015,20.5,NO,6.2,,,34,,,,,,,2-Very minor aesthetic problems
66582850,09/15/2015,, ,,3.45,13,,48,44,,,,,
66582850,06/22/2016,18.25,NO,5.5,2.18,12.9,35,48,41,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
66582852,06/22/2016,17.75,NO,5.4,,,36,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
66582850,07/16/2016,17.75,NO,5.4,,,36,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
66582852,07/16/2016,18.25,NO,5.5,,,35,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
66583155,07/16/2016,,,,1.46,8.2,,44,38,,,,,
66582850,08/16/2016,17,NO,5.2,1.11,9.43,36,46,36,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
66582852,08/16/2016,17,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
66583155,08/16/2016,17,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
66582850,09/12/2016,16.75,NO,5.1,1.39,8.87,37,45,37,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
66582852,09/12/2016,17.25,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
66583155,09/12/2016,17.25,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
66583155,06/07/2017,13,NO,4,,,40,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
66582850,06/20/2017,,,,1.72,12.7,,48,39,,,,,
66583155,07/18/2017,19.5,NO,5.9,1.75,11.5,34,47,39,HIGH,,,BLUE,1-Beautiful, could not be nicer
66583155,08/19/2017,17,NO,5.2,,,36,,,HIGH,,,BLUE,1-Beautiful, could not be nicer
66583155,08/21/2017,19.5,NO,5.9,2.05,11.5,34,47,40,HIGH,,,BLUE,1-Beautiful, could not be nicer
66583155,09/22/2017,16.25,NO,4.9,,,37,,,HIGH,,,BLUE,1-Beautiful, could not be nicer
66582850,09/24/2017,,,,1.96,12.1,,47,40,,,,,
1,11/08/2017,,,,,12,,47,,,,,,
79323097,11/08/2017,12,NO,3.6,,,41,,,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
05/20/2008,,,12.6,C,11.0,MG/L
06/25/2008,,,21.5,C,9.4,MG/L
07/23/2008,,,23.8,C,8.3,MG/L
09/24/2008,,,19.1,C,8.8,MG/L
05/13/2009,,,9.5,C,10.5,MG/L
09/30/2009,,,17.8,C,7.69,MG/L
06/15/2013,2,FEET,20.3,DEGREES C,9.7,MG/L
06/15/2013,10,FEET,20.1,DEGREES C,9.8,MG/L
06/15/2013,20,FEET,14.8,DEGREES C,14.1,MG/L
06/15/2013,30,FEET,10.3,DEGREES C,9.6,MG/L
06/15/2013,40,FEET,8.2,DEGREES C,4.1,MG/L
06/15/2013,45,FEET,7.9,DEGREES C,2.7,MG/L
06/15/2013,49,FEET,7.7,DEGREES C,.2,MG/L
07/15/2013,2,FEET,25.7,DEGREES C,9,MG/L
07/15/2013,5,FEET,25.6,DEGREES C,9,MG/L
07/15/2013,10,FEET,25.5,DEGREES C,9,MG/L
07/15/2013,15,FEET,25,DEGREES C,9.4,MG/L
07/15/2013,20,FEET,19.9,DEGREES C,15.7,MG/L
07/15/2013,30,FEET,12.6,DEGREES C,8.7,MG/L
07/15/2013,40,FEET,9.1,DEGREES C,0,MG/L
07/15/2013,45,FEET,8.8,DEGREES C,0,MG/L
07/15/2013,48,FEET,8.7,DEGREES C,0,MG/L
08/14/2013,2,FEET,21.2,DEGREES C,10.7,MG/L
08/14/2013,4,FEET,21.2,DEGREES C,10.6,MG/L
08/14/2013,6,FEET,21.1,DEGREES C,10.6,MG/L
08/14/2013,8,FEET,21.1,DEGREES C,10.7,MG/L
08/14/2013,10,FEET,21.1,DEGREES C,10.7,MG/L
08/14/2013,12,FEET,21.1,DEGREES C,10.7,MG/L
08/14/2013,14,FEET,21.1,DEGREES C,10.5,MG/L
08/14/2013,16,FEET,21,DEGREES C,10.6,MG/L
08/14/2013,18,FEET,21,DEGREES C,10.7,MG/L
08/14/2013,20,FEET,21,DEGREES C,10.6,MG/L
08/14/2013,22,FEET,20.9,DEGREES C,10.6,MG/L
08/14/2013,24,FEET,20.8,DEGREES C,10.7,MG/L
08/14/2013,26,FEET,20.8,DEGREES C,10.6,MG/L
08/14/2013,28,FEET,16.2,DEGREES C,9.5,MG/L
08/14/2013,30,FEET,14.4,DEGREES C,7.8,MG/L
08/14/2013,32,FEET,12.9,DEGREES C,6.6,MG/L
08/14/2013,34,FEET,11.8,DEGREES C,4.2,MG/L
08/14/2013,36,FEET,10.8,DEGREES C,2.2,MG/L
08/14/2013,38,FEET,10.1,DEGREES C,.4,MG/L
08/14/2013,40,FEET,9.8,DEGREES C,0,MG/L
08/14/2013,42,FEET,9.3,DEGREES C,0,MG/L
08/14/2013,44,FEET,9.2,DEGREES C,0,MG/L
08/22/2013,3,FEET,23.6,DEGREES C,9.7,MG/L
08/22/2013,6,FEET,23.6,DEGREES C,9.9,MG/L
08/22/2013,9,FEET,23.5,DEGREES C,9.9,MG/L
08/22/2013,12,FEET,23.5,DEGREES C,10,MG/L
08/22/2013,15,FEET,23.1,DEGREES C,10.3,MG/L
08/22/2013,18,FEET,22.6,DEGREES C,10.5,MG/L
08/22/2013,21,FEET,22,DEGREES C,10.6,MG/L
08/22/2013,24,FEET,21.2,DEGREES C,10.3,MG/L
08/22/2013,27,FEET,19.1,DEGREES C,9.8,MG/L
08/22/2013,30,FEET,15.8,DEGREES C,7.1,MG/L
08/22/2013,33,FEET,13.8,DEGREES C,5.6,MG/L
08/22/2013,36,FEET,11.5,DEGREES C,1.9,MG/L
08/22/2013,39,FEET,10,DEGREES C,.1,MG/L
08/22/2013,42,FEET,9.7,DEGREES C,0,MG/L
08/22/2013,45,FEET,9.5,DEGREES C,0,MG/L
09/15/2013,3,FEET,20.9,DEGREES C,8.5,MG/L
09/15/2013,6,FEET,20.9,DEGREES C,8.4,MG/L
09/15/2013,9,FEET,20.9,DEGREES C,8.4,MG/L
09/15/2013,12,FEET,20.9,DEGREES C,8.4,MG/L
09/15/2013,15,FEET,20.9,DEGREES C,8.4,MG/L
09/15/2013,18,FEET,20.9,DEGREES C,8.4,MG/L
09/15/2013,21,FEET,20.9,DEGREES C,8.4,MG/L
09/15/2013,24,FEET,20.9,DEGREES C,8.3,MG/L
09/15/2013,27,FEET,20.9,DEGREES C,8.3,MG/L
09/15/2013,30,FEET,19.9,DEGREES C,6.6,MG/L
09/15/2013,33,FEET,15,DEGREES C,3,MG/L
09/15/2013,36,FEET,12.9,DEGREES C,.5,MG/L
09/15/2013,39,FEET,11.1,DEGREES C,.1,MG/L
09/15/2013,42,FEET,10.2,DEGREES C,0,MG/L
09/15/2013,45,FEET,10,DEGREES C,0,MG/L
06/16/2014,0,FEET,19.9,DEGREES C,9.75,MG/L
06/16/2014,3,FEET,19.8,DEGREES C,9.8,MG/L
06/16/2014,6,FEET,19.7,DEGREES C,9.75,MG/L
06/16/2014,9,FEET,19.6,DEGREES F,9.8,MG/L
