Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Leigh Flowage,Oconto,519500,NE,43,,433365,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189845,05/16/2001,27,NO,8.2,,,30,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189845,06/14/2001,25,NO,7.6,,,31,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189845,06/26/2001,19.5,NO,5.9,,,34,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189845,08/19/2001,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189845,09/02/2001,14.5,NO,4.4,,,39,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189845,09/30/2001,18.25,NO,5.5,,,35,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8189845,06/10/2002,30,NO,9.1,,,28,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189845,07/28/2002,26,NO,7.9,,,30,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189845,08/16/2002,24.5,NO,7.4,,,31,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189845,08/30/2002,21,NO,6.4,,,33,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189845,09/28/2002,20,NO,6.1,,,34,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189845,06/28/2005,25,NO,7.6,,,31,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189845,08/26/2005,16,NO,4.9,,,37,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
118550845,06/11/2015,21,NO,6.4,,,33,,,NORMAL,50,CLEAR,BLUE,1-Beautiful, could not be nicer
118550845,07/21/2016,23,NO,7,,,32,,,HIGH,50,CLEAR,BLUE,1-Beautiful, could not be nicer
125862804,07/26/2016,,,,2.19,15.9,,50,41,,,,,
118550845,08/17/2016,17.5,NO,5.3,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
79323097,09/29/2016,13.5,NO,4.1,,,40,,,NORMAL,,,,
118550845,10/03/2016,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
18137035,11/10/2016,12.5,NO,3.8,,,41,,,NORMAL,,,,
79323097,02/24/2017,,,,,,,,,,,,,
79323097,04/29/2017,22.5,NO,6.8,,,32,,,,,,,
118550845,05/11/2017,24,NO,7.3,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
118550845,05/31/2017,21,,6.4,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
18137035,06/30/2017,,,,2.6,21.2,,52,42,,,,,
118550845,06/30/2017,27,NO,8.2,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
118550845,07/28/2017,17,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
118550845,08/08/2017,16,,4.9,3.78,13.3,37,48,45,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
118550845,08/25/2017,17.5,NO,5.3,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
143167470,08/28/2017,,,,2.63,14.7,,49,42,,,,,
118550845,10/02/2017,17,,5.2,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/11/2015,3,FEET,76.4,DEGREES F,,
06/11/2015,6,FEET,75,DEGREES F,,
06/11/2015,9,FEET,73.9,DEGREES F,,
06/11/2015,12,FEET,71.9,DEGREES F,,
06/11/2015,15,FEET,66,DEGREES F,,
06/11/2015,18,FEET,59.7,DEGREES F,,
06/11/2015,21,FEET,54.3,DEGREES F,,
06/11/2015,24,FEET,50,DEGREES F,,
06/11/2015,27,FEET,47.6,DEGREES F,,
06/11/2015,30,FEET,46.2,DEGREES F,,
06/11/2015,33,FEET,45.3,DEGREES F,,
06/11/2015,36,FEET,44.6,DEGREES F,,
06/11/2015,39,FEET,44.2,DEGREES F,,
06/11/2015,42,FEET,43.8,DEGREES F,,
06/11/2015,45,FEET,53.5,DEGREES F,,
06/11/2015,48,FEET,43.3,DEGREES F,,
07/21/2016,3,FEET,26.5,DEGREES C,115.9,MG/L
07/21/2016,6,FEET,26.4,DEGREES C,112.7,MG/L
07/21/2016,9,FEET,25.6,DEGREES C,99.3,MG/L
07/21/2016,12,FEET,23.6,DEGREES C,86.8,MG/L
07/21/2016,15,FEET,19.6,DEGREES C,108.8,MG/L
07/21/2016,18,FEET,15.3,DEGREES C,117.3,MG/L
07/21/2016,21,FEET,12.7,DEGREES C,105.2,MG/L
07/21/2016,24,FEET,10.4,DEGREES C,105.4,MG/L
07/21/2016,27,FEET,9,DEGREES C,76.4,MG/L
07/21/2016,30,FEET,7.8,DEGREES C,35,MG/L
07/21/2016,33,FEET,7.1,DEGREES C,9.1,MG/L
07/21/2016,36,FEET,6.8,DEGREES C,2.8,MG/L
07/21/2016,39,FEET,6.6,DEGREES C,.9,MG/L
07/21/2016,42,FEET,6.5,DEGREES C,.3,MG/L
07/21/2016,45,FEET,6.4,DEGREES C,.1,MG/L
07/21/2016,48,FEET,6.3,DEGREES C,-.02,MG/L
08/17/2016,3,FEET,24.7,DEGREES C,7.63,MG/L
08/17/2016,6,FEET,26.3,DEGREES C,7.91,MG/L
08/17/2016,9,FEET,26.2,DEGREES C,7.2,MG/L
08/17/2016,12,FEET,25.2,DEGREES C,6.22,MG/L
08/17/2016,15,FEET,21.8,DEGREES C,8.38,MG/L
08/17/2016,18,FEET,17.2,DEGREES C,10.4,MG/L
08/17/2016,21,FEET,14.1,DEGREES C,10.48,MG/L
08/17/2016,24,FEET,11.8,DEGREES C,10.35,MG/L
08/17/2016,27,FEET,9.6,DEGREES C,7.8,MG/L
08/17/2016,30,FEET,8.6,DEGREES C,3.5,MG/L
08/17/2016,33,FEET,7.9,DEGREES C,.9,MG/L
08/17/2016,36,FEET,7.4,DEGREES C,.47,MG/L
08/17/2016,39,FEET,7.1,DEGREES C,.27,MG/L
08/17/2016,42,FEET,6.9,DEGREES C,.17,MG/L
08/17/2016,45,FEET,6.7,DEGREES C,.08,MG/L
08/17/2016,48,FEET,6.7,DEGREES C,.01,MG/L
09/29/2016,1,FEET,18.8,DEGREES F,7.78,MG/L
09/29/2016,2,FEET,18.6,DEGREES F,7.77,MG/L
09/29/2016,3,FEET,18.6,DEGREES F,7.76,MG/L
09/29/2016,4,FEET,18.5,DEGREES F,7.75,MG/L
09/29/2016,5,FEET,18.5,DEGREES F,7.76,MG/L
09/29/2016,6,FEET,18.4,DEGREES F,7.75,MG/L
09/29/2016,7,FEET,18.3,DEGREES F,7.75,MG/L
09/29/2016,8,FEET,18.3,DEGREES F,7.74,MG/L
09/29/2016,9,FEET,18.3,DEGREES F,7.74,MG/L
09/29/2016,10,FEET,18.2,DEGREES F,7.72,MG/L
09/29/2016,11,FEET,18,DEGREES F,7.66,MG/L
09/29/2016,12,FEET,17.9,DEGREES F,7.61,MG/L
09/29/2016,13,FEET,17.9,DEGREES F,7.45,MG/L
09/29/2016,14,FEET,17.8,DEGREES F,7.34,MG/L
09/29/2016,15,FEET,17.9,DEGREES F,7.35,MG/L
09/29/2016,16,FEET,17.9,DEGREES F,7.45,MG/L
09/29/2016,17,FEET,17.9,DEGREES F,7.47,MG/L
09/29/2016,18,FEET,17.8,DEGREES F,7.48,MG/L
09/29/2016,19,FEET,17.7,DEGREES F,7.42,MG/L
09/29/2016,20,FEET,17.7,DEGREES F,7.39,MG/L
09/29/2016,21,FEET,17.7,DEGREES F,7.34,MG/L
09/29/2016,22,FEET,17.7,DEGREES F,7.27,MG/L
09/29/2016,23,FEET,17.6,DEGREES F,7.24,MG/L
09/29/2016,24,FEET,17.6,DEGREES F,7.26,MG/L
09/29/2016,25,FEET,17.6,DEGREES F,6.29,MG/L
09/29/2016,26,FEET,17.6,DEGREES F,4,MG/L
09/29/2016,27,FEET,17.6,DEGREES F,3.07,MG/L
09/29/2016,28,FEET,17.6,DEGREES F,1.3,MG/L
09/29/2016,29,FEET,17.9,DEGREES F,.82,MG/L
09/29/2016,30,FEET,17.9,DEGREES F,.41,MG/L
10/03/2016,3,FEET,16.9,DEGREES C,9.09,MG/L
10/03/2016,6,FEET,17.1,DEGREES C,8.99,MG/L
10/03/2016,9,FEET,17.1,DEGREES C,8.85,MG/L
10/03/2016,12,FEET,17.1,DEGREES C,8.7,MG/L
10/03/2016,15,FEET,17,DEGREES C,8.5,MG/L
10/03/2016,18,FEET,16.8,DEGREES C,8.443,MG/L
10/03/2016,21,FEET,15.5,DEGREES C,8.6,MG/L
10/03/2016,24,FEET,12.5,DEGREES C,6.72,MG/L
10/03/2016,27,FEET,10.7,DEGREES C,2.27,MG/L
10/03/2016,30,FEET,9.4,DEGREES C,.94,MG/L
10/03/2016,33,FEET,8.6,DEGREES C,.57,MG/L
10/03/2016,36,FEET,8,DEGREES C,.39,MG/L
10/03/2016,39,FEET,7.6,DEGREES C,.28,MG/L
10/03/2016,42,FEET,7.1,DEGREES C,.21,MG/L
10/03/2016,45,FEET,6.9,DEGREES C,.17,MG/L
10/03/2016,48,FEET,6.8,DEGREES C,.12,MG/L
10/03/2016,51,FEET,6.9,DEGREES C,.09,MG/L
11/10/2016,1,FEET,8.99,DEGREES F,11,MG/L
11/10/2016,3,FEET,8.97,DEGREES F,10.7,MG/L
11/10/2016,5,FEET,9,DEGREES F,10.5,MG/L
11/10/2016,7,FEET,8.99,DEGREES F,10.5,MG/L
11/10/2016,9,FEET,9.03,DEGREES F,10.5,MG/L
11/10/2016,11,FEET,9.04,DEGREES F,10.4,MG/L
11/10/2016,13,FEET,9.14,DEGREES F,10.4,MG/L
11/10/2016,15,FEET,8,DEGREES F,10.3,MG/L
11/10/2016,17,FEET,7.97,DEGREES F,10.3,MG/L
11/10/2016,19,FEET,4.03,DEGREES F,10.4,MG/L
11/10/2016,21,FEET,4.03,DEGREES F,10.5,MG/L
11/10/2016,23,FEET,3.01,DEGREES F,10.4,MG/L
02/24/2017,3,FEET,4.8,DEGREES C,9.78,MG/L
02/24/2017,6,FEET,4.6,DEGREES C,9.66,MG/L
02/24/2017,9,FEET,4.5,DEGREES C,9.62,MG/L
02/24/2017,12,FEET,4.5,DEGREES C,8.24,MG/L
02/24/2017,15,FEET,4.6,DEGREES C,7.54,MG/L
02/24/2017,18,FEET,4.6,DEGREES C,6.81,MG/L
02/24/2017,21,FEET,4.7,DEGREES C,9.91,MG/L
02/24/2017,24,FEET,4.6,DEGREES C,7.4,MG/L
02/24/2017,27,FEET,4.5,DEGREES C,7.54,MG/L
02/24/2017,30,FEET,4.6,DEGREES C,6.62,MG/L
02/24/2017,33,FEET,4.8,DEGREES C,.22,MG/L
02/24/2017,36,FEET,4.8,DEGREES C,.12,MG/L
02/24/2017,39,FEET,4.8,DEGREES C,.08,MG/L
02/24/2017,42,FEET,4.8,DEGREES C,.06,MG/L
02/24/2017,45,FEET,4.8,DEGREES C,.06,MG/L
02/24/2017,48,FEET,4.9,DEGREES C,.04,MG/L
02/24/2017,51,FEET,4.9,DEGREES C,.03,MG/L
04/29/2017,2,FEET,11.71,DEGREES F,11.21,MG/L
04/29/2017,6,FEET,11.73,DEGREES F,9.86,MG/L
04/29/2017,10,FEET,11.72,DEGREES F,11.2,MG/L
04/29/2017,14,FEET,11.68,DEGREES F,11.5,MG/L
04/29/2017,18,FEET,11.67,DEGREES F,10.21,MG/L
04/29/2017,22,FEET,11.35,DEGREES F,8.84,MG/L
04/29/2017,26,FEET,9.5,DEGREES F,7.53,MG/L
05/11/2017,3,FEET,15.9,DEGREES C,11.5,MG/L
05/11/2017,6,FEET,15.3,DEGREES C,11.65,MG/L
05/11/2017,9,FEET,14.4,DEGREES C,11.35,MG/L
05/11/2017,12,FEET,12.5,DEGREES C,10.92,MG/L
05/11/2017,15,FEET,11.6,DEGREES C,10.6,MG/L
05/11/2017,18,FEET,10,DEGREES C,9.95,MG/L
05/11/2017,21,FEET,8.7,DEGREES C,9.32,MG/L
05/11/2017,24,FEET,7.1,DEGREES C,8.95,MG/L
05/11/2017,27,FEET,6.7,DEGREES C,8.64,MG/L
05/11/2017,30,FEET,6,DEGREES C,8.2,MG/L
05/11/2017,33,FEET,5.7,DEGREES C,6.87,MG/L
