Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Chute Pond,Oconto,462520,NE,43,,433366,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,05/12/1997,,,,7.4,,,,50,,,,,
1,06/19/1997,,,,5.13,56,,59,47,,,,,
1,07/25/1997,,,,14,21,,52,55,,,,,
8188623,09/13/2002,7.872,,2.4,15.4,36,47,56,55,,,,,
28613168,04/25/2012,,,,4.33,26,,53,46,,,,,
28613168,07/02/2012,,,,30.9,40,,57,61,,,,,
28613168,08/08/2012,,,,42.5,46,,58,63,,,,,
28613168,09/06/2012,,,,3.92,34,,55,45,,,,,
145711658,05/25/2017,4.25,NO,1.3,,,56,,,HIGH,,MURKY,BROWN,1-Beautiful, could not be nicer
145711658,06/02/2017,5,NO,1.5,,,54,,,NORMAL,,MURKY,BROWN,1-Beautiful, could not be nicer
81343914,06/10/2017,6,NO,1.8,,,51,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
81343914,07/04/2017,4.25,NO,1.3,,,56,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
145711658,07/12/2017,5.25,NO,1.6,,,53,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
81343914,07/20/2017,4.75,NO,1.4,,,55,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
145711658,07/28/2017,4,NO,1.2,,,57,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
81343914,08/05/2017,4.25,NO,1.3,,,56,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
82582401,08/13/2017,4.75,NO,1.4,,,55,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
145711658,08/29/2017,5.5,NO,1.7,,,53,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
81343914,09/14/2017,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
81343914,09/22/2017,7,NO,2.1,,,49,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
81343914,09/30/2017,5,NO,1.5,,,54,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
82582401,10/08/2017,6.5,NO,2,,,50,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
81343914,10/17/2017,6.75,NO,2.1,,,50,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
05/12/1997,,,12.4,C,10.7,MG/L
09/13/2002,3.28,FEET,,,8.8,MG/L
09/13/2002,,,20.1,C,8.8,MG/L
05/25/2017,1,FEET,58.2,DEGREES F,,
05/25/2017,2,FEET,57.2,DEGREES F,,
05/25/2017,3,FEET,55.5,DEGREES F,,
05/25/2017,5,FEET,54.8,DEGREES F,,
05/25/2017,6,FEET,54.6,DEGREES F,,
05/25/2017,7,FEET,54.6,DEGREES F,,
05/25/2017,9,FEET,54.5,DEGREES F,,
05/25/2017,10,FEET,54.3,DEGREES F,,
05/25/2017,11,FEET,54.1,DEGREES F,,
05/25/2017,13,FEET,53.7,DEGREES F,,
05/25/2017,14,FEET,53.6,DEGREES F,,
05/25/2017,15,FEET,53,DEGREES F,,
05/25/2017,17,FEET,51.6,DEGREES F,,
06/02/2017,1,FEET,65.6,DEGREES F,,
06/02/2017,2,FEET,65.1,DEGREES F,,
06/02/2017,3,FEET,64.9,DEGREES F,,
06/02/2017,5,FEET,64.4,DEGREES F,,
06/02/2017,6,FEET,63.8,DEGREES F,,
06/02/2017,7,FEET,63.3,DEGREES F,,
06/02/2017,9,FEET,61.8,DEGREES F,,
06/02/2017,10,FEET,61.1,DEGREES F,,
06/02/2017,11,FEET,60.8,DEGREES F,,
06/02/2017,13,FEET,55.7,DEGREES F,,
06/02/2017,14,FEET,53.6,DEGREES F,,
06/02/2017,15,FEET,53,DEGREES F,,
06/02/2017,17,FEET,51.6,DEGREES F,,
06/10/2017,1,FEET,72.5,DEGREES F,,
06/10/2017,2,FEET,71.9,DEGREES F,,
06/10/2017,3,FEET,71.4,DEGREES F,,
06/10/2017,5,FEET,70.5,DEGREES F,,
06/10/2017,6,FEET,69.2,DEGREES F,,
06/10/2017,7,FEET,67.8,DEGREES F,,
06/10/2017,9,FEET,65.4,DEGREES F,,
06/10/2017,10,FEET,63.1,DEGREES F,,
06/10/2017,11,FEET,60.2,DEGREES F,,
06/10/2017,13,FEET,56.6,DEGREES F,,
06/10/2017,14,FEET,55.2,DEGREES F,,
06/10/2017,15,FEET,53.9,DEGREES F,,
06/10/2017,17,FEET,51.8,DEGREES F,,
07/04/2017,1,FEET,72.3,DEGREES F,,
07/04/2017,2,FEET,71.6,DEGREES F,,
07/04/2017,3,FEET,71.2,DEGREES F,,
07/04/2017,5,FEET,71,DEGREES F,,
07/04/2017,6,FEET,70.8,DEGREES F,,
07/04/2017,7,FEET,68.7,DEGREES F,,
07/04/2017,9,FEET,64,DEGREES F,,
07/04/2017,10,FEET,62.7,DEGREES F,,
07/04/2017,11,FEET,61.8,DEGREES F,,
07/04/2017,13,FEET,60,DEGREES F,,
07/04/2017,14,FEET,58.8,DEGREES F,,
07/04/2017,15,FEET,57.7,DEGREES F,,
