Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Reservoir Pond,Oconto,466700,NE,43,,433369,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8188703,06/24/2003,10,NO,3,,,44,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8188703,07/09/2003,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8188703,07/23/2003,13,NO,4,,,40,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8188938,08/06/2003,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8188938,08/20/2003,10,NO,3,,,44,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8188938,09/03/2003,10,NO,3,,,44,,,M,,CLEAR,BROWN,2-Very minor aesthetic problems
8188623,09/17/2003,9.5,YES,2.9,2.7,14,45,49,42,,,,,
8188703,09/18/2003,12,NO,3.6,,,41,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8188703,10/03/2003,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188703,05/13/2004,7,NO,2.1,,,49,,,NORMAL,3,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8188703,05/20/2004,8,NO,2.4,,,47,,,NORMAL,3,CLEAR,BROWN,2-Very minor aesthetic problems
8188703,05/27/2004,10,NO,3,,,44,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188703,06/03/2004,9.5,NO,2.9,,,45,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188703,06/10/2004,8,NO,2.4,,,47,,,HIGH,1,CLEAR,BROWN,1-Beautiful, could not be nicer
8188703,06/17/2004,7,NO,2.1,,,49,,,HIGH,1,CLEAR,BLUE,1-Beautiful, could not be nicer
8188703,06/24/2004,7,NO,2.1,,,49,,,HIGH,1,CLEAR,BROWN,1-Beautiful, could not be nicer
8188703,07/01/2004,1,NO,0.3,,,77,,,NORMAL,2,CLEAR,BROWN,1-Beautiful, could not be nicer
8188703,07/08/2004,7,NO,2.1,,,49,,,HIGH,1,CLEAR,BROWN,1-Beautiful, could not be nicer
8188703,07/15/2004,10,NO,3,,,44,,,HIGH,1,CLEAR,BROWN,1-Beautiful, could not be nicer
8188703,07/22/2004,10,NO,3,,,44,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8188703,07/30/2004,9.5,NO,2.9,,,45,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
