Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Alva Lake,Oneida,968100,NO,44,,443053,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,07/12/1979,,,,2.21,,,,41,,,,,
8189805,08/17/1989,10.75,NO,3.3,,,43,,,,,,GREEN,2-Very minor aesthetic problems
8189805,09/02/1989,10.75,NO,3.3,,,43,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8189805,09/15/1989,11.25,NO,3.4,,,42,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8189805,10/01/1989,8.25,NO,2.5,,,47,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189805,10/13/1989,7.25,NO,2.2,,,49,,,,,,GREEN,2-Very minor aesthetic problems
8189805,04/21/1990,8.5,NO,2.6,,,46,,,LOW,,,GREEN,2-Very minor aesthetic problems
8189805,05/03/1990,10.5,NO,3.2,,,43,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189805,05/21/1990,8.5,NO,2.6,,,46,,,LOW,,,BLUE,2-Very minor aesthetic problems
8189805,06/07/1990,16.75,NO,5.1,,,37,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189805,06/25/1990,14.5,NO,4.4,,,39,,,LOW,,,BLUE,2-Very minor aesthetic problems
8189805,07/09/1990,19.25,NO,5.9,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,07/24/1990,20,NO,6.1,,,34,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,08/15/1990,24.5,NO,7.4,,,31,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,09/02/1990,18.75,NO,5.7,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,09/25/1990,9,NO,2.7,,,45,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,05/10/1991,17.5,NO,5.3,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,05/17/1991,17.75,NO,5.4,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,06/06/1991,18.75,NO,5.7,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,06/17/1991,18,NO,5.5,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,07/10/1991,15.25,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,07/30/1991,15.25,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,08/18/1991,14.75,NO,4.5,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,08/30/1991,13.25,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,09/19/1991,10.25,NO,3.1,,,44,,,LOW,,,BROWN,2-Very minor aesthetic problems
8189805,10/01/1991,11,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189805,10/09/1991,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,05/18/1992,14.75,NO,4.5,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,05/26/1992,21,NO,6.4,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,06/11/1992,28,NO,8.5,,,29,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,06/28/1992,27,NO,8.2,,,30,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,07/06/1992,22,NO,6.7,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,07/24/1992,22.25,NO,6.8,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,08/10/1992,21,NO,6.4,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189805,09/25/1992,11,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189805,05/10/1993,11.25,NO,3.4,,,42,,,,,,BLUE/GREEN,2-Very minor aesthetic problems
8189805,05/25/1993,20.5,NO,6.2,,,34,,,COMING UP,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/08/1993,18.25,NO,5.5,,,35,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189805,06/20/1993,20.5,NO,6.2,,,34,,,COMING UP,,CLEAR,BLUE,2-Very minor aesthetic problems
8191103,06/22/1993,18,NO,5.5,,,35,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8191103,07/07/1993,17.5,NO,5.3,,,36,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8191103,07/20/1993,19.5,NO,5.9,,,34,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189805,07/22/1993,21.25,NO,6.5,,,33,,,HIGH,,,,2-Very minor aesthetic problems
8191103,07/30/1993,22.25,NO,6.8,,,32,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8191103,08/07/1993,25.75,NO,7.8,,,30,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189805,08/11/1993,25.5,NO,7.8,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/19/1993,22.5,NO,6.8,,,32,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8191103,08/29/1993,23.75,NO,7.2,,,31,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8191103,09/15/1993,17.75,NO,5.4,,,36,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8191103,10/12/1993,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,10/20/1993,16.75,NO,5.1,,,37,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8191103,05/02/1994,15,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,05/18/1994,22.75,NO,6.9,,,32,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,05/19/1994,22.5,NO,6.8,,,32,,,DOWN SLIGHTLY FROM LAST READING,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190682,05/27/1994,20.75,NO,6.3,2.31,7,33,43,41,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/01/1994,16.75,NO,5.1,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/04/1994,21.5,NO,6.5,,,33,,,HOLDING,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/15/1994,15.25,NO,4.6,,,38,,,HIGH-UP SINCE LAST READING,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,06/30/1994,19.25,NO,5.9,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,07/06/1994,,,,1.84,10,,46,39,,,,,
8190682,07/06/1994,18.75,NO,5.7,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/10/1994,21.75,NO,6.6,,,33,,,HOLDING,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/17/1994,20,NO,6.1,,,34,,,HIGH (DOWN SLIGHTLY),,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,07/20/1994,20.75,NO,6.3,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191103,08/06/1994,20.5,NO,6.2,1.64,10,34,46,39,DROPPING,,CLEAR,BLUE,1-Beautiful, could not be nicer
