Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Blue Lake,Oneida,1538600,NO,44,,443060,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,07/16/1979,,,,,,,,,,,,,
1,06/11/1993,,,,,10,,46,,,,,,
8190455,06/11/1993,24.25,NO,7.4,1.42,,31,,37,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,06/22/1993,21.25,NO,6.5,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,07/12/1993,,,,1.86,11,,47,39,,,,,
8190455,07/12/1993,21.25,NO,6.5,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,07/27/1993,18.5,NO,5.6,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,08/10/1993,20.25,NO,6.2,,7,34,43,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
67210075,08/11/1993,,,,1.16,,,,36,,,,,
8190455,08/25/1993,22,NO,6.7,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,09/15/1993,21,NO,6.4,1.95,,33,,40,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,10/06/1993,15,NO,4.6,,,38,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
1,10/20/1993,,,,,4,,39,,,,,,
8190455,10/20/1993,20,NO,6.1,,,34,,,,,CLEAR,BLUE,
1,10/23/1993,,,,4.58,,,,46,,,,,
8190455,06/27/1994,26.5,NO,8.1,1.16,,30,,36,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,07/20/1994,21.75,NO,6.6,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,07/28/1994,26,NO,7.9,1.25,4,30,39,36,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,08/11/1994,22.5,NO,6.8,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,08/18/1994,23.5,NO,7.1,,,32,,,LITTLE BELOW AVERAGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,08/25/1994,22,NO,6.7,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,08/26/1994,,,,1.33,13,,48,37,,,,,
8190455,09/24/1994,,,,2.81,3,,37,43,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,10/05/1994,20.75,NO,6.3,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,10/21/1994,19.5,NO,5.9,3.27,11,34,47,44,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,05/30/1995,28,NO,8.5,0.27,10,29,46,25,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,06/18/1995,28.5,NO,8.7,,,29,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,07/14/1995,27,NO,8.2,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,07/25/1995,24.25,NO,7.4,0.02,,31,,5,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,08/11/1995,24,NO,7.3,,,31,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,08/22/1995,22.25,NO,6.8,0.56,,32,,30,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,09/02/1995,22,NO,6.7,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,09/27/1995,22.5,NO,6.8,2.32,,32,,41,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,10/12/1995,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189616,06/25/1996,29.5,NO,9,1.83,,28,,39,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190455,07/10/1996,30,NO,9.1,,,28,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
