Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Dog Lake,Oneida,1612900,NO,44,,443091,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,07/17/1979,,,,,,,,,,,,,
8190063,07/06/1990,5.5,NO,1.7,,,53,,,HIGH,,,BROWN,2-Very minor aesthetic problems
8190063,07/18/1990,5,NO,1.5,,,54,,,HIGH,,,BROWN,2-Very minor aesthetic problems
8190063,08/01/1990,5.25,NO,1.6,,,53,,,HIGH,,,BROWN,2-Very minor aesthetic problems
8190063,08/15/1990,5,NO,1.5,,,54,,,HIGH,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190063,08/30/1990,5,NO,1.5,,,54,,,HIGH,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190063,06/05/1991,3,NO,0.9,,,61,,,HIGH,,,BROWN,2-Very minor aesthetic problems
8190063,06/19/1991,3.25,NO,1,,,60,,,HIGH,,,BROWN,2-Very minor aesthetic problems
8190063,07/04/1991,3,NO,0.9,,,61,,,HIGH,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190063,07/24/1991,2.75,NO,0.8,,,63,,,HIGH,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190063,08/04/1991,3,NO,0.9,,,61,,,HIGH,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190063,08/20/1991,3,NO,0.9,,,61,,,HIGH,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190199,08/03/1994,4.25,NO,1.3,,,56,,,,,,BROWN,1-Beautiful, could not be nicer
8190199,08/11/1994,4.25,NO,1.3,,,56,,,,,,BROWN,1-Beautiful, could not be nicer
8190199,08/19/1994,4,NO,1.2,,,57,,,,,,BROWN,2-Very minor aesthetic problems
8190199,08/28/1994,4.25,NO,1.3,,,56,,,,,,BROWN,1-Beautiful, could not be nicer
8190199,09/03/1994,4,NO,1.2,,,57,,,,,,BROWN,1-Beautiful, could not be nicer
8190199,09/09/1994,4.25,NO,1.3,,,56,,,,,,BROWN,1-Beautiful, could not be nicer
8190199,06/02/1995,4.5,NO,1.4,,,55,,,,,,BROWN,1-Beautiful, could not be nicer
8190199,06/06/1995,4.5,NO,1.4,,,55,,,,,,BROWN,2-Very minor aesthetic problems
8190199,06/14/1995,4.75,NO,1.4,,,55,,,,,,BROWN,1-Beautiful, could not be nicer
8190199,06/23/1995,4.75,NO,1.4,,,55,,,,,,BROWN,1-Beautiful, could not be nicer
8190199,06/29/1995,4.5,NO,1.4,,,55,,,,,,BROWN,2-Very minor aesthetic problems
8190199,07/04/1995,4.5,NO,1.4,,,55,,,,,,BROWN,2-Very minor aesthetic problems
8190199,07/10/1995,4.5,NO,1.4,,,55,,,,,,BROWN,2-Very minor aesthetic problems
8190199,07/18/1995,4.5,NO,1.4,,,55,,,,,,BROWN,2-Very minor aesthetic problems
8189580,05/24/1996,16,NO,4.9,,,37,,,4.5',,,BROWN,2-Very minor aesthetic problems
8189580,06/09/1996,14.5,NO,4.4,,,39,,,4.75',4.75,,BROWN,2-Very minor aesthetic problems
8189580,06/17/1996,4.75,NO,1.4,,,55,,,20',20,,BROWN,2-Very minor aesthetic problems
8189580,06/24/1996,4.5,NO,1.4,,,55,,,21',21,,BROWN,3-Enjoyment somewhat impaired (algae)
8189580,06/30/1996,4.75,NO,1.4,,,55,,,20',20,,BROWN,2-Very minor aesthetic problems
8189580,07/05/1996,4.5,NO,1.4,,,55,,,GAUGE,18,,BROWN,2-Very minor aesthetic problems
8189580,07/14/1996,4.5,NO,1.4,,,55,,,21',21,,BROWN,2-Very minor aesthetic problems
8189580,07/26/1996,4.5,NO,1.4,,,55,,,20 FT.,20,,BROWN,2-Very minor aesthetic problems
8189580,08/10/1996,4,NO,1.2,,,57,,,21 FT.,21,,BROWN,3-Enjoyment somewhat impaired (algae)
8189580,08/20/1996,4,NO,1.2,,,57,,,GAUGE,18,,BROWN,3-Enjoyment somewhat impaired (algae)
8189580,09/01/1996,4.25,NO,1.3,,,56,,,20',20,,BROWN,3-Enjoyment somewhat impaired (algae)
8189580,09/07/1996,4,NO,1.2,,,57,,,GAUGE,18,,BROWN,4-Would not swim but boating OK (algae)
8189580,09/20/1996,18.5,NO,5.6,,,35,,,4',4,,GREEN,3-Enjoyment somewhat impaired (algae)
8189580,10/18/1996,4,NO,1.2,,,57,,,GAUGE,18,,GREEN,3-Enjoyment somewhat impaired (algae)
16073539,05/03/2011,2.4,NO,0.7,5.77,34,65,55,48,,,,,
48236228,06/08/2011,2.7,NO,0.8,2.42,25,63,53,41,,,,,
16073539,07/19/2011,2.2,NO,0.7,8.1,33,66,55,51,,,,,
16073539,08/23/2011,2.6,NO,0.8,15.8,37,63,56,56,,,,,
34972236,10/26/2011,2.6,NO,0.8,8.11,44,63,57,51,,,,,
41886196,03/06/2012,2.8,NO,0.9,,40,62,57,,,,,,
83699320,08/17/2013,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,BROWN,4-Would not swim but boating OK (algae)
83699320,08/12/2014,3,NO,0.9,,,61,,,NORMAL,0,MURKY,BROWN,2-Very minor aesthetic problems
16097344,06/23/2015,,,,5.4,36.3,,56,48,,,,,
83699320,06/28/2015,2,NO,0.6,,,67,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
47808053,07/30/2015,,,,9.09,43.3,,57,51,,,,,
47808053,08/26/2015,,,,8.76,50.7,,59,51,,,,,
83699320,10/10/2015,3,NO,0.9,,,61,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
83699320,08/29/2016,2,NO,0.6,,,67,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
84260487,05/04/2017,3.3,NO,1,,,60,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
84260487,06/04/2017,4.1,NO,1.2,,,57,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
84260487,06/28/2017,2.75,NO,0.8,,,63,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
84260487,07/08/2017,2.7,NO,0.8,,,63,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
84260487,07/19/2017,3.3,NO,1,,,60,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
84260487,08/06/2017,2.4,NO,0.7,,,65,,,HIGH,,MURKY,BROWN,4-Would not swim but boating OK (algae)
84260487,09/09/2017,2.8,NO,0.9,,,62,,,NORMAL,,MURKY,,4-Would not swim but boating OK (algae)



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/17/1979,,,23,C,,
05/03/2011,,,5.3,C,10.0,MG/L
06/08/2011,,,15.6,C,4.3,MG/L
07/19/2011,,,18.4,C,0.2,MG/L
08/23/2011,,,21.8,C,5.8,MG/L
10/26/2011,,,7.5,C,10.3,MG/L
03/06/2012,,,0.9,C,0.6,MG/L
05/04/2017,3,FEET,49.8,DEGREES F,,
05/04/2017,6,FEET,49.2,DEGREES F,,
05/04/2017,9,FEET,48.7,DEGREES F,,
05/04/2017,12,FEET,46.7,DEGREES F,,
05/04/2017,15,FEET,46,DEGREES F,,
05/04/2017,18,FEET,45.8,DEGREES F,,
05/04/2017,21,FEET,45.8,DEGREES F,,
06/04/2017,3,FEET,67.8,DEGREES F,,
06/04/2017,6,FEET,66,DEGREES F,,
06/04/2017,9,FEET,60.2,DEGREES F,,
06/04/2017,12,FEET,57.7,DEGREES F,,
06/04/2017,15,FEET,55.4,DEGREES F,,
06/04/2017,18,FEET,53.6,DEGREES F,,
06/04/2017,21,FEET,52.7,DEGREES F,,
06/28/2017,3,FEET,64.9,DEGREES F,,
06/28/2017,6,FEET,65.4,DEGREES F,,
06/28/2017,9,FEET,65.4,DEGREES F,,
06/28/2017,12,FEET,64.4,DEGREES F,,
06/28/2017,15,FEET,63.6,DEGREES F,,
06/28/2017,18,FEET,56.6,DEGREES F,,
06/28/2017,21,FEET,54.1,DEGREES F,,
07/08/2017,3,FEET,72.3,DEGREES F,,
07/08/2017,6,FEET,72.6,DEGREES F,,
07/08/2017,9,FEET,71.6,DEGREES F,,
07/08/2017,12,FEET,65.4,DEGREES F,,
07/08/2017,15,FEET,62.6,DEGREES F,,
07/08/2017,18,FEET,59.5,DEGREES F,,
07/08/2017,21,FEET,57.9,DEGREES F,,
07/19/2017,3,FEET,76.4,DEGREES F,,
07/19/2017,6,FEET,74.4,DEGREES F,,
07/19/2017,9,FEET,72.6,DEGREES F,,
07/19/2017,12,FEET,68,DEGREES F,,
07/19/2017,15,FEET,62.6,DEGREES F,,
07/19/2017,18,FEET,60,DEGREES F,,
07/19/2017,21,FEET,57.7,DEGREES F,,
08/06/2017,3,FEET,68.5,DEGREES F,,
08/06/2017,6,FEET,68.1,DEGREES F,,
08/06/2017,9,FEET,67.8,DEGREES F,,
08/06/2017,12,FEET,66.9,DEGREES F,,
08/06/2017,15,FEET,66.5,DEGREES F,,
08/06/2017,18,FEET,64.2,DEGREES F,,
08/06/2017,21,FEET,58.4,DEGREES F,,
09/09/2017,3,FEET,59.9,DEGREES F,,
09/09/2017,6,FEET,60.2,DEGREES F,,
09/09/2017,9,FEET,60.2,DEGREES F,,
09/09/2017,12,FEET,60.2,DEGREES F,,
09/09/2017,15,FEET,60.4,DEGREES F,,
09/09/2017,18,FEET,60.2,DEGREES F,,
09/09/2017,21,FEET,60.2,DEGREES F,,



Start Date,Fieldwork Comment
07/17/1979,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
07/06/1990,Cloudy- 4-6" waves    
08/01/1990,Sunny- 4-6" waves    
08/15/1990,Sunny- slight. chop- lake turning over- green in protected areas    
08/30/1990,Sunny- 4-6" chop- surface dirt- needles- leaves- etc.  Lake level: very high    
06/05/1991,Sunny- 4-6" waves- water discolored (tamarack).  Lake level: very high    
06/19/1991,Sunny- calm- water discolored    
07/04/1991,Sunny- calm    
07/24/1991,Calm- sunny    
08/04/1991,Calm- sunny- water tamarack brown    
05/24/1996,Calm- sunny- clear day.    
06/09/1996,Warm- clear- sunny day.    
07/05/1996,Sunny. Water level: 18'    
07/14/1996,Overcast + cloudy.    
08/20/1996,Water level: 18'    
09/07/1996,Water level: 18'    
10/18/1996,Water level: 18'    
06/28/2015,Partly cloudy. Lakefront homeowners asked what they thought of the condition of the lake compared to past years-"water seemed clearer and less silty-less brown 'fuzz' on the kids when they get out"- "really cold about 8" off the surface"- "awesome". Kayaked out to deepest part of the lake-dragonflies- muskrat kept me company.
10/10/2015,Not as much 'matter' in the water.
05/04/2017,partly sunny-8mph wind-1 boat passing through-no wildlife spotted
06/04/2017,sunny with light wind----1 boat passing through-----a gaggle of geese ( 5 ) spotted----pine tree pollen visible in the water column
06/28/2017,partly sunny light wind ----- no boats ---- no wildlife spotted
07/08/2017,sunny with light wind------1 boat passing through----no wild life spotted
07/19/2017,sunny with a light wind----particles suspended in the water column---no boats--no wildlife
08/06/2017,sunny calm wind----no wildlife spotted---1 boat passing through----no wildlife spotted---green on lake surface
09/09/2017,sunny with a light wind---no wildlife spotted---no boats---looking through the water column is like looking through a muddy snow globe




Start Date,Group Name,Project Name
07/17/1979,Data Collectors,Migrated from STORET Legacy
07/06/1990,William Burdick,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
07/18/1990,William Burdick,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
08/01/1990,William Burdick,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
08/15/1990,William Burdick,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
08/30/1990,William Burdick,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
06/05/1991,William Burdick,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
06/19/1991,William Burdick,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
07/04/1991,William Burdick,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
07/24/1991,William Burdick,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
08/04/1991,William Burdick,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
08/20/1991,William Burdick,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
08/03/1994,Bob Glomski,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
08/11/1994,Bob Glomski,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
08/19/1994,Bob Glomski,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
08/28/1994,Bob Glomski,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
09/03/1994,Bob Glomski,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
09/09/1994,Bob Glomski,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
06/02/1995,Bob Glomski,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
06/06/1995,Bob Glomski,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
06/14/1995,Bob Glomski,Citizen Lake Monitoring - Water Quality - Dog Lake - Deep Hole (T38R11S15)
