Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Emma Lake,Oneida,983500,NO,44,,443094,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,08/01/1979,,,,,,,,,,,,,
8190668,06/29/1993,5.5,NO,1.7,,,53,,,NORMAL (CREEK FLOWING),,,BROWN,2-Very minor aesthetic problems
8190668,07/15/1993,5.75,NO,1.7,,,52,,,LOW,,,BROWN,2-Very minor aesthetic problems
8190668,07/22/1993,5.75,NO,1.7,,,52,,,MODERATELY LOW, APX. 3" BELOW 7/15,,,BROWN,2-Very minor aesthetic problems
8190668,08/01/1993,5.5,NO,1.7,,,53,,,MODERATELY LOW, SAME AS 7/22,,,BROWN,2-Very minor aesthetic problems
8190668,08/07/1993,4.75,NO,1.4,,,55,,,SAME AS 8/1,,,BROWN,2-Very minor aesthetic problems
8190668,08/15/1993,6,NO,1.8,,,51,,,SAME AS 8/7,,,BROWN,2-Very minor aesthetic problems
8190668,08/21/1993,6.25,NO,1.9,,,51,,,APPROX. SAME AS 8/15,,,BROWN,2-Very minor aesthetic problems
8190668,08/27/1993,6.5,NO,2,,,50,,,SAME AS 8/21,,,BROWN,2-Very minor aesthetic problems
8190668,09/19/1993,6.5,NO,2,,,50,,,SAME AS 8/27,,,BROWN,2-Very minor aesthetic problems
8190668,09/25/1993,7,NO,2.1,,,49,,,SAME AS 9/19,,,BROWN,2-Very minor aesthetic problems
8190668,10/09/1993,6.5,NO,2,,,50,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190668,07/03/1994,6.75,NO,2.1,,,50,,,,,,BROWN,2-Very minor aesthetic problems
8190668,07/10/1994,6.25,NO,1.9,,,51,,,,,,BROWN,2-Very minor aesthetic problems
8190668,07/18/1994,6,NO,1.8,,,51,,,,,,BROWN,2-Very minor aesthetic problems
8190668,07/24/1994,6.5,NO,2,,,50,,,,,,BROWN,2-Very minor aesthetic problems
8190668,08/01/1994,4.75,NO,1.4,,,55,,,,,,BROWN,2-Very minor aesthetic problems
8190668,09/09/1994,11,NO,3.3,,,43,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,09/17/1994,5.5,NO,1.7,,,53,,,,,,BROWN,2-Very minor aesthetic problems
8190668,10/14/1994,6,NO,1.8,,,51,,,,,,BROWN,2-Very minor aesthetic problems
8190668,05/19/1995,6.25,NO,1.9,,,51,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,06/17/1995,6.75,NO,2.1,,,50,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,06/23/1995,8.25,NO,2.5,,,47,,,GETTING LOW,,,BROWN,1-Beautiful, could not be nicer
8190668,07/02/1995,5.75,NO,1.7,,,52,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,07/09/1995,6.25,NO,1.9,,,51,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,07/16/1995,6,NO,1.8,,,51,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,07/23/1995,5.5,NO,1.7,,,53,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,07/29/1995,6.5,NO,2,,,50,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,08/13/1995,7.5,NO,2.3,,,48,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,08/18/1995,8,NO,2.4,,,47,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,09/02/1995,9,NO,2.7,,,45,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,09/10/1995,10.25,NO,3.1,,,44,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,09/16/1995,8,NO,2.4,,,47,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,09/27/1995,9.5,NO,2.9,,,45,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,06/08/1996,7,NO,2.1,,,49,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,07/04/1996,6.25,NO,1.9,,,51,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,07/20/1996,5.5,NO,1.7,,,53,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,08/02/1996,7.75,NO,2.4,,,48,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,08/10/1996,7.5,NO,2.3,,,48,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,08/17/1996,8,NO,2.4,,,47,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,08/24/1996,8.25,NO,2.5,,,47,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,08/31/1996,9.25,NO,2.8,,,45,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,09/19/1996,11.5,NO,3.5,,,42,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,10/01/1996,10,NO,3,,,44,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,10/12/1996,10,NO,3,,,44,,,LOW 10+' OF DRY SOUND BEACH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,06/14/1997,8.5,NO,2.6,,,46,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,06/28/1997,6.5,NO,2,,,50,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,07/06/1997,6.25,NO,1.9,,,51,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,07/12/1997,7.5,NO,2.3,,,48,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,07/18/1997,7.75,NO,2.4,,,48,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,07/26/1997,8,NO,2.4,,,47,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,08/02/1997,7.75,NO,2.4,,,48,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,08/09/1997,7,NO,2.1,,,49,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,08/23/1997,8,NO,2.4,,,47,,,,,,BROWN,1-Beautiful, could not be nicer
8190668,08/29/1997,7.75,NO,2.4,,,48,,,,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,09/06/1997,8.25,NO,2.5,,,47,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,09/14/1997,9.25,NO,2.8,,,45,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,09/20/1997,7.25,NO,2.2,,,49,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,05/04/1998,7,NO,2.1,,,49,,,,,CLEAR,BROWN,2-Very minor aesthetic problems
8190668,05/17/1998,6,NO,1.8,,,51,,,NO CHANGE,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,06/13/1998,8,NO,2.4,,,47,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,06/26/1998,8,NO,2.4,,,47,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,07/10/1998,7,NO,2.1,,,49,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,07/19/1998,7,NO,2.1,,,49,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,07/26/1998,7.5,NO,2.3,,,48,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,08/12/1998,9.5,NO,2.9,,,45,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,08/18/1998,9,NO,2.7,,,45,,,LOW - DOWN AT LEAST 1.5',,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,08/29/1998,8.5,NO,2.6,,,46,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,09/04/1998,9.5,NO,2.9,,,45,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,09/13/1998,7.5,NO,2.3,,,48,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,05/22/1999,7.5,NO,2.3,,,48,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,05/30/1999,8,NO,2.4,,,47,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,06/07/1999,7.25,NO,2.2,,,49,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,06/21/1999,7,NO,2.1,,,49,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,06/27/1999,8.25,NO,2.5,,,47,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,07/07/1999,6.5,NO,2,,,50,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,07/15/1999,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,07/29/1999,7.75,NO,2.4,,,48,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,08/07/1999,7.75,NO,2.4,,,48,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,08/14/1999,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,08/25/1999,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190668,09/04/1999,10,NO,3,,,44,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,05/07/2000,9,NO,2.7,,,45,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,05/28/2000,8.25,NO,2.5,,,47,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,06/03/2000,9.75,NO,3,,,44,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,06/18/2000,10,NO,3,,,44,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,06/27/2000,8.5,NO,2.6,,,46,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,07/11/2000,9.5,NO,2.9,,,45,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,07/14/2000,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189835,08/06/2000,6,NO,1.8,,,51,,,LOW,,MURKY,BROWN,1-Beautiful, could not be nicer
