Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Minocqua Lake,Oneida,1542400,NO,44,,443134,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,08/15/1973,,,,,10,,46,,,,,,
1,10/22/1973,,,,,60,,60,,,,,,
1,03/13/1974,,,,,20,,51,,,,,,
1,05/07/1974,,,,,20,,51,,,,,,
1,08/14/1974,,,,,10,,46,,,,,,
1,10/09/1974,,,,,70,,61,,,,,,
1,01/28/1975,,,,,20,,51,,,,,,
1,08/20/1979,,,,7.39,26,,53,50,,,,,
1,09/06/1979,,,,,,,,,,,,,
1,07/26/1988,,,,6,11,,47,48,,,,,
1,08/30/1988,,,,18,14,,49,57,,,,,
1,11/11/1988,,,,,16,,50,,,,,,
1,03/29/1989,,,,,9,,45,,,,,,
1,05/04/1989,,,,11,28,,54,53,,,,,
8189830,05/09/1989,10,NO,3,,,44,,,GAUGE,1573.75,,GREEN,1-Beautiful, could not be nicer
8189830,05/25/1989,10.5,NO,3.2,,,43,,,,,,GREEN,1-Beautiful, could not be nicer
8189830,06/16/1989,15.5,NO,4.7,,,38,,,GAUGE,1584.2,,GREEN,1-Beautiful, could not be nicer
1,06/21/1989,,,,,6,,42,,,,,,
8189830,07/02/1989,14.5,NO,4.4,,,39,,,GAUGE,1584.3,,GREEN,1-Beautiful, could not be nicer
8189830,07/22/1989,13.5,NO,4.1,,,40,,,GAUGE,1584.075,,GREEN,1-Beautiful, could not be nicer
8189830,08/02/1989,12.5,NO,3.8,,,41,,,GAUGE,1583.925,,GREEN,2-Very minor aesthetic problems
1,08/08/1989,37.1,,11.3,4,12,25,47,45,,,,,
8189830,08/18/1989,11.5,NO,3.5,,,42,,,GAUGE,1583.985,,GREEN,2-Very minor aesthetic problems
1,08/24/1989,,,,6,11,,47,48,,,,,
8189830,09/02/1989,12.5,NO,3.8,,,41,,,GAUGE,1583.05,,GREEN,1-Beautiful, could not be nicer
8189830,09/17/1989,13.5,NO,4.1,,,40,,,GAUGE,1584.02,,GREEN,1-Beautiful, could not be nicer
8189830,09/27/1989,13.5,NO,4.1,,,40,,,GAUGE,1583.9,,GREEN,1-Beautiful, could not be nicer
8189830,10/11/1989,11.5,NO,3.5,,,42,,,,,,GREEN,1-Beautiful, could not be nicer
1,10/24/1989,,,,15,,,,55,,,,,
1,03/15/1990,,,,,9,,45,,,,,,
1,04/26/1990,,,,11,19,,51,53,,,,,
1,06/20/1990,,,,4,9,,45,45,,,,,
1,06/21/1990,,,,,,,,,,,,,
1,07/12/1990,,,,5,9,,45,47,,,,,
1,08/30/1990,,,,6,11,,47,48,,,,,
1,10/31/1990,,,,,,,,,,,,,
1,02/27/1991,,,,1.3,8,,44,37,,,,,
1,05/14/1991,,,,,,,,,,,,,
1,06/18/1991,,,,2,12,,47,40,,,,,
1,07/25/1991,11.4,,3.47,5,11,42,47,47,,,,,
1,08/27/1991,,,,4,9,,45,45,,,,,
1,10/31/1991,,,,,,,,,,,,,
1,05/12/1992,,,,,,,,,,,,,
1,07/06/1992,,,,5,10,,46,47,,,,,
1,07/23/1992,,,,4.56,228,,70,46,,,,,
8189788,08/05/1992,13.25,NO,4,,,40,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189788,08/06/1992,,,,,10,,46,,,,,,
8189788,08/16/1992,15.5,NO,4.7,,8,38,44,,HIGH,,,GREEN,1-Beautiful, could not be nicer
1,08/27/1992,15.4,,4.7,17.3,10,38,46,56,,,,,
8189788,08/31/1992,12.5,NO,3.8,,11,41,47,,HIGH,,,GREEN,2-Very minor aesthetic problems
8189788,09/13/1992,11.5,NO,3.5,,10,42,46,,HIGH,,,GREEN,2-Very minor aesthetic problems
8189788,09/27/1992,13.75,NO,4.2,,12,39,47,,HIGH,,,BROWN,2-Very minor aesthetic problems
8189788,10/11/1992,11.75,NO,3.6,,,42,,,HIGH,,,GREEN,1-Beautiful, could not be nicer
8189788,05/10/1993,10.75,NO,3.3,,,43,,,NORMAL,,,BROWN,
1,05/13/1993,11.5,,3.5,4.13,10,42,46,46,,,,,
1,05/16/1993,,,,13.9,,,,55,,,,,
8189788,05/16/1993,10.75,NO,3.3,,15,43,49,,NORMAL,,,BROWN,1-Beautiful, could not be nicer
8189788,06/12/1993,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
1,06/21/1993,,,,2.35,,,,41,,,,,
8189788,06/21/1993,15.5,NO,4.7,,6,38,42,,HIGH,,,GREEN,1-Beautiful, could not be nicer
7000119,06/30/1993,15.1,,4.6,4.57,9,38,45,46,,,,,
8189788,07/10/1993,13.75,NO,4.2,,,39,,,HIGH,,,GREEN,1-Beautiful, could not be nicer
1,07/19/1993,,,,7.63,,,,50,,,,,
8189788,07/19/1993,13.66,NO,4.2,,20,39,51,,HIGH,,,GREEN,2-Very minor aesthetic problems
7000119,07/27/1993,14.1,,4.3,3.99,12,39,47,45,,,,,
8189788,08/08/1993,13.25,NO,4,,,40,,,HIGH,,,GREEN,2-Very minor aesthetic problems
1,08/17/1993,,,,6.3,,,,49,,,,,
8189788,08/17/1993,13.25,NO,4,,11,40,47,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
7000119,08/31/1993,14.1,,4.3,6.51,8,39,44,49,,,,,
8189788,09/01/1993,12.75,NO,3.9,,,40,,,HIGH,,,GREEN,
1,09/19/1993,,,,6.23,,,,49,,,,,
8189788,09/19/1993,11.5,NO,3.5,,9,42,45,,HIGH,,,GREEN,2-Very minor aesthetic problems
8189788,10/05/1993,8.25,NO,2.5,,,47,,,HIGH,,,GREEN/BROWN,2-Very minor aesthetic problems
1,10/11/1993,,,,8.92,,,,51,,,,,
8189788,10/11/1993,8.75,NO,2.7,,17,46,50,,HIGH,,,GREEN/BROWN,2-Very minor aesthetic problems
