Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Two Sisters Lake,Oneida,1588200,NO,44,,443147,NE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,08/10/1973,,,,,20,,51,,,,,,
1,11/12/1973,,,,,70,,61,,,,,,
1,03/14/1974,,,,,20,,51,,,,,,
1,05/07/1974,,,,,40,,57,,,,,,
1,08/10/1974,,,,,20,,51,,,,,,
1,10/18/1974,,,,,90,,63,,,,,,
1,01/27/1975,,,,,10,,46,,,,,,
8190289,05/31/1986,23,NO,7,,,32,,,,,CLEAR,BLUE,
8190289,06/28/1986,19.75,NO,6,,,34,,,,,CLEAR,BLUE,
8190289,07/20/1986,16.25,NO,4.9,,,37,,,,,CLEAR,BLUE,
8190289,07/26/1986,17,NO,5.2,,,36,,,,,CLEAR,BLUE,
8190289,08/03/1986,14.75,NO,4.5,,,38,,,,,CLEAR,BLUE,
8190289,08/09/1986,15.5,NO,4.7,,,38,,,,,CLEAR,BLUE,
8190289,09/13/1986,14.25,NO,4.3,,,39,,,,,,BROWN,
8190289,05/02/1987,10,NO,3,,,44,,,LOW,,,GREEN,
8190289,06/07/1987,20.25,NO,6.2,,,34,,,,,CLEAR,BLUE,
8190289,06/28/1987,22.5,NO,6.8,,,32,,,,,CLEAR,BLUE,
8190289,07/18/1987,23.25,NO,7.1,,,32,,,,,CLEAR,BLUE,
8190289,07/26/1987,22.5,NO,6.8,,,32,,,,,CLEAR,BLUE,
8190289,08/08/1987,23.5,NO,7.1,,,32,,,,,CLEAR,BLUE,
8190289,09/05/1987,20.25,NO,6.2,,,34,,,,,CLEAR,BLUE,
8190289,09/27/1987,20.75,NO,6.3,,,33,,,,,CLEAR,BLUE,
8190289,05/29/1988,19,NO,5.8,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,06/04/1988,19.75,NO,6,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,06/26/1988,21.75,NO,6.6,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,07/23/1988,22.25,NO,6.8,,,32,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,08/28/1988,18,NO,5.5,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,09/17/1988,19.5,NO,5.9,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,06/18/1989,21,NO,6.4,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,06/24/1989,21.25,NO,6.5,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,07/08/1989,24,NO,7.3,,,31,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,07/22/1989,20.75,NO,6.3,,,33,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190289,08/05/1989,23,NO,7,,,32,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,08/26/1989,23.5,NO,7.1,,,32,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,09/10/1989,23.25,NO,7.1,,,32,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,05/28/1990,26.25,NO,8,,,30,,,4" ABOVE AVERAGE,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,06/10/1990,24.25,NO,7.4,,,31,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,06/24/1990,21.75,NO,6.6,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,07/21/1990,24.25,NO,7.4,,,31,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,07/31/1990,,,,,20,,51,,,,,,
8190289,08/29/1990,22,NO,6.7,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,10/21/1990,,,,,9,,45,,,,,,
8190289,06/29/1991,18.5,NO,5.6,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/05/1991,,,,,7,,43,,,,,,
8190289,08/05/1991,20.25,NO,6.2,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,09/04/1991,18,NO,5.5,,4,35,39,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,10/02/1991,14.5,NO,4.4,,5,39,41,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,11/13/1991,,,,,10,,46,,,,,,
8190289,11/13/1991,14.75,NO,4.5,,10,38,46,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,07/23/1992,18.3,NO,5.6,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,08/15/1992,,,,,9,,45,,,,,,
8190289,08/15/1992,20,NO,6.1,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,09/27/1992,,,,,9,,45,,,,,,
8190289,09/27/1992,14.5,NO,4.4,,,39,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,10/25/1992,,,,,9,,45,,,,,,
8190289,10/25/1992,8.25,NO,2.5,,,47,,,,,,BROWN,2-Very minor aesthetic problems
1,08/01/1993,,,,1.89,4,,39,40,,,,,
8190289,08/01/1993,18,NO,5.5,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,09/19/1993,,,,,5,,41,,,,,,
8190289,09/19/1993,16.25,NO,4.9,3.18,,37,,44,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,10/17/1993,,,,,7,,43,,,,,,
8190289,10/17/1993,10.5,NO,3.2,5.2,,43,,47,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,07/30/1994,,,,1.45,7,,43,38,,,,,
8190289,07/30/1994,,NO,,,,,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,09/03/1994,,,,2.47,9,,45,42,,,,,
8190289,09/03/1994,,NO,,,,,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,07/30/1995,20,NO,6.1,0.67,52,34,59,32,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,09/02/1995,19.75,NO,6,2.76,8,34,44,42,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,07/21/1996,16.5,NO,5,1.58,7,37,43,38,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,08/31/1996,26.5,NO,8.1,1.28,,30,,37,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,05/20/2001,15,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,06/04/2001,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,06/19/2001,13,NO,4,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,06/29/2001,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,07/13/2001,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,07/31/2001,16,NO,4.9,,,37,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,08/17/2001,19,NO,5.8,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,09/05/2001,18.5,NO,5.6,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,09/25/2001,14.25,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,10/07/2001,14.25,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,10/28/2001,6,NO,1.8,,,51,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8189828,04/26/2002,13,NO,4,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,05/11/2002,10,NO,3,,,44,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,05/24/2002,11.75,NO,3.6,,,42,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,05/31/2002,13.25,NO,4,,14,40,49,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,06/16/2002,17.25,NO,5.2,,10,36,46,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
1,06/19/2002,,,,1.21,,,,36,,,,,
8189181,07/19/2002,16.25,NO,4.9,0.54,10,37,46,30,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,08/07/2002,17,NO,5.2,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,08/20/2002,18.75,NO,5.7,1.32,8,35,44,37,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,08/31/2002,17,NO,5.2,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,09/17/2002,18.75,NO,5.7,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,10/01/2002,14.75,NO,4.5,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189181,10/11/2002,12.5,NO,3.8,3.92,18,41,51,45,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189828,05/02/2003,11.5,NO,3.5,,,42,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,05/17/2003,11.5,NO,3.5,,8,42,44,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,06/02/2003,13,NO,4,,,40,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,06/11/2003,10.75,NO,3.3,,,43,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,06/19/2003,13.5,NO,4.1,2.5,13,40,48,42,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,07/01/2003,13.25,NO,4,,,40,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,07/13/2003,15.5,NO,4.7,1.08,26,38,53,35,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,07/29/2003,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/14/2003,19,NO,5.8,1.3,14,35,49,37,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/30/2003,15.25,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,09/17/2003,18,NO,5.5,,,35,,,NORMAL,27,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,10/05/2003,8.5,NO,2.6,,,46,,,NORMAL,27,CLEAR,GREEN,2-Very minor aesthetic problems
8189828,10/16/2003,10.25,NO,3.1,3.1,16,44,50,43,NORMAL,27,CLEAR,GREEN,2-Very minor aesthetic problems
8189828,10/29/2003,6,NO,1.8,,,51,,,NORMAL,27,MURKY,BLUE,2-Very minor aesthetic problems
8189828,04/27/2004,9.25,NO,2.8,,,45,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189828,05/15/2004,12,NO,3.6,,13,41,48,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,06/06/2004,20.25,NO,6.2,,,34,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,06/19/2004,16.25,NO,4.9,1.75,10,37,46,39,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,07/10/2004,19.5,NO,5.9,,,34,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,07/17/2004,15,NO,4.6,1.31,12,38,47,37,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/04/2004,16.5,NO,5,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
1,08/21/2004,13,NO,4,1.73,10,40,46,39,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/29/2004,16,NO,4.9,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,09/08/2004,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,09/23/2004,16,NO,4.9,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,10/06/2004,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,10/12/2004,13.25,NO,4,4.17,15,40,49,46,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,04/25/2005,10.25,NO,3.1,,,44,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,05/17/2005,14.5,NO,4.4,,24,39,53,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,05/31/2005,17,NO,5.2,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,06/16/2005,16.25,NO,4.9,1.14,12,37,47,36,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,07/01/2005,17.5,NO,5.3,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,07/15/2005,19.75,NO,6,1.49,21,34,52,38,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,07/29/2005,14.25,NO,4.3,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/15/2005,12.75,NO,3.9,2.06,13,40,48,40,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,09/05/2005,13.75,NO,4.2,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,09/20/2005,17.5,NO,5.3,,,36,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,10/08/2005,12.25,NO,3.7,,,41,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,10/16/2005,13.25,NO,4,4.29,13,40,48,46,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,10/28/2005,9.75,NO,3,,,44,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,05/06/2006,9.25,NO,2.8,,19,45,51,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,05/22/2006,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,05/31/2006,16,NO,4.9,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,06/14/2006,17.5,NO,5.3,1.14,9,36,45,36,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
16097439,07/06/2006,16,NO,4.9,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,07/17/2006,15.25,NO,4.6,1.24,12,38,47,36,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,07/29/2006,16.25,NO,4.9,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/14/2006,16.75,NO,5.1,1.95,13,37,48,40,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/30/2006,20,NO,6.1,,,34,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,09/14/2006,16,NO,4.9,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,10/01/2006,13.75,NO,4.2,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,10/15/2006,7.5,NO,2.3,4.27,22,48,52,46,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,10/27/2006,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
20599273,04/30/2007,8.75,NO,2.7,,16,46,50,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
20599273,05/20/2007,13.25,NO,4,,,40,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,05/28/2007,12.75,NO,3.9,,,40,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,06/15/2007,16.5,NO,5,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,06/27/2007,18,NO,5.5,1.72,7,35,43,39,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,07/06/2007,17.5,NO,5.3,,,36,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,07/25/2007,17,NO,5.2,1.16,9,36,45,36,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/08/2007,20,NO,6.1,,,34,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/22/2007,15.75,NO,4.8,3.55,9,37,45,44,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,09/05/2007,16,NO,4.9,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
20599273,09/19/2007,14.5,NO,4.4,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
20599273,10/03/2007,15.25,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
20599273,10/17/2007,10.75,NO,3.3,,,43,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932776,05/12/2008,9.25,NO,2.8,,17,45,50,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,06/20/2008,14.5,NO,4.4,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932769,06/30/2008,18.5,NO,5.6,0.38,8,35,44,27,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932769,07/11/2008,19.9,NO,6,,,34,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932769,07/18/2008,18.6,NO,5.7,,,35,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,07/30/2008,13.5,NO,4.1,0.35,11,40,47,27,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932769,08/13/2008,17.7,NO,5.4,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189828,08/20/2008,,,,1.9,10,,46,40,,,,,
25932769,08/20/2008,17.4,NO,5.3,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189181,08/27/2008,14.6,NO,4.4,,,39,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932769,09/05/2008,17,NO,5.2,,,36,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932776,09/16/2008,14.7,NO,4.5,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932769,09/25/2008,12.2,NO,3.7,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932776,10/03/2008,11,NO,3.3,,,43,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932776,10/17/2008,9.5,NO,2.9,,,45,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
25932776,05/04/2009,7.8,NO,2.4,,17,48,50,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25933083,05/19/2009,8,NO,2.4,,,47,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
