Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Twin Lakes,Oneida,1177400,NO,44,,443166,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8191240,07/08/2004,,,,3.15,13,,48,43,,,,,
8191273,06/10/2005,14,NO,4.3,,,39,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8191273,06/25/2005,11,NO,3.3,,,43,,,LOW,,CLEAR,,2-Very minor aesthetic problems
8191273,07/08/2005,9.6,NO,2.9,,,45,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8191273,07/25/2005,5,NO,1.5,,,54,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8191273,08/14/2005,8,NO,2.4,,,47,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8191273,10/08/2005,14,NO,4.3,,,39,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8191273,04/26/2006,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191273,05/23/2006,11.5,NO,3.5,,,42,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191273,06/03/2006,10,NO,3,,,44,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191273,06/14/2006,8,NO,2.4,,,47,,,LOW,,CLEAR,,2-Very minor aesthetic problems
8191273,07/06/2006,8.5,NO,2.6,,,46,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191273,07/20/2006,9,NO,2.7,,,45,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191273,08/03/2006,10,NO,3,,,44,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191273,08/15/2006,10,NO,3,,,44,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191273,09/06/2006,8,NO,2.4,,,47,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191273,10/02/2006,12,NO,3.6,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191273,05/04/2007,10,NO,3,,,44,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8191273,06/01/2007,12.5,NO,3.8,,,41,,,LOW,,,GREEN,2-Very minor aesthetic problems
8191273,06/18/2007,11,NO,3.3,,,43,,,LOW,,,GREEN,2-Very minor aesthetic problems
8191273,06/29/2007,10,NO,3,,,44,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8191273,07/16/2007,7.25,NO,2.2,,,49,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8191273,08/01/2007,8.5,NO,2.6,,,46,,,LOW,,,GREEN,2-Very minor aesthetic problems
8191273,08/15/2007,10.5,NO,3.2,,,43,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8191273,09/04/2007,10,NO,3,,,44,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8191273,05/06/2008,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8191273,05/19/2008,11.5,NO,3.5,,,42,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8191273,06/17/2008,13.5,NO,4.1,,,40,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8191273,06/24/2008,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8191273,07/14/2008,10,NO,3,,,44,,,LOW,,,BLUE,2-Very minor aesthetic problems
8191273,08/09/2008,8,NO,2.4,,,47,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8191273,08/19/2008,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
118553982,08/01/2016,11.5,NO,3.5,,,42,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
118553982,06/15/2017,10.7,NO,3.3,,,43,,,HIGH,22,CLEAR,BROWN,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/10/2005,3,FEET,72.8,DEGREES F,6.2,MG/L
06/10/2005,6,FEET,72.5,DEGREES F,7,MG/L
06/10/2005,9,FEET,72,DEGREES F,7,MG/L
06/10/2005,12,FEET,69,DEGREES F,8.8,MG/L
06/10/2005,15,FEET,64.4,DEGREES F,9.4,MG/L
07/08/2005,3,FEET,76,DEGREES F,6.7,MG/L
07/08/2005,6,FEET,76,DEGREES F,7.8,MG/L
07/08/2005,9,FEET,76,DEGREES F,7,MG/L
07/08/2005,12,FEET,76,DEGREES F,6.6,MG/L
07/08/2005,15,FEET,75,DEGREES F,6.4,MG/L
08/14/2005,3,FEET,77,DEGREES F,6,MG/L
08/14/2005,6,FEET,77,DEGREES F,6,MG/L
08/14/2005,9,FEET,76,DEGREES F,9.2,MG/L
08/14/2005,12,FEET,76,DEGREES F,6.9,MG/L
08/14/2005,15,FEET,75,DEGREES F,6.8,MG/L
10/08/2005,3,FEET,55,DEGREES F,9.9,MG/L
10/08/2005,6,FEET,57,DEGREES F,10,MG/L
10/08/2005,9,FEET,58,DEGREES F,8,MG/L
10/08/2005,12,FEET,58,DEGREES F,8.2,MG/L
10/08/2005,15,FEET,56,DEGREES F,8,MG/L
06/03/2006,3,FEET,73.4,DEGREES F,7.2,MG/L
06/03/2006,6,FEET,72.6,DEGREES F,7.2,MG/L
06/03/2006,9,FEET,65.4,DEGREES F,7.7,MG/L
06/03/2006,12,FEET,60,DEGREES F,7.7,MG/L
06/03/2006,15,FEET,56.1,DEGREES F,6,MG/L
07/06/2006,3,FEET,76.4,DEGREES F,7.3,MG/L
07/06/2006,6,FEET,75.7,DEGREES F,7,MG/L
07/06/2006,9,FEET,75,DEGREES F,7.2,MG/L
07/06/2006,12,FEET,73.4,DEGREES F,7,MG/L
07/06/2006,15,FEET,63.8,DEGREES F,4.8,MG/L
08/03/2006,3,FEET,79.5,DEGREES F,6.7,MG/L
08/03/2006,6,FEET,77.9,DEGREES F,7.6,MG/L
08/03/2006,9,FEET,77.3,DEGREES F,7,MG/L
08/03/2006,12,FEET,77,DEGREES F,6.8,MG/L
08/03/2006,15,FEET,76.4,DEGREES F,6.7,MG/L
10/02/2006,3,FEET,57.2,DEGREES F,8.5,MG/L
10/02/2006,6,FEET,56.6,DEGREES F,9,MG/L
10/02/2006,9,FEET,56.4,DEGREES F,8.8,MG/L
10/02/2006,12,FEET,55.5,DEGREES F,8.8,MG/L
10/02/2006,15,FEET,55.4,DEGREES F,9.2,MG/L
05/04/2007,3,FEET,60.8,DEGREES F,8.6,MG/L
05/04/2007,6,FEET,60.2,DEGREES F,8.4,MG/L
05/04/2007,9,FEET,59.7,DEGREES F,7.8,MG/L
05/04/2007,12,FEET,59,DEGREES F,8.7,MG/L
05/04/2007,15,FEET,53,DEGREES F,9.2,MG/L
06/01/2007,3,FEET,70.1,DEGREES F,7.5,MG/L
06/01/2007,6,FEET,69,DEGREES F,7.7,MG/L
06/01/2007,9,FEET,67.4,DEGREES F,7.4,MG/L
06/01/2007,12,FEET,65.1,DEGREES F,8.2,MG/L
06/01/2007,15,FEET,62.9,DEGREES F,7.4,MG/L
06/01/2007,18,FEET,60.4,DEGREES F,,
06/29/2007,3,FEET,76.4,DEGREES F,6.5,MG/L
06/29/2007,6,FEET,76.2,DEGREES F,6.5,MG/L
06/29/2007,9,FEET,76.1,DEGREES F,10.6,MG/L
06/29/2007,12,FEET,75.5,DEGREES F,5.3,MG/L
06/29/2007,15,FEET,75,DEGREES F,7.4,MG/L
08/01/2007,3,FEET,82.2,DEGREES F,5.7,MG/L
08/01/2007,6,FEET,81.8,DEGREES F,5.3,MG/L
08/01/2007,9,FEET,80.9,DEGREES F,5.6,MG/L
08/01/2007,12,FEET,79.5,DEGREES F,5.8,MG/L
08/01/2007,15,FEET,75.3,DEGREES F,6.1,MG/L
05/06/2008,3,FEET,53.6,DEGREES F,9.2,MG/L
05/06/2008,6,FEET,51.8,DEGREES F,8.6,MG/L
05/06/2008,9,FEET,50.3,DEGREES F,9.2,MG/L
05/06/2008,12,FEET,49.2,DEGREES F,10,MG/L
05/06/2008,15,FEET,48.2,DEGREES F,9.4,MG/L
06/17/2008,3,FEET,66.2,DEGREES F,7.6,MG/L
06/17/2008,6,FEET,66.9,DEGREES F,9.2,MG/L
06/17/2008,9,FEET,66.9,DEGREES F,6.8,MG/L
06/17/2008,12,FEET,66.5,DEGREES F,7.6,MG/L
06/17/2008,15,FEET,66.2,DEGREES F,6.8,MG/L
07/14/2008,3,FEET,71.9,DEGREES F,6.8,MG/L
07/14/2008,6,FEET,71.6,DEGREES F,9.2,MG/L
07/14/2008,9,FEET,71.4,DEGREES F,6.6,MG/L
