Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Wind Pudding Lake,Oneida,1178900,NO,44,,443196,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,07/09/1992,,,,4,12,,47,45,,,,,
1,07/30/1992,15.4,,4.7,1.71,7,38,43,39,,,,,
1,09/10/1992,18.4,,5.6,3.92,9,35,45,45,,,,,
1,05/25/1993,,,,3.21,7,,43,44,,,,,
8190476,06/14/1995,23.5,NO,7.1,,,32,,,FULL,,,GREEN,2-Very minor aesthetic problems
8188816,07/19/1997,18,NO,5.5,,,35,,,,,CLEAR,,1-Beautiful, could not be nicer
8188816,10/25/1997,24.5,NO,7.4,,,31,,,,,CLEAR,,1-Beautiful, could not be nicer
8188816,06/20/1998,22.5,NO,6.8,,,32,,,,,CLEAR,,1-Beautiful, could not be nicer
8188816,07/04/1998,22,NO,6.7,,,33,,,,,CLEAR,,1-Beautiful, could not be nicer
8188816,08/16/1998,21,NO,6.4,,,33,,,,,CLEAR,,1-Beautiful, could not be nicer
8188816,02/14/1999,27,NO,8.2,,,30,,,,,CLEAR,,1-Beautiful, could not be nicer
8188816,05/06/1999,15.5,NO,4.7,,,38,,,,,MURKY,,1-Beautiful, could not be nicer
8188816,06/12/1999,23.25,NO,7.1,,,32,,,,,CLEAR,,1-Beautiful, could not be nicer
8188816,07/07/1999,25.75,NO,7.8,,,30,,,,,CLEAR,,1-Beautiful, could not be nicer
8188816,08/15/1999,23.5,NO,7.1,,,32,,,,,CLEAR,,1-Beautiful, could not be nicer
8188816,02/23/2000,28,NO,8.5,,,29,,,,,CLEAR,,1-Beautiful, could not be nicer
8188816,05/06/2000,16,NO,4.9,,,37,,,,,CLEAR,,1-Beautiful, could not be nicer
8188816,06/10/2000,22.5,NO,6.8,,,32,,,,,CLEAR,,
8188816,07/08/2000,24,NO,7.3,,,31,,,,,CLEAR,,1-Beautiful, could not be nicer
8188816,08/13/2000,22.5,NO,6.8,,,32,,,,,,,1-Beautiful, could not be nicer
8188816,10/07/2000,17.5,NO,5.3,,,36,,,,,CLEAR,,
8188816,02/18/2001,30.5,NO,9.3,,,28,,,,,CLEAR,,1-Beautiful, could not be nicer
8188816,04/28/2001,14.5,NO,4.4,,,39,,,,,MURKY,,
8188816,05/24/2001,20.25,NO,6.2,,,34,,,,,CLEAR,,
8188816,06/16/2001,21,NO,6.4,,,33,,,,,CLEAR,,
8188816,07/08/2001,23,NO,7,,,32,,,,,CLEAR,,
8188816,08/11/2001,21.75,NO,6.6,,,33,,,,,CLEAR,,
8188816,10/26/2001,18.5,NO,5.6,,,31,,,,,CLEAR,,1-Beautiful, could not be nicer
8188816,02/27/2002,27.5,NO,8.4,,,29,,,,,CLEAR,,
8188816,04/21/2002,14.5,NO,4.4,,,39,,,,,MURKY,,
8188816,05/12/2002,19.5,NO,5.9,,,34,,,,,CLEAR,,
8188816,06/09/2002,22,NO,6.7,,,33,,,,,CLEAR,,
8188816,07/05/2002,24,NO,7.3,,,31,,,,,CLEAR,,
8188816,07/17/2002,,,,,,,,,,,,,
8188816,08/23/2002,21.5,NO,6.5,,,33,,,,,CLEAR,,
8188816,09/20/2002,22,NO,6.7,,,33,,,,,CLEAR,,
8188816,05/17/2003,21,NO,6.4,,,33,,,,864.9,,,
8188816,06/17/2003,22,NO,6.7,,,33,,,,864.9,,,
8188816,07/17/2003,23.25,NO,7.1,,,32,,,,864.9,,,
8188816,08/17/2003,20.5,NO,6.2,,,34,,,,864.9,,,
8188816,05/15/2004,20.5,NO,6.2,,,34,,,,,,,
8188816,06/19/2004,24.5,NO,7.4,,,31,,,,,CLEAR,,
8188816,07/17/2004,23,NO,7,,,32,,,,,,,
8188816,08/21/2004,22,NO,6.7,,,33,,,,,,,
8188816,10/30/2004,15.75,NO,4.8,,,37,,,,,,,
8188816,05/14/2005,20,NO,6.1,,,34,,,,,,,
8188816,06/18/2005,21.5,NO,6.5,,,33,,,,,,,
8188816,07/16/2005,22.5,NO,6.8,,,32,,,,,,,
8188816,08/20/2005,20.25,NO,6.2,,,34,,,,,,,
8188816,05/17/2006,19.5,NO,5.9,,,34,,,LOW,,,,
8188816,06/18/2006,22,NO,6.7,,,33,,,LOW,,CLEAR,,1-Beautiful, could not be nicer
8188816,08/18/2006,21.5,NO,6.5,,,33,,,LOW,,CLEAR,,1-Beautiful, could not be nicer
8188816,09/20/2006,20.5,NO,6.2,,,34,,,LOW,,CLEAR,,
8188816,05/13/2007,21,,6.4,,,33,,,,,,,
8188816,06/13/2007,21,,6.4,,,33,,,,,,,
8188816,07/15/2007,23.5,,7.1,,,32,,,,,CLEAR,,
8188816,08/20/2007,20.5,,6.2,,,34,,,,,,,
8188816,09/17/2007,20.5,,6.2,,,34,,,,,,,
8188816,05/17/2008,17.5,NO,5.3,,,36,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
