Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
McCormick Lake,Oneida,1526600,NO,44,,443221,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,08/01/1979,,,,,,,,,,,,,
130849533,08/26/2016,2,NO,0.6,,,67,,,HIGH,,MURKY,BROWN,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/01/1979,,,23,C,,
08/26/2016,1,FEET,9.11,DEGREES F,71.4,MG/L
08/26/2016,2,FEET,9.12,DEGREES F,71.7,MG/L
08/26/2016,3,FEET,9.1,DEGREES F,71.7,MG/L
08/26/2016,4,FEET,8.79,DEGREES F,71.4,MG/L
08/26/2016,5,FEET,8.68,DEGREES F,71.3,MG/L
08/26/2016,6,FEET,7.84,DEGREES F,70.7,MG/L
08/26/2016,7,FEET,7.31,DEGREES F,70.4,MG/L
08/26/2016,8,FEET,7.21,DEGREES F,70.3,MG/L



Start Date,Fieldwork Comment
08/01/1979,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
08/26/2016,party cloudy. 69 degrees F. 6mph nw wind.




Start Date,Group Name,Project Name
08/01/1979,Data Collectors,Migrated from STORET Legacy
08/26/2016,Stephanie Boismenue and Aubrey Nycz,Lake Water Quality Monitoring - Oneida County Land and Water Dept.
