Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Shepard Lake,Oneida,1576100,NO,44,,443256,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,07/17/1979,,,,,,,,,,,,,
118823214,08/11/2015,5.75,NO,1.7,,,52,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
128395236,05/14/2017,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
128395236,06/01/2017,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
128395236,06/09/2017,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
128395236,06/21/2017,3.5,NO,1.1,,,59,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
128395236,07/08/2017,4,NO,1.2,,,57,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
128395236,07/14/2017,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
128395236,07/28/2017,3.1,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
128395236,08/05/2017,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/17/1979,,,23,C,,
08/11/2015,2,FEET,73.9,DEGREES F,7.39,MG/L
08/11/2015,4,FEET,73.1,DEGREES F,7.42,MG/L
08/11/2015,6,FEET,72.5,DEGREES F,7.4,MG/L
08/11/2015,8,FEET,71,DEGREES F,6.47,MG/L
08/11/2015,10,FEET,70.1,DEGREES F,5.96,MG/L
08/11/2015,12,FEET,69.9,DEGREES F,5.88,MG/L
08/11/2015,14,FEET,69.7,DEGREES F,5.73,MG/L
05/14/2017,2,FEET,63.5,DEGREES F,,
05/14/2017,15,FEET,51.4,DEGREES F,,
06/01/2017,2,FEET,61.8,DEGREES F,,
06/01/2017,15,FEET,58.6,DEGREES F,,
06/21/2017,2,FEET,70.5,DEGREES F,,
06/21/2017,15,FEET,64.4,DEGREES F,,
07/08/2017,2,FEET,73.4,DEGREES F,,
07/08/2017,15,FEET,65.5,DEGREES F,,
07/14/2017,2,FEET,75.2,DEGREES F,,
07/14/2017,15,FEET,63.8,DEGREES F,,
07/28/2017,2,FEET,77.9,DEGREES F,,
07/28/2017,15,FEET,66,DEGREES F,,
08/05/2017,2,FEET,69.6,DEGREES F,,
08/05/2017,15,FEET,67.4,DEGREES F,,



Start Date,Fieldwork Comment
07/17/1979,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
08/11/2015,Partly cloudy- 71 degrees F- wind NNW at 5 mph- and 50% humidity.   Partly cloudy- 71 degrees F- wind NNW at 5 mph- and 50% humidity.  Partly cloudy- 71 degrees F- wind NNW at 5 mph- and 50% humidity. 




Start Date,Group Name,Project Name
07/17/1979,Data Collectors,Migrated from STORET Legacy
08/11/2015,Stephanie Boismenue and Samantha Zommers,Lake Water Quality Monitoring - Oneida County Land and Water Dept.
05/14/2017,Joan Schutts,Citizen Lake Monitoring - Water Quality - Shepard Lake (1576100)- Deep Hole 
06/01/2017,Joan Schutts,Citizen Lake Monitoring - Water Quality - Shepard Lake (1576100)- Deep Hole 
06/09/2017,Joan Schutts,Citizen Lake Monitoring - Water Quality - Shepard Lake (1576100)- Deep Hole 
06/21/2017,Joan Schutts,Citizen Lake Monitoring - Water Quality - Shepard Lake (1576100)- Deep Hole 
07/08/2017,Joan Schutts,Citizen Lake Monitoring - Water Quality - Shepard Lake (1576100)- Deep Hole 
07/14/2017,Joan Schutts,Citizen Lake Monitoring - Water Quality - Shepard Lake (1576100)- Deep Hole 
07/28/2017,Joan Schutts,Citizen Lake Monitoring - Water Quality - Shepard Lake (1576100)- Deep Hole 
08/05/2017,Joan Schutts,Citizen Lake Monitoring - Water Quality - Shepard Lake (1576100)- Deep Hole 
