Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Margaret Lake,Oneida,1615900,NO,44,,443314,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,07/16/1985,,,,,30,,54,,,,,,
8190002,06/15/1993,3,NO,0.9,,,61,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190002,06/21/1993,3,NO,0.9,,,61,,,,,,BROWN,4-Would not swim but boating OK (algae)
8190002,06/30/1993,2.5,NO,0.8,,,64,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190002,07/07/1993,2.25,NO,0.7,,,65,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190002,07/14/1993,,,,,,,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190002,07/21/1993,2.5,NO,0.8,,,64,,,,,,BROWN,4-Would not swim but boating OK (algae)
8190002,08/10/1993,2,NO,0.6,,,67,,,,,,BROWN,4-Would not swim but boating OK (algae)
8190002,08/16/1993,2.5,NO,0.8,,,64,,,,,,BROWN,4-Would not swim but boating OK (algae)
8190002,08/23/1993,2,NO,0.6,,,67,,,,,,BROWN,4-Would not swim but boating OK (algae)
8190002,09/08/1993,2.5,NO,0.8,,,64,,,,,,BROWN,4-Would not swim but boating OK (algae)
8190002,09/15/1993,3,NO,0.9,,,61,,,,,,BROWN,4-Would not swim but boating OK (algae)
8190002,09/29/1993,3,NO,0.9,,,61,,,,,,BROWN,2-Very minor aesthetic problems
8190002,10/28/1993,4,NO,1.2,,,57,,,,,,BROWN,2-Very minor aesthetic problems
8190002,04/18/1994,2,NO,0.6,,,67,,,,,,BROWN,2-Very minor aesthetic problems
8190002,05/26/1994,4,NO,1.2,,,57,,,,,,BROWN,2-Very minor aesthetic problems
8190002,06/01/1994,4,NO,1.2,,,57,,,,,,BROWN,2-Very minor aesthetic problems
8190002,06/10/1994,4,NO,1.2,,,57,,,,,,BROWN,2-Very minor aesthetic problems
8190002,06/15/1994,4,NO,1.2,,,57,,,,,,BROWN,2-Very minor aesthetic problems
8190002,07/02/1994,3,NO,0.9,,,61,,,,,,BROWN,2-Very minor aesthetic problems
8190002,07/10/1994,3.25,NO,1,,,60,,,,,,BROWN,2-Very minor aesthetic problems
8190002,07/16/1994,2.75,NO,0.8,,,63,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190002,07/28/1994,2,NO,0.6,,,67,,,,,,BROWN,4-Would not swim but boating OK (algae)
8190002,08/11/1994,3.5,NO,1.1,,,59,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190002,08/18/1994,4,NO,1.2,,,57,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190002,08/24/1994,3.5,NO,1.1,,,59,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190002,09/07/1994,3,NO,0.9,,,61,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190002,09/14/1994,4,NO,1.2,,,57,,,,,,BROWN,2-Very minor aesthetic problems
8190002,10/03/1994,2.5,NO,0.8,,,64,,,,,,BROWN,2-Very minor aesthetic problems
8190002,10/14/1994,2.5,NO,0.8,,,64,,,,,,BROWN,2-Very minor aesthetic problems
8190002,04/22/1995,1.75,NO,0.5,,,69,,,,,,BROWN,2-Very minor aesthetic problems
8190002,05/11/1995,2.25,NO,0.7,,,65,,,,,,BROWN,2-Very minor aesthetic problems
8190002,05/23/1995,3.5,NO,1.1,,,59,,,,,,BROWN,2-Very minor aesthetic problems
8190002,05/31/1995,3.5,NO,1.1,,,59,,,,,,BROWN,2-Very minor aesthetic problems
8190002,06/16/1995,4,NO,1.2,,,57,,,,,,BROWN,2-Very minor aesthetic problems
