Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
West Spider Lake,Oneida,1177300,NO,44,,443319,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,07/18/1985,,,,,20,,51,,,,,,
145584054,07/19/2017,,,,2.86,11.3,,47,43,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/18/1985,,,22,C,.2,MG/L
07/19/2017,0,METERS,25.45,DEGREES C,7.9,MG/L
07/19/2017,1,METERS,24.8,DEGREES C,7.8,MG/L
07/19/2017,2,METERS,22.6,DEGREES C,7.1,MG/L
07/19/2017,3,METERS,16.5,DEGREES C,5.6,MG/L
07/19/2017,4,METERS,11.8,DEGREES C,1.4,MG/L
07/19/2017,5,METERS,10.5,DEGREES C,.6,MG/L
07/19/2017,6,METERS,10.3,DEGREES C,.5,MG/L



Start Date,Fieldwork Comment
07/18/1985,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    




Start Date,Group Name,Project Name
07/18/1985,Data Collectors,Migrated from STORET Legacy
07/19/2017,SARAH R FANNING- SHELBY T KAIL,EPA National Lakes Assessment 2017
