Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Emden Lake,Oneida,983400,NO,44,,443358,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,06/28/1989,,,,4,21,,52,45,,,,,
1,08/09/1989,,,,,,,,,,,,,
1,09/06/1989,,,,2,9,,45,40,,,,,
1,10/25/1989,,,,,20,,51,,,,,,
1,10/18/1999,,,,,11,,47,,,,,,
8190318,08/31/2008,9,YES,2.7,1.13,17,45,50,36,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190318,07/08/2009,9.25,YES,2.8,2.3,19,45,51,41,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,08/18/2009,9,YES,2.7,1.84,9,45,45,39,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,05/15/2010,9,YES,2.7,,,45,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,05/29/2010,9,YES,2.7,,,45,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,07/10/2010,9,NO,2.7,2.36,13,45,48,41,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,07/06/2011,5.5,NO,1.7,3.8,18,53,51,45,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190318,08/03/2011,6,NO,1.8,22.2,33,51,55,58,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190318,08/20/2011,7,NO,2.1,,,49,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190318,09/24/2011,6.25,NO,1.9,,,51,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190318,07/07/2012,7.5,NO,2.3,7.29,16,48,50,50,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,08/26/2012,9,YES,2.7,4.73,15,45,49,47,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,07/04/2014,7.5,NO,2.3,,,48,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,08/10/2014,8,NO,2.4,6.57,11.5,47,47,49,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,04/26/2015,7.25,NO,2.2,,23.8,49,53,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,07/03/2015,6,NO,1.8,13.2,16.9,51,50,54,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,08/16/2015,8.5,NO,2.6,4.3,16.1,46,50,46,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,07/09/2016,7.5,NO,2.3,10.9,17.4,48,50,53,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,07/31/2016,8.5,NO,2.6,,,46,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,08/07/2016,7.5,NO,2.3,,,48,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,04/09/2017,5.75,NO,1.7,,19.8,52,51,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,07/09/2017,7.5,NO,2.3,3.95,24.5,48,53,45,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,08/12/2017,6,NO,1.8,20.1,24.5,51,53,57,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190318,09/04/2017,7,NO,2.1,9.23,21.2,49,52,52,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/28/1989,,,21.5,C,5.1,MG/L
08/09/1989,,,22.5,C,7.9,MG/L
09/06/1989,,,20.0,C,7.7,MG/L
10/25/1989,,,9.5,C,10.8,MG/L
08/31/2008,3,FEET,72.6,DEGREES F,,
08/31/2008,6,FEET,71.4,DEGREES F,,
08/31/2008,9,FEET,71,DEGREES F,,
07/08/2009,3,FEET,71.4,DEGREES F,6.9,MG/L
07/08/2009,6,FEET,70.8,DEGREES F,7.1,MG/L
07/08/2009,9,FEET,70.7,DEGREES F,7.1,MG/L
07/10/2010,3,FEET,79.5,DEGREES F,,
07/10/2010,6,FEET,77.7,DEGREES F,,
07/10/2010,9,FEET,73,DEGREES F,,
07/06/2011,3,FEET,77.9,DEGREES F,5.6,MG/L
07/06/2011,6,FEET,65.3,DEGREES F,3.8,MG/L
07/06/2011,9,FEET,56.6,DEGREES F,.4,MG/L
08/03/2011,1,FEET,76.1,DEGREES F,,
08/03/2011,3,FEET,75,DEGREES F,5.8,MG/L
08/03/2011,6,FEET,71,DEGREES F,1,MG/L
08/03/2011,9,FEET,59,DEGREES F,1,MG/L
08/03/2011,10,FEET,55.9,DEGREES F,,
07/07/2012,3,FEET,85,DEGREES F,6.4,MG/L
07/07/2012,6,FEET,79,DEGREES F,6.2,MG/L
07/07/2012,9,FEET,70,DEGREES F,2,MG/L
08/10/2014,0,FEET,25.7,DEGREES F,7.87,MG/L
08/10/2014,1,FEET,25.1,DEGREES F,7.84,MG/L
08/10/2014,2,FEET,24.6,DEGREES F,7.84,MG/L
08/10/2014,3,FEET,24.5,DEGREES F,7.85,MG/L
08/10/2014,4,FEET,24.2,DEGREES F,7.88,MG/L
08/10/2014,5,FEET,24,DEGREES F,8.09,MG/L
08/10/2014,6,FEET,23.1,DEGREES F,8.27,MG/L
08/10/2014,7,FEET,21.5,DEGREES F,8.83,MG/L
08/10/2014,8,FEET,19.1,DEGREES F,1.94,MG/L
08/10/2014,9,FEET,17,DEGREES F,.31,MG/L
08/10/2014,10,FEET,16.1,DEGREES F,.15,MG/L
07/03/2015,0,FEET,23.5,DEGREES C,7.88,MG/L
07/03/2015,1,FEET,23.5,DEGREES C,7.87,MG/L
07/03/2015,2,FEET,23.5,DEGREES C,7.85,MG/L
07/03/2015,3,FEET,23.4,DEGREES C,7.84,MG/L
07/03/2015,4,FEET,22.8,DEGREES C,7.93,MG/L
07/03/2015,5,FEET,22.3,DEGREES C,8.26,MG/L
07/03/2015,6,FEET,21.7,DEGREES C,7.51,MG/L
07/03/2015,7,FEET,19.3,DEGREES C,3.76,MG/L
07/03/2015,8,FEET,16.9,DEGREES C,.9,MG/L
07/03/2015,9,FEET,15.7,DEGREES C,.51,MG/L
07/03/2015,10,FEET,13.9,DEGREES C,.17,MG/L
08/16/2015,0,FEET,26,DEGREES C,7.68,MG/L
08/16/2015,1,FEET,26,DEGREES C,7.68,MG/L
08/16/2015,2,FEET,26,DEGREES C,7.67,MG/L
08/16/2015,3,FEET,26,DEGREES C,7.66,MG/L
08/16/2015,4,FEET,24.9,DEGREES C,7.98,MG/L
08/16/2015,5,FEET,24,DEGREES C,8.09,MG/L
08/16/2015,6,FEET,23.3,DEGREES C,8.09,MG/L
08/16/2015,7,FEET,22.5,DEGREES C,7.48,MG/L
08/16/2015,8,FEET,21.2,DEGREES C,2.3,MG/L
08/16/2015,9,FEET,19.1,DEGREES C,.15,MG/L
08/16/2015,10,FEET,18,DEGREES C,.11,MG/L
08/16/2015,11,FEET,17.6,DEGREES C,.08,MG/L
07/09/2016,1,FEET,24.5,DEGREES C,7.26,MG/L
07/09/2016,3,FEET,24.2,DEGREES C,7.24,MG/L
07/09/2016,5,FEET,23.4,DEGREES C,7.3,MG/L
07/09/2016,7,FEET,22,DEGREES C,4.16,MG/L
