Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Two Sisters Lake,Oneida,1588200,NO,44,,443391,NE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190289,05/31/1986,21.5,NO,6.5,,,33,,,,,CLEAR,BLUE,
8190289,06/28/1986,18.25,NO,5.5,,,35,,,,,CLEAR,BLUE,
8190289,07/20/1986,15.75,NO,4.8,,,37,,,,,CLEAR,BLUE,
8190289,07/26/1986,16.25,NO,4.9,,,37,,,,,CLEAR,BLUE,
8190289,08/03/1986,14.25,NO,4.3,,,39,,,,,CLEAR,BLUE,
8190289,08/09/1986,14.75,NO,4.5,,,38,,,,,CLEAR,BLUE,
8190289,09/13/1986,13.25,NO,4,,,40,,,,,,BROWN,
8190289,05/02/1987,12.25,NO,3.7,,,41,,,LOW,,,GREEN,
8190289,06/07/1987,18.75,NO,5.7,,,35,,,,,CLEAR,BLUE,
8190289,06/28/1987,20.75,NO,6.3,,,33,,,,,CLEAR,BLUE,
8190289,07/18/1987,22.5,NO,6.8,,,32,,,,,CLEAR,BLUE,
8190289,07/26/1987,24.25,NO,7.4,,,31,,,,,CLEAR,BLUE,
8190289,08/08/1987,27.25,NO,8.3,,,30,,,,,CLEAR,BLUE,
8190289,09/05/1987,22.25,NO,6.8,,,32,,,,,CLEAR,BLUE,
8190289,09/27/1987,20.5,NO,6.2,,,34,,,,,CLEAR,BLUE,
8190289,05/29/1988,18.5,NO,5.6,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,06/04/1988,17.2,NO,5.2,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,06/26/1988,20.75,NO,6.3,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,07/23/1988,21.2,NO,6.4,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,08/28/1988,17.5,NO,5.3,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,09/17/1988,19.25,NO,5.9,,,35,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,06/18/1989,22,NO,6.7,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,06/24/1989,21.25,NO,6.5,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,07/08/1989,23.5,NO,7.1,,,31,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,07/22/1989,18,NO,5.5,,,33,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190289,08/05/1989,21.75,NO,6.6,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,08/26/1989,24.75,NO,7.5,,,31,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,09/10/1989,23.25,NO,7.1,,,30,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,05/28/1990,25.75,NO,7.8,,,30,,,4" ABOVE AVG.,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190289,06/10/1990,22.5,NO,6.8,,,32,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
