Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Planting Ground Lake,Oneida,1609100,NO,44,,443406,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190752,07/23/1993,6.5,NO,2,,,50,,,HIGH,,,BROWN,2-Very minor aesthetic problems
8190752,07/30/1993,6.25,NO,1.9,,,51,,,HIGH,,,BROWN,2-Very minor aesthetic problems
8190752,08/07/1993,6,NO,1.8,,,51,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190752,08/13/1993,6,NO,1.8,,,51,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190752,08/19/1993,7,NO,2.1,,,49,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190752,08/26/1993,6.5,NO,2,,,50,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190752,09/03/1993,5.25,NO,1.6,,,53,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190752,09/10/1993,5,NO,1.5,,,54,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190752,09/17/1993,5,NO,1.5,,,54,,,HIGH,,,BROWN,2-Very minor aesthetic problems
8190752,09/24/1993,6,NO,1.8,,,51,,,HIGH,,,BROWN,2-Very minor aesthetic problems
8190752,05/06/1994,5,NO,1.5,,,54,,,8" LOW,,,BROWN,2-Very minor aesthetic problems
8190752,05/13/1994,6.5,NO,2,,,50,,,6" LOW,,,BROWN,2-Very minor aesthetic problems
8190752,05/19/1994,8,NO,2.4,,,47,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190752,05/27/1994,8.5,NO,2.6,,,46,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190752,06/02/1994,10,NO,3,,,44,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190752,06/09/1994,8.5,NO,2.6,,,46,,,HIGH,,,BROWN,2-Very minor aesthetic problems
8190752,06/16/1994,7,NO,2.1,,,49,,,6" HIGH,,,BROWN,2-Very minor aesthetic problems
8190752,06/24/1994,6.5,NO,2,,,50,,,4" HIGH,,,BROWN,2-Very minor aesthetic problems
8190752,07/07/1994,7,NO,2.1,,,49,,,2" HIGH,,,BROWN,2-Very minor aesthetic problems
8190752,07/13/1994,6.5,NO,2,,,50,,,2" HIGH,,,BROWN,2-Very minor aesthetic problems
8190752,07/21/1994,6,NO,1.8,,,51,,,4" HIGH,,,BROWN,2-Very minor aesthetic problems
8190752,07/27/1994,5.5,NO,1.7,,,53,,,4" HIGH,,,BROWN,2-Very minor aesthetic problems
8190752,08/05/1994,6.5,NO,2,,,50,,,3" HIGH,,,BROWN,2-Very minor aesthetic problems
8190752,08/12/1994,6,NO,1.8,,,51,,,3" HIGH,,,BROWN,2-Very minor aesthetic problems
8190752,08/17/1994,7,NO,2.1,,,49,,,HIGH,,,BROWN,2-Very minor aesthetic problems
8190752,08/19/1994,5,NO,1.5,,,54,,,3" HIGH,,,BROWN,2-Very minor aesthetic problems
8190752,08/25/1994,6,NO,1.8,,,51,,,3" HIGH,,,BROWN,2-Very minor aesthetic problems
8190752,09/09/1994,5,NO,1.5,,,54,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190389,09/16/1994,5,NO,1.5,,,54,,,8" HIGH,,,BROWN,2-Very minor aesthetic problems
8190752,09/24/1994,5.5,NO,1.7,,,53,,,8" HIGH,,,BROWN,2-Very minor aesthetic problems
8190752,10/07/1994,4.5,NO,1.4,,,55,,,6" HIGH,,,BROWN,2-Very minor aesthetic problems
8190752,05/12/1995,7.5,NO,2.3,,,48,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190752,05/19/1995,7,NO,2.1,,,49,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190752,05/25/1995,7.5,NO,2.3,,,48,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190752,06/01/1995,8.25,NO,2.5,,,47,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190752,06/09/1995,9,NO,2.7,,,45,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190752,06/14/1995,8.5,NO,2.6,,,46,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190752,06/21/1995,9.5,NO,2.9,,,45,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190752,07/03/1995,6.75,NO,2.1,,,50,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190752,07/13/1995,6.5,NO,2,,,50,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
