Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Sugar Camp Lake,Oneida,1020400,NO,44,,443471,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
36969336,08/12/2010,11,YES,3.3,,,43,,,LOW,11.5,CLEAR,GREEN,2-Very minor aesthetic problems
36969336,09/18/2010,6.5,NO,2,,,50,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
36969336,10/30/2010,4.5,NO,1.4,,,55,,,LOW,12,MURKY,BROWN,2-Very minor aesthetic problems
36969333,05/28/2011,6.5,YES,2,,,50,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
36969336,07/03/2011,8.5,NO,2.6,,,46,,,NORMAL,13,CLEAR,BLUE,1-Beautiful, could not be nicer
36969336,07/26/2011,10.3,NO,3.1,,,44,,,NORMAL,13,CLEAR,GREEN,1-Beautiful, could not be nicer
36969336,09/10/2011,6,NO,1.8,,,51,,,LOW,12,MURKY,GREEN,2-Very minor aesthetic problems
36969336,10/02/2011,4.5,NO,1.4,,,55,,,LOW,12,MURKY,GREEN,2-Very minor aesthetic problems
36969336,10/23/2011,4.5,NO,1.4,,,55,,,LOW,12,MURKY,GREEN,2-Very minor aesthetic problems
132673627,09/20/2016,11,NO,3.3,,,43,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
132673627,10/06/2016,12,NO,3.6,,,41,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
132673627,07/05/2017,11,NO,3.3,,,43,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
132673627,07/29/2017,14,NO,4.3,,,39,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
132673627,09/08/2017,12,NO,3.6,,,41,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
132673627,09/15/2017,12,NO,3.6,,,41,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
132673627,10/09/2017,12,NO,3.6,,,41,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
09/18/2010,1,FEET,57.2,DEGREES F,,
09/18/2010,2,FEET,57.2,DEGREES F,,
09/18/2010,3,FEET,57.2,DEGREES F,,
09/18/2010,4,FEET,57.2,DEGREES F,,
09/18/2010,5,FEET,57,DEGREES F,,
09/18/2010,6,FEET,56.8,DEGREES F,,
09/18/2010,7,FEET,56.6,DEGREES F,,
09/18/2010,8,FEET,56.6,DEGREES F,,
09/18/2010,9,FEET,56.4,DEGREES F,,
09/18/2010,10,FEET,55.7,DEGREES F,,
09/18/2010,11,FEET,55.4,DEGREES F,,
09/18/2010,12,FEET,55.4,DEGREES F,,
09/18/2010,13,FEET,55.4,DEGREES F,,
10/30/2010,0,FEET,39.9,DEGREES F,,
10/30/2010,1,FEET,39.9,DEGREES F,,
10/30/2010,2,FEET,39.9,DEGREES F,,
10/30/2010,3,FEET,39.9,DEGREES F,,
10/30/2010,4,FEET,39.9,DEGREES F,,
10/30/2010,5,FEET,39.9,DEGREES F,,
10/30/2010,6,FEET,39.9,DEGREES F,,
10/30/2010,7,FEET,39.9,DEGREES F,,
10/30/2010,8,FEET,39.9,DEGREES F,,
10/30/2010,9,FEET,39.9,DEGREES F,,
10/30/2010,10,FEET,39.9,DEGREES F,,
10/30/2010,11,FEET,39.9,DEGREES F,,
10/30/2010,12,FEET,39.9,DEGREES F,,
05/28/2011,0,FEET,60,DEGREES F,,
05/28/2011,1,FEET,60,DEGREES F,,
05/28/2011,2,FEET,60,DEGREES F,,
05/28/2011,3,FEET,60,DEGREES F,,
05/28/2011,4,FEET,59.9,DEGREES F,,
05/28/2011,5,FEET,59.7,DEGREES F,,
05/28/2011,6,FEET,59.7,DEGREES F,,
05/28/2011,7,FEET,59.5,DEGREES F,,
05/28/2011,8,FEET,59.3,DEGREES F,,
05/28/2011,9,FEET,59.3,DEGREES F,,
05/28/2011,10,FEET,59.3,DEGREES F,,
05/28/2011,11,FEET,59.3,DEGREES F,,
07/03/2011,0,FEET,75.3,DEGREES F,,
07/03/2011,1,FEET,75.3,DEGREES F,,
07/03/2011,2,FEET,75.3,DEGREES F,,
07/03/2011,3,FEET,75,DEGREES F,,
07/03/2011,4,FEET,75,DEGREES F,,
07/03/2011,5,FEET,74.4,DEGREES F,,
07/03/2011,6,FEET,74.4,DEGREES F,,
07/03/2011,7,FEET,74.3,DEGREES F,,
07/03/2011,8,FEET,74.3,DEGREES F,,
