Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Pelican Lake,Oneida,1579900,NO,44,,443478,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8188748,06/03/2004,13,NO,4,,,40,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8188748,06/16/2004,9,NO,2.7,,,45,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8188748,07/03/2004,7,NO,2.1,,,49,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8188748,07/22/2004,6,NO,1.8,,,51,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8188748,08/04/2004,7,NO,2.1,,,49,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8188748,08/20/2004,6,NO,1.8,,,51,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8188748,09/22/2004,7,NO,2.1,,,49,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
8188748,06/20/2005,7,NO,2.1,,,49,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8188748,07/06/2005,6.5,NO,2,,,50,,,NORMAL,1.72,CLEAR,GREEN,1-Beautiful, could not be nicer
8188748,07/19/2005,5,NO,1.5,,,54,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8188748,08/16/2006,4.5,NO,1.4,,,55,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
29996532,06/03/2010,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
29996532,07/09/2010,6,NO,1.8,,,51,,,LOW,,MURKY,BROWN,
29996532,08/20/2010,5,NO,1.5,,,54,,,HIGH,,MURKY,BROWN,4-Would not swim but boating OK (algae)
29996532,09/22/2010,6,NO,1.8,,,51,,,HIGH,,MURKY,BROWN,
65256837,07/31/2013,5,NO,1.5,,,54,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
65256837,08/19/2013,4, ,1.2,,,57,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
65256837,05/21/2014,6.2,NO,1.9,,,51,,,,,CLEAR,YELLOW,2-Very minor aesthetic problems
89214715,06/26/2014,,,,6.98,21.1,,52,49,,,,,
65256837,07/23/2014,5,NO,1.5,,,54,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
65256837,08/05/2014,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,GREEN,5-Enjoyment substantially impaired (algae)
65256837,08/15/2014,2,NO,0.6,,,67,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
65256837,06/26/2015,5.75,NO,1.7,,,52,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
65256837,07/25/2015,4.25,NO,1.3,,,56,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
89214715,07/31/2015,,,,15,56.3,,59,55,,,,,
65256837,08/31/2015,4.25,NO,1.3,,,56,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
89214715,06/29/2016,,,,12.1,34.3,,56,54,,,,,
65256837,08/31/2017,4,NO,1.2,,,57,,,NORMAL,,MURKY,BROWN,4-Would not swim but boating OK (algae)



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/31/2013,3,FEET,72,DEGREES F,8.4,MG/L
07/31/2013,6,FEET,72,DEGREES F,8.4,MG/L
07/31/2013,9,FEET,71.1,DEGREES F,8.4,MG/L
07/31/2013,12,FEET,69.4,DEGREES F,8.6,MG/L
07/31/2013,15,FEET,68.9,DEGREES F,8.6,MG/L
07/31/2013,20,FEET,68.7,DEGREES F,8.8,MG/L
07/31/2013,25,FEET,69.8,DEGREES F,8.4,MG/L
07/31/2013,30,FEET,71.1,DEGREES F,8.1,MG/L
08/19/2013,3,FEET,72,DEGREES F,8.4,MG/L
08/19/2013,6,FEET,69.2,DEGREES F,8.4,MG/L
08/19/2013,9,FEET,69.2,DEGREES F,8.4,MG/L
08/19/2013,12,FEET,68.5,DEGREES F,8.4,MG/L
08/19/2013,15,FEET,68.3,DEGREES F,8.6,MG/L
08/19/2013,20,FEET,68.3,DEGREES F,8.6,MG/L
08/19/2013,25,FEET,68.2,DEGREES F,8.6,MG/L
08/19/2013,30,FEET,69.9,DEGREES F,8.6,MG/L
05/21/2014,3,FEET,64.4,DEGREES F,9,MG/L
05/21/2014,6,FEET,63.6,DEGREES F,9.1,MG/L
05/21/2014,9,FEET,62.4,DEGREES F,9.4,MG/L
05/21/2014,12,FEET,61.1,DEGREES F,9.7,MG/L
05/21/2014,15,FEET,58.4,DEGREES F,9.9,MG/L
05/21/2014,21,FEET,54.8,DEGREES F,9.9,MG/L
05/21/2014,24,FEET,54.6,DEGREES F,9.9,MG/L
05/21/2014,27,FEET,53.9,DEGREES F,9.9,MG/L
05/21/2014,30,FEET,53.9,DEGREES F,9.9,MG/L
07/23/2014,3,FEET,71.6,DEGREES F,8.1,MG/L
07/23/2014,6,FEET,71.6,DEGREES F,8,MG/L
07/23/2014,9,FEET,71.4,DEGREES F,8,MG/L
07/23/2014,12,FEET,71.2,DEGREES F,8,MG/L
07/23/2014,15,FEET,71,DEGREES F,8,MG/L
07/23/2014,20,FEET,70.8,DEGREES F,8,MG/L
07/23/2014,30,FEET,70.1,DEGREES F,7.9,MG/L
07/23/2014,33,FEET,69.8,DEGREES F,7.6,MG/L
08/05/2014,3,FEET,74.6,DEGREES F,8.1,MG/L
08/05/2014,6,FEET,73.2,DEGREES F,8.1,MG/L
08/05/2014,9,FEET,72.8,DEGREES F,8.1,MG/L
08/05/2014,12,FEET,72.6,DEGREES F,8.2,MG/L
08/05/2014,15,FEET,71.7,DEGREES F,8.2,MG/L
08/05/2014,20,FEET,70.5,DEGREES F,8,MG/L
08/05/2014,30,FEET,69.2,DEGREES F,7.9,MG/L
08/15/2014,3,FEET,69.8,DEGREES F,8.5,MG/L
08/15/2014,6,FEET,69.6,DEGREES F,8.5,MG/L
08/15/2014,9,FEET,69.4,DEGREES F,8.5,MG/L
08/15/2014,12,FEET,69.2,DEGREES F,8.5,MG/L
08/15/2014,15,FEET,69,DEGREES F,8.4,MG/L
08/15/2014,20,FEET,68.7,DEGREES F,8,MG/L
08/15/2014,30,FEET,68.1,DEGREES F,8,MG/L
08/15/2014,33,FEET,68,DEGREES F,8,MG/L
06/26/2015,3,FEET,73.7,DEGREES F,8.1,MG/L
06/26/2015,6,FEET,72.6,DEGREES F,8.2,MG/L
06/26/2015,9,FEET,71.9,DEGREES F,8.2,MG/L
06/26/2015,12,FEET,71.6,DEGREES F,81.2,MG/L
06/26/2015,15,FEET,70.8,DEGREES F,8.2,MG/L
06/26/2015,20,FEET,69.2,DEGREES F,8.4,MG/L
06/26/2015,30,FEET,66.9,DEGREES F,8.1,MG/L
06/26/2015,36,FEET,66.2,DEGREES F,7.7,MG/L
