Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Pelican Lake,Oneida,1579900,NO,44,,443514,NE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
65256837,05/15/2014,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
65256837,05/21/2014,6.2,NO,1.9,,,51,,,,,CLEAR,YELLOW,2-Very minor aesthetic problems
65256837,07/23/2014,5,NO,1.5,,,54,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
65256837,08/05/2014,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,GREEN,5-Enjoyment substantially impaired (algae)
65256837,06/26/2015,5.25,NO,1.6,,,53,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
65256837,07/25/2015,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
65256837,08/31/2015,4.5,NO,1.4,,,55,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
65256837,08/31/2017,3,NO,0.9,,,61,,,NORMAL,,MURKY,BROWN,4-Would not swim but boating OK (algae)



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
05/15/2014,3,FEET,71.6,DEGREES F,8.1,MG/L
05/15/2014,6,FEET,71.1,DEGREES F,8.2,MG/L
05/15/2014,9,FEET,69.6,DEGREES F,8.2,MG/L
05/15/2014,12,FEET,69.4,DEGREES F,8.4,MG/L
05/15/2014,15,FEET,69.2,DEGREES F,8,MG/L
05/15/2014,20,FEET,69,DEGREES F,7.9,MG/L
05/15/2014,30,FEET,69,DEGREES F,7.5,MG/L
05/15/2014,36,FEET,68.9,DEGREES F,7.5,MG/L
05/21/2014,3,FEET,60.8,DEGREES F,9.4,MG/L
05/21/2014,6,FEET,59.3,DEGREES F,9.4,MG/L
05/21/2014,9,FEET,56.4,DEGREES F,9.9,MG/L
05/21/2014,12,FEET,55.4,DEGREES F,9.9,MG/L
05/21/2014,15,FEET,54.6,DEGREES F,10.1,MG/L
05/21/2014,18,FEET,54.1,DEGREES F,10,MG/L
05/21/2014,21,FEET,53.9,DEGREES F,10.1,MG/L
05/21/2014,24,FEET,53.6,DEGREES F,10.1,MG/L
07/23/2014,3,FEET,71.2,DEGREES F,8.2,MG/L
07/23/2014,6,FEET,71.2,DEGREES F,8.2,MG/L
07/23/2014,9,FEET,71,DEGREES F,8.2,MG/L
07/23/2014,12,FEET,70.8,DEGREES F,8.2,MG/L
07/23/2014,15,FEET,70.8,DEGREES F,8.2,MG/L
07/23/2014,20,FEET,70.7,DEGREES F,8.2,MG/L
07/23/2014,30,FEET,67.2,DEGREES F,8.1,MG/L
