Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
D L Lake,Oneida,979600,NO,44,,444008,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,08/21/1979,,,,6.28,23,,52,49,,,,,
130849514,07/28/2016,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/21/1979,,,,,6.9,MG/L
07/28/2016,2,FEET,75.4,DEGREES F,5.23,MG/L
07/28/2016,4,FEET,75.2,DEGREES F,5.17,MG/L
07/28/2016,6,FEET,74.8,DEGREES F,4.22,MG/L
07/28/2016,8,FEET,63.8,DEGREES F,.16,MG/L
07/28/2016,10,FEET,56.8,DEGREES F,.33,MG/L
07/28/2016,12,FEET,54.6,DEGREES F,.05,MG/L
07/28/2016,14,FEET,49.4,DEGREES F,.04,MG/L



Start Date,Fieldwork Comment
08/21/1979,Migrated from EPA STORET Legacy Database- originally reported by Wisconsin DNR    
07/28/2016,mostly blue sky; few clouds




Start Date,Group Name,Project Name
08/21/1979,Data Collectors,Migrated from STORET Legacy
07/28/2016,Stephanie Boismenue and Abbi Bowman,Lake Water Quality Monitoring - Oneida County Land and Water Dept.
