Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Black Otter Lake (Hortonville),Outagamie,315600,NE,45,,453121,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190858,06/12/1986,4,NO,1.2,,,57,,,,,,BROWN,
8190858,06/19/1986,4.5,NO,1.4,,,55,,,,,,BROWN,
8190858,06/26/1986,4.75,NO,1.4,,,55,,,,,,BROWN,
8190858,07/03/1986,4.75,NO,1.4,,,55,,,,,,BROWN,
8190858,07/17/1986,6.5,NO,2,,,50,,,,,,BROWN,
8190858,07/24/1986,5.75,NO,1.7,,,52,,,,,,BROWN,
8190858,07/31/1986,3.75,NO,1.1,,,58,,,,,,BROWN,
8190858,08/07/1986,4.5,NO,1.4,,,55,,,,,,BROWN,
8190858,08/19/1986,4.25,NO,1.3,,,56,,,,,,BROWN,
8190858,08/25/1986,4.25,NO,1.3,,,56,,,,,,BROWN,
8190858,09/06/1986,4.75,NO,1.4,,,55,,,,,,BROWN,
8190858,09/13/1986,3.5,NO,1.1,,,59,,,,,,BROWN,
8190858,09/24/1986,3.25,NO,1,,,60,,,,,,BROWN,
8190858,10/01/1986,4.25,NO,1.3,,,56,,,,,,BROWN,
8190858,10/19/1986,7,NO,2.1,,,49,,,,,,BROWN,
8190858,11/02/1986,6,NO,1.8,,,51,,,,,,BROWN,
8190858,03/28/1987,7,NO,2.1,,,49,,,,,,BROWN,
8190858,04/08/1987,7,NO,2.1,,,49,,,,,,BROWN,
8190858,05/04/1987,4.75,NO,1.4,,,55,,,,,,BROWN,
8190858,05/28/1987,3.5,NO,1.1,,,59,,,,,,BROWN,
8190858,06/13/1987,2.75,NO,0.8,,,63,,,,,,BROWN,
8190858,07/04/1987,3,NO,0.9,,,61,,,,,,BROWN,
8190858,08/01/1987,3.5,NO,1.1,,,59,,,,,,BROWN,
8190858,08/23/1987,5.5,NO,1.7,,,53,,,,,,BROWN,
8190858,09/05/1987,4.5,NO,1.4,,,55,,,,,,BROWN,
8190858,10/03/1987,5.5,NO,1.7,,,53,,,,,,BROWN,
8190858,01/21/1989,6,NO,1.8,,,51,,,,,,,
8190858,07/01/1989,4.75,NO,1.4,,,55,,,,,,BROWN,5-Enjoyment substantially impaired (algae)
8190858,07/21/1990,2.5,NO,0.8,,80,64,62,,,,,BROWN,4-Would not swim but boating OK (algae)
8190858,08/30/1990,5.25,NO,1.6,,,53,,,LOW,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190858,10/13/1990,4.25,NO,1.3,,22,56,52,,,,,BROWN,4-Would not swim but boating OK (algae)
8190858,07/30/1991,4.5,NO,1.4,,82,55,62,,,,,,
8190858,08/10/1991,4.5,NO,1.4,,74,55,61,,,,,,
8190858,10/13/1991,,,,,39,,57,,,,,,
8190858,07/31/1992,6.5,NO,2,,42,50,57,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190858,08/09/1992,6.5,NO,2,,50,50,58,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190858,08/16/1992,7,NO,2.1,,48,49,58,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190858,08/29/1992,5.5,NO,1.7,,78,53,62,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190858,10/11/1992,4.75,NO,1.4,,65,55,60,,,,,BROWN,2-Very minor aesthetic problems
8190658,07/09/1994,5.5,NO,1.7,,,53,,,,,,BROWN,4-Would not swim but boating OK (algae)
1,07/30/1994,,,,11.1,56,,59,53,,,,,
