Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Balsam Lake,Polk,2620600,NO,49,,493058,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190886,08/17/1987,4.25,NO,1.3,,,56,,,GAUGE,94.6,,GREEN,
8190886,08/29/1987,5.75,NO,1.7,,,52,,,,,,GREEN,
8190886,06/14/1988,8,NO,2.4,,,47,,,,,CLEAR,,2-Very minor aesthetic problems
8190886,06/28/1988,8,NO,2.4,,,47,,,LOW,,CLEAR,,2-Very minor aesthetic problems
8190886,07/15/1988,7.5,NO,2.3,,,48,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190886,08/07/1988,3.5,NO,1.1,,,59,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190886,08/28/1988,3,NO,0.9,,,61,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190886,09/04/1988,3,NO,0.9,,,61,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190053,05/21/1989,10.5,NO,3.2,,,43,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190053,06/11/1989,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,,2-Very minor aesthetic problems
8190053,06/25/1989,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,,3-Enjoyment somewhat impaired (algae)
8190053,07/10/1989,7,NO,2.1,,,49,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190053,07/31/1989,5,NO,1.5,,,54,,,NORMAL,,,GREEN,4-Would not swim but boating OK (algae)
8190053,08/08/1989,3,NO,0.9,,,61,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190053,08/13/1989,4,NO,1.2,,,57,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8190053,09/04/1989,3,NO,0.9,,,61,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190053,09/17/1989,5,NO,1.5,,,54,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190744,05/28/1990,16.5,NO,5,,,37,,,NORMAL,,,GREEN,
8190744,06/10/1990,13.75,NO,4.2,,,39,,,NORMAL,,,GREEN,
8190744,06/17/1990,15.5,NO,4.7,,,38,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190744,06/24/1990,15.5,NO,4.7,,,38,,,NORMAL,,,GREEN,4-Would not swim but boating OK (algae)
8190744,07/04/1990,11.5,NO,3.5,,,42,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190744,07/06/1990,15,NO,4.6,,,38,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190744,07/22/1990,15,NO,4.6,,,38,,,NORMAL,,,GREEN,4-Would not swim but boating OK (algae)
8190744,07/29/1990,11,NO,3.3,,,43,,,NORMAL,,,GREEN,4-Would not swim but boating OK (algae)
8190744,08/11/1990,10.5,NO,3.2,,,43,,,LAKE CONTROLLED BUT DOWN 6",,,GREEN,4-Would not swim but boating OK (algae)
8190744,05/19/1991,16.5,NO,5,,,37,,,NORMAL,,CLEAR,,2-Very minor aesthetic problems
8190744,05/26/1991,16.5,NO,5,,,37,,,NORMAL,,CLEAR,,2-Very minor aesthetic problems
8190744,06/02/1991,16.25,NO,4.9,,,37,,,NORMAL,,,BROWN,4-Would not swim but boating OK (algae)
8190744,06/09/1991,16.5,NO,5,,,37,,,NORMAL,,,BROWN,4-Would not swim but boating OK (algae)
8190744,06/24/1991,10.5,NO,3.2,,,43,,,,,,BROWN,4-Would not swim but boating OK (algae)
8190744,06/30/1991,10,NO,3,,,44,,,NORMAL,,,BROWN,4-Would not swim but boating OK (algae)
8190744,07/07/1991,9.25,NO,2.8,,,45,,,NORMAL,,,BROWN,5-Enjoyment substantially impaired (algae)
8190744,06/07/1992,15,NO,4.6,,,38,,,LOW,,,BROWN,1-Beautiful, could not be nicer
