Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lotus Lake,Polk,2616900,NO,49,,493073,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
27118318,05/07/1996,3.75,,1.1,46.2,92,58,63,64,,,,,
27118318,06/20/1996,2,,0.6,75.4,107,67,64,67,,,,,
27118318,07/17/1996,2,,0.6,100,97,67,64,70,,,,,
27118318,08/28/1996,1.75,,0.5,98.3,93,69,63,69,,,,,
27118318,04/25/1997,5.2,,1.6,18.3,45,53,58,57,,,,,
27118318,06/23/1997,2.9,,0.9,48.7,113,62,65,64,,,,,
27118318,07/16/1997,2.5,,0.8,56,51,64,59,65,,,,,
27118318,08/11/1997,1.9,,0.6,98.9,57,68,59,70,,,,,
46329944,07/01/2011,1,NO,0.3,,,77,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,07/14/2011,1,NO,0.3,,,77,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,08/03/2011,1,NO,0.3,,,77,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,08/19/2011,1,NO,0.3,,,77,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,09/04/2011,1,NO,0.3,,,77,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,03/24/2012,2,YES,0.6,,,67,,,LOW,10,MURKY,BROWN,4-Would not swim but boating OK (algae)
46329944,03/25/2012,2,NO,0.6,,,67,,,LOW,11,MURKY,BROWN,4-Would not swim but boating OK (algae)
46329944,03/28/2012,1.5,NO,0.5,,,71,,,LOW,,MURKY,BROWN,4-Would not swim but boating OK (algae)
46329944,04/01/2012,1.5,NO,0.5,,,71,,,LOW,11,MURKY,BROWN,4-Would not swim but boating OK (algae)
46329944,04/02/2012,1.5,NO,0.5,,,71,,,LOW,10,MURKY,BROWN,4-Would not swim but boating OK (algae)
46329944,04/03/2012,1.5,NO,0.5,,,71,,,LOW,11,MURKY,BROWN,4-Would not swim but boating OK (algae)
46329944,04/04/2012,1.5,NO,0.5,,,71,,,LOW,11,MURKY,BROWN,4-Would not swim but boating OK (algae)
46329944,04/05/2012,1.5,NO,0.5,,,71,,,LOW,11,MURKY,BROWN,4-Would not swim but boating OK (algae)
46329944,04/07/2012,1.5,NO,0.5,,,71,,,LOW,11,MURKY,BROWN,4-Would not swim but boating OK (algae)
46329944,04/08/2012,1.5,NO,0.5,,,71,,,LOW,11,MURKY,BROWN,4-Would not swim but boating OK (algae)
46329944,04/10/2012,1,NO,0.3,,,77,,,LOW,11,MURKY,BROWN,4-Would not swim but boating OK (algae)
46329944,04/12/2012,1,NO,0.3,,,77,,,LOW,11,MURKY,BROWN,4-Would not swim but boating OK (algae)
46329944,04/13/2012,1.25,NO,0.4,,,74,,,LOW,11,MURKY,BROWN,4-Would not swim but boating OK (algae)
46329944,04/15/2012,1,NO,0.3,,,77,,,LOW,11,MURKY,BROWN,4-Would not swim but boating OK (algae)
46329944,04/18/2012,1.25,NO,0.4,,,74,,,LOW,11,MURKY,BROWN,4-Would not swim but boating OK (algae)
46329944,04/22/2012,1.25,NO,0.4,,,74,,,LOW,11,MURKY,BROWN,4-Would not swim but boating OK (algae)
46329944,04/24/2012,1,NO,0.3,,,77,,,LOW,11,MURKY,BROWN,4-Would not swim but boating OK (algae)
46329944,04/26/2012,1,NO,0.3,,,77,,,LOW,11,MURKY,BROWN,4-Would not swim but boating OK (algae)
46329944,04/28/2012,1,NO,0.3,,,77,,,LOW,11,MURKY,BROWN,
46329944,04/30/2012,1,NO,0.3,,,77,,,LOW,11,MURKY,BROWN,
46329944,05/02/2012,1,NO,0.3,,,77,,,LOW,11,MURKY,BROWN,4-Would not swim but boating OK (algae)
46329944,05/04/2012,1,NO,0.3,,,77,,,NORMAL,11,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,05/05/2012,1,NO,0.3,,,77,,,NORMAL,11,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,05/07/2012,1,NO,0.3,,,77,,,NORMAL,11,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,05/09/2012,1,NO,0.3,,,77,,,NORMAL,11,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,05/12/2012,1,NO,0.3,,,77,,,NORMAL,12,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,05/14/2012,1,NO,0.3,,,77,,,NORMAL,12,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,05/16/2012,1,NO,0.3,,,77,,,NORMAL,11,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,05/18/2012,1,NO,0.3,,,77,,,NORMAL,11,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,05/19/2012,1,NO,0.3,,,77,,,NORMAL,11,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,05/21/2012,1,NO,0.3,,,77,,,LOW,10,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,05/23/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,05/25/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,05/29/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,05/31/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,06/03/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,06/06/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,06/09/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,06/20/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,06/22/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,06/25/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,06/30/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,07/03/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,07/07/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,07/13/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,07/19/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,07/21/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,07/24/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,07/28/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,08/01/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,08/04/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,08/06/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,08/10/2012,1,NO,0.3,,,77,,,LOW,9,MURKY,GREEN,4-Would not swim but boating OK (algae)
46329944,10/16/2012,1.5,NO,0.5,,,71,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
