Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Herby Lake,Polk,2468900,NO,49,,493078,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190793,07/05/1991,3.5,NO,1.1,,,59,,,,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8190793,07/14/1991,3.5,NO,1.1,,,59,,,,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8190793,07/21/1991,3,NO,0.9,,,61,,,,,CLEAR,BLUE,4-Would not swim but boating OK (algae)
8190793,08/03/1991,2.5,NO,0.8,,,64,,,,,,GREEN,4-Would not swim but boating OK (algae)
8190793,08/11/1991,3,NO,0.9,,,61,,,,,,GREEN,4-Would not swim but boating OK (algae)
8190793,08/25/1991,4,NO,1.2,,,57,,,,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8190793,09/01/1991,4.5,NO,1.4,,,55,,,,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8189998,05/26/1992,11.75,NO,3.6,,,42,,,HIGH,,CLEAR,,3-Enjoyment somewhat impaired (algae)
8189998,05/31/1992,5.75,NO,1.7,,,52,,,2"LOWER,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189998,06/08/1992,4.75,NO,1.4,,,55,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189998,06/21/1992,3.5,NO,1.1,,,59,,,,,,GREEN,
8189998,07/05/1992,3,NO,0.9,,,61,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189998,07/18/1992,3.5,NO,1.1,,,59,,,NORMAL,,,BROWN,
8189998,07/26/1992,4.75,NO,1.4,,,55,,,DOWN 1",,CLEAR,BLUE,2-Very minor aesthetic problems
8189998,08/02/1992,6,NO,1.8,,,51,,,DOWN 1",,CLEAR,BLUE,2-Very minor aesthetic problems
