Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Poplar Lake,Polk,2491000,NO,49,,493147,NW,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190753,08/01/1989,2.75,NO,0.8,,,63,,,2 FT. LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190753,08/17/1989,2.5,NO,0.8,,,64,,,DOWN MORE,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190753,04/13/1990,9.75,NO,3,,,44,,,DOWN 4',,CLEAR,BLUE,
8190753,04/29/1990,13.5,NO,4.1,,,40,,,4' LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8190753,05/18/1990,11.25,NO,3.4,,,42,,,4' LOW,,,GREEN,2-Very minor aesthetic problems
8190753,06/01/1990,12.5,NO,3.8,,,41,,,3.5' LOW,,,GREEN,2-Very minor aesthetic problems
8190753,06/12/1990,9,NO,2.7,,,45,,,3' LOW,,,GREEN,2-Very minor aesthetic problems
8190753,06/23/1990,11.5,NO,3.5,,,42,,,2.5-3' LOW,,,GREEN,2-Very minor aesthetic problems
8190753,07/08/1990,3.75,NO,1.1,,,58,,,2.5-3' LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190753,07/21/1990,2,NO,0.6,,,67,,,3' LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190753,08/03/1990,2.75,NO,0.8,,,63,,,2.5' LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190753,08/17/1990,3,NO,0.9,,,61,,,3' LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190753,08/24/1990,3.75,NO,1.1,,,58,,,2.5' LOW,,,GREEN,4-Would not swim but boating OK (algae)
8190753,09/13/1990,4,NO,1.2,,,57,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190753,09/27/1990,4,NO,1.2,,,57,,,2.5" LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190753,05/13/1991,10.75,NO,3.3,,,43,,,NORMAL,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8190753,05/22/1991,13.25,NO,4,,,40,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190753,06/07/1991,11.25,NO,3.4,,,42,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190753,06/17/1991,6.25,NO,1.9,,,51,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190753,06/27/1991,5.25,NO,1.6,,,53,,,NORMAL,,,BLUE/GREEN,2-Very minor aesthetic problems
8190753,07/07/1991,3.25,NO,1,,,60,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190753,07/10/1991,3,NO,0.9,,,61,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190753,07/23/1991,3,NO,0.9,,,61,,,HIGH,,,BROWN,2-Very minor aesthetic problems
8190753,08/20/1991,4.5,NO,1.4,,,55,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190753,08/28/1991,5.25,NO,1.6,,,53,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190753,09/04/1991,5,NO,1.5,,,54,,,HIGH 3.5",,,GREEN,3-Enjoyment somewhat impaired (algae)
8190753,05/05/1992,9.75,NO,3,,,44,,,'1FOOT HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190753,05/15/1992,19.25,NO,5.9,,,35,,,'1 FOOT HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190753,06/01/1992,12.5,NO,3.8,,,41,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8190753,06/19/1992,13,NO,4,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190753,07/01/1992,7,NO,2.1,,,49,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190753,07/16/1992,5.5,NO,1.7,,,53,,,6" HIGH,,,GREEN,2-Very minor aesthetic problems
8190753,08/01/1992,3.25,NO,1,,,60,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190753,08/15/1992,3,NO,0.9,,,61,,,DOWN 1-2",,,GREEN,4-Would not swim but boating OK (algae)
8190753,09/02/1992,9.25,NO,2.8,,,45,,,LOW 8-12",,CLEAR,BLUE,1-Beautiful, could not be nicer
8190753,05/20/1993,11,NO,3.3,,,43,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190753,06/01/1993,11,NO,3.3,,,43,,,2" ABOVE NORMAL,,,BLUE,1-Beautiful, could not be nicer
8190753,06/15/1993,9.25,NO,2.8,,,45,,,4" HIGH,,,BLUE,2-Very minor aesthetic problems
8190753,07/06/1993,9.5,NO,2.9,,,45,,,8" HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190753,07/15/1993,6,NO,1.8,,,51,,,10" HIGH,,,,3-Enjoyment somewhat impaired (algae)
8190753,08/05/1993,5,NO,1.5,,,54,,,8" HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190753,08/16/1993,3.5,NO,1.1,,,59,,,,,,GREEN,4-Would not swim but boating OK (algae)
8190753,06/27/1994,9,NO,2.7,,,45,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
82607229,07/19/2016,12.25,NO,3.7,3.37,19.1,41,51,44,,,CLEAR,BLUE,1-Beautiful, could not be nicer
82607229,08/03/2016,12,NO,3.6,1.68,15.7,41,49,39,,,CLEAR,GREEN,1-Beautiful, could not be nicer
82607229,08/29/2016,11,NO,3.3,7.97,22.6,43,52,50,,,CLEAR,GREEN,2-Very minor aesthetic problems
144741763,06/08/2017,16,NO,4.9,,,37,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
49230085,07/17/2017,,,,5.52,17.8,,50,48,,,,,
145711494,07/17/2017,9.25,NO,2.8,,,45,,,,,,,
145711494,08/11/2017,10,NO,3,9.78,17.3,44,50,52,,,,,
144741763,08/19/2017,9,NO,2.7,,,45,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
49230085,09/11/2017,13.25,NO,4,6.23,20.2,40,51,49,,,,,
144741763,09/20/2017,10.75,NO,3.3,,,43,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
07/19/2016,0,METERS,78.2,DEGREES F,9.1,MG/L
07/19/2016,1,METERS,78,DEGREES F,9.13,MG/L
07/19/2016,2,METERS,77.7,DEGREES F,9.14,MG/L
07/19/2016,3,METERS,75.4,DEGREES F,9.79,MG/L
07/19/2016,4,METERS,74.6,DEGREES F,8.97,MG/L
07/19/2016,5,METERS,72.9,DEGREES F,7.88,MG/L
07/19/2016,6,METERS,69.6,DEGREES F,7.81,MG/L
07/19/2016,7,METERS,58.3,DEGREES F,3.55,MG/L
07/19/2016,8,METERS,55,DEGREES F,.4,MG/L
07/19/2016,9,METERS,53.2,DEGREES F,.36,MG/L
07/19/2016,10,METERS,53,DEGREES F,.25,MG/L
08/03/2016,0,METERS,80.3,DEGREES F,8.38,MG/L
08/03/2016,1,METERS,79.7,DEGREES F,8.41,MG/L
08/03/2016,2,METERS,79.1,DEGREES F,8.44,MG/L
08/03/2016,3,METERS,77.6,DEGREES F,7.53,MG/L
08/03/2016,4,METERS,73.3,DEGREES F,7.56,MG/L
08/03/2016,5,METERS,73.3,DEGREES F,7.43,MG/L
08/03/2016,6,METERS,65.7,DEGREES F,6.93,MG/L
08/03/2016,7,METERS,58,DEGREES F,.2,MG/L
08/03/2016,8,METERS,55.6,DEGREES F,.18,MG/L
08/03/2016,9,METERS,53.2,DEGREES F,.1,MG/L
08/03/2016,10,METERS,53,DEGREES F,.12,MG/L
08/03/2016,11,METERS,53,DEGREES F,.16,MG/L
08/29/2016,0,METERS,73.3,DEGREES F,8.84,MG/L
08/29/2016,1,METERS,73.1,DEGREES F,8.41,MG/L
08/29/2016,2,METERS,72.9,DEGREES F,8.39,MG/L
08/29/2016,3,METERS,72.8,DEGREES F,8.34,MG/L
08/29/2016,4,METERS,72.5,DEGREES F,8.21,MG/L
08/29/2016,5,METERS,71.9,DEGREES F,7.64,MG/L
08/29/2016,6,METERS,70.5,DEGREES F,6.35,MG/L
08/29/2016,7,METERS,60,DEGREES F,.24,MG/L
08/29/2016,8,METERS,55.5,DEGREES F,.16,MG/L
08/29/2016,9,METERS,54.3,DEGREES F,.15,MG/L
08/29/2016,10,METERS,54.2,DEGREES F,.22,MG/L
07/17/2017,0,METERS,24.74,DEGREES C,9.27,MG/L
07/17/2017,1,METERS,24.73,DEGREES C,9.22,MG/L
07/17/2017,2,METERS,24.7,DEGREES C,8.59,MG/L
07/17/2017,3,METERS,24.66,DEGREES C,8.53,MG/L
07/17/2017,4,METERS,24.61,DEGREES C,8.34,MG/L
07/17/2017,5,METERS,20.08,DEGREES C,5.63,MG/L
07/17/2017,6,METERS,16.85,DEGREES C,1.17,MG/L
07/17/2017,7,METERS,13.69,DEGREES C,.2,MG/L
07/17/2017,8,METERS,12.18,DEGREES C,0,MG/L
07/17/2017,9,METERS,11.23,DEGREES C,0,MG/L
07/17/2017,10,METERS,10,DEGREES C,0,MG/L
08/11/2017,0,METERS,22.73,DEGREES C,8.95,MG/L
08/11/2017,1,METERS,22.7,DEGREES C,8.42,MG/L
08/11/2017,2,METERS,22.46,DEGREES C,8.22,MG/L
08/11/2017,3,METERS,22.41,DEGREES C,8.66,MG/L
08/11/2017,4,METERS,22.31,DEGREES C,8,MG/L
08/11/2017,5,METERS,22.04,DEGREES C,6.81,MG/L
08/11/2017,6,METERS,19.04,DEGREES C,0,MG/L
08/11/2017,7,METERS,14.73,DEGREES C,0,MG/L
08/11/2017,8,METERS,12.34,DEGREES C,0,MG/L
08/11/2017,9,METERS,11.03,DEGREES C,0,MG/L
08/11/2017,10,METERS,10.34,DEGREES C,0,MG/L
09/11/2017,0,METERS,19.29,DEGREES C,8.99,MG/L
09/11/2017,1,METERS,19.16,DEGREES C,8.89,MG/L
09/11/2017,2,METERS,19.07,DEGREES C,8.62,MG/L
09/11/2017,3,METERS,18.47,DEGREES C,9.13,MG/L
09/11/2017,4,METERS,18.24,DEGREES C,8.9,MG/L
09/11/2017,5,METERS,18.19,DEGREES C,8.29,MG/L
09/11/2017,6,METERS,18.05,DEGREES C,7.82,MG/L
09/11/2017,7,METERS,16.99,DEGREES C,4.64,MG/L
09/11/2017,8,METERS,13.64,DEGREES C,0,MG/L
09/11/2017,9,METERS,11.53,DEGREES C,0,MG/L
09/11/2017,10,METERS,10.33,DEGREES C,0,MG/L



Start Date,Fieldwork Comment
08/01/1989,Sunny- muggy- 83 F- 2 in. chop    
08/17/1989,Sunny- 76 F- south-southeast wind 7 mph- 1.5 in. chop- 1 in. rain Sunday- weeds settling    
04/13/1990,Ice off 4/10.    
05/18/1990,Weeds    
06/01/1990,Partly sunny- 74 F- 4" chop    
06/12/1990,Sunny- partly cloudy- air 79 F- some chop- water slightly murky after 2.5" rain in past 2 days    
06/23/1990,Sunny- 62 F- slight waves- slightly murky    
07/08/1990,Partly cloudy- 73 F- murky and unsettled    
07/21/1990,Cloudy- 74 F- murky    
08/03/1990,Sunny- windy- 70 F- 4-5" chop    
08/17/1990,Cloudy- slight roll- SW wind 15-20 mph- air 86 F    
08/24/1990,Hazy- wind 10 mph- 79 F- wind side of lake like pea soup out to 35'    
09/13/1990,Sunny- wind 5-8 mph- 1" waves- air 64 F    
09/27/1990,Partly cloudy- lt. breeze- 64 F- last reading    
05/13/1991,Partly cloudy- 71 F- humidity: 59%- 2 to 3" waves    
05/22/1991,Cloudy- 80 F- humidity: 69%- 3" waves    
06/07/1991,Sunny- 72 F- humidity: 53%- wind: 10mph- 3 to 4"waves    
06/17/1991,Sunny- 75 F- 60% humidity- south-southwest wind at 10mph- slight roll    
06/27/1991,Partly sunny- 82 F- humidity: 59%- winds S at 15-20mph- 4-5" waves    
07/07/1991,Partly cloudy- 70 F- humidity 67%- slight breeze- 3-4" roll.  Water level: Up 1 foot    
07/10/1991,Sunny- light SW wind- 72 F- humidity: 59%    
07/23/1991,Sunny- 70 F- humidity: 58%- wind at 10mph- 4" waves.  Water level: up 14"    
08/20/1991,Partly cloudy- humidity: 59%- SE wind at 15 mph- 5-6" roll.  Water level: Up 8"    
08/28/1991,Wind south-southwest at 15 mph- 3-4" roll- 84 F- humidity: 69%. Water level: up 6"    
09/04/1991,Light W wind- humidity 57%- 70 F.    
05/05/1992,Sunny- 50 degrees- light breeze.    
05/15/1992,Sunny and 70.    
06/01/1992,Air temp: 69- partly cloudy.  Water level: Up 8"    
06/19/1992,Sunny- 3.25" of rain last week.  Water level: up 10"    
07/01/1992,Cloudy and hazy.    
07/16/1992,Sunny- 73 degrees.    
08/01/1992,Cloudy- pea green.  T = 68- W = SW 5-10 mph.    
08/15/1992,No wind- sunny- scum along the shoreline.    
