Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Magnor Lake,Polk,2624600,NO,49,,493166,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189776,08/19/2000,3.25,NO,1,,,60,,,HIGH,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189156,08/29/2000,3.25,NO,1,,,60,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8189776,09/08/2000,3.25,NO,1,,,60,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8189776,09/17/2000,2.25,NO,0.7,,,65,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8189776,09/25/2000,3,NO,0.9,,,61,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189776,10/04/2000,3.25,NO,1,,,60,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189837,10/11/2000,4,NO,1.2,,,57,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189776,10/28/2000,3.5,NO,1.1,,,59,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189776,05/01/2001,3,NO,0.9,,,61,,,HIGH,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
7000024,05/10/2001,,,,56,90,,63,65,,,,,
8189156,05/10/2001,,,,,110,,65,,,,,,
8189776,05/15/2001,3.5,NO,1.1,,,59,,,HIGH,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8189776,06/04/2001,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8188530,06/09/2001,,,,17,80,,62,56,,,,,
8189776,06/12/2001,4,NO,1.2,,,57,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189776,06/20/2001,3,NO,0.9,,,61,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189776,06/27/2001,2.25,NO,0.7,,,65,,,NORMAL,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8189776,07/04/2001,2.75,NO,0.8,,,63,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189776,07/12/2001,1.75,NO,0.5,,,69,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189156,07/14/2001,,,,141,173,,68,72,,,,,
8189776,07/26/2001,2,NO,0.6,,,67,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189776,08/04/2001,2.5,NO,0.8,,,64,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
7000024,08/11/2001,,,,74,,,,67,,,,,
8189776,08/11/2001,2.5,NO,0.8,,,64,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189776,08/25/2001,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
7000024,09/08/2001,,,,85,,,,68,,,,,
8189776,09/08/2001,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8189776,09/20/2001,4,NO,1.2,,,57,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189776,09/30/2001,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189776,10/06/2001,3.75,NO,1.1,,,58,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
7000024,10/17/2001,,,,44,,,,63,,,,,
8189776,10/17/2001,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
8189776,10/23/2001,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
7000024,02/08/2002,,,,21,,,,58,,,,,
7000024,04/19/2002,,,,30,,,,61,,,,,
8189190,04/19/2002,4,NO,1.2,,,57,,,HIGH,,CLEAR,BROWN,5-Enjoyment substantially impaired (algae)
8189190,05/05/2002,4,NO,1.2,,,57,,,HIGH,,CLEAR,BROWN,5-Enjoyment substantially impaired (algae)
8189190,05/14/2002,4.5,NO,1.4,,,55,,,HIGH,,CLEAR,BROWN,5-Enjoyment substantially impaired (algae)
8189190,05/19/2002,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,5-Enjoyment substantially impaired (algae)
8189190,05/27/2002,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,5-Enjoyment substantially impaired (algae)
8189776,06/05/2002,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8189776,06/15/2002,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8189776,06/20/2002,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8189776,07/01/2002,4,NO,1.2,,,57,,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189776,07/12/2002,3,NO,0.9,,,61,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189776,07/15/2002,2,NO,0.6,,,67,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189776,08/02/2002,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189776,08/06/2002,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189776,08/15/2002,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189776,08/19/2002,2.5,NO,0.8,,,64,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189776,08/27/2002,3,NO,0.9,,,61,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189776,08/29/2002,3,NO,0.9,,,61,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8189776,09/03/2002,3,NO,0.9,,,61,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8189776,09/11/2002,2.25,NO,0.7,,,65,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8189776,09/17/2002,2.5,NO,0.8,,,64,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8189776,09/30/2002,2.5,NO,0.8,,,64,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8189776,10/22/2002,4.5,NO,1.4,,,55,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189156,04/27/2003,4,NO,1.2,,,57,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189776,04/29/2003,5.5,NO,1.7,,141,53,66,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8189156,05/01/2003,4,NO,1.2,,,57,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189156,05/11/2003,5,NO,1.5,,,54,,,HIGH,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8189156,05/25/2003,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8189156,06/06/2003,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
8189190,06/16/2003,4,NO,1.2,27.9,,57,,60,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8189190,06/18/2003,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
8189190,07/04/2003,2.5,NO,0.8,,,64,,,NORMAL,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
1,07/15/2003,,,,92.2,,,,69,,,,,
8189776,07/15/2003,2.5,NO,0.8,,,64,,,,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8189776,08/05/2003,3,NO,0.9,,,61,,,NORMAL,,CLEAR,GREEN,4-Would not swim but boating OK (algae)
8189776,08/25/2003,1.5,NO,0.5,122,166,71,68,71,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
8189190,09/03/2003,1.5,NO,0.5,,,71,,,LOW,,CLEAR,GREEN,4-Would not swim but boating OK (algae)
8189776,09/22/2003,2.5,NO,0.8,,,64,,,LOW,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
8189776,10/09/2003,2,NO,0.6,,,67,,,LOW,,CLEAR,BROWN,4-Would not swim but boating OK (algae)
8189776,10/20/2003,2.5,NO,0.8,66.5,,64,,67,LOW,,CLEAR,GREEN,4-Would not swim but boating OK (algae)
8189156,05/05/2004,4,NO,1.2,,142,57,67,,LOW,,CLEAR,BROWN,
8189190,05/20/2004,5,NO,1.5,,,54,,,LOW,,CLEAR,BROWN,
8189190,06/02/2004,5,NO,1.5,17.3,144,54,67,56,HIGH,,CLEAR,BROWN,
8189190,06/30/2004,2.25,NO,0.7,,,65,,,LOW,,MURKY,GREEN,
8189190,07/08/2004,2.25,NO,0.7,,,65,,,LOW,,MURKY,GREEN,
8189156,07/20/2004,2,NO,0.6,41.4,206,67,69,63,LOW,,MURKY,GREEN,
8189190,08/13/2004,2.25,NO,0.7,,,65,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8189156,08/23/2004,2,NO,0.6,41.5,269,67,71,63,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189190,09/13/2004,2,NO,0.6,,,67,,,LOW,,MURKY,BROWN,
8189190,09/19/2004,2,NO,0.6,,,67,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189190,09/28/2004,2.25,NO,0.7,,,65,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189190,10/04/2004,3.5,NO,1.1,,,59,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
