Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Pickerel Lake,Portage,195900,WC,50,,503120,CE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
46335680,07/12/2011,6.25,NO,1.9,,,51,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,07/18/2011,8,NO,2.4,,,47,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,07/29/2011,8,NO,2.4,,,47,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
46335680,08/09/2011,7,NO,2.1,,,49,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,08/15/2011,8,NO,2.4,,,47,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,08/26/2011,7.5,NO,2.3,,,48,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,09/02/2011,8,NO,2.4,,,47,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,09/09/2011,7,NO,2.1,,,49,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,09/19/2011,6.5,NO,2,,,50,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,09/25/2011,8.5,NO,2.6,,,46,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,10/07/2011,7,NO,2.1,,,49,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,10/16/2011,8,NO,2.4,,,47,,,LOW,,MURKY,GREEN,4-Would not swim but boating OK (algae)
46335680,10/23/2011,9,NO,2.7,,,45,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,11/13/2011,8.5,NO,2.6,,,46,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,11/20/2011,9,NO,2.7,,,45,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
46335680,06/07/2012,,,,,26,,53,,,,,,
1,06/28/2012,,,,5.94,21,,52,48,,,,,
46335680,07/27/2012,,,,8.01,21,,52,51,,,,,
46335680,08/14/2012,,,,10.6,25,,53,53,,,,,
46335680,08/26/2012,,,,5.04,29,,54,47,,,,,
1,06/17/2013,,,,7.88,32.2,,55,50,,,,,
46335680,06/17/2013,5.5,NO,1.7,,,53,,,NORMAL,,,,
46335680,07/13/2013,7,NO,2.1,7.28,17,49,50,50,NORMAL,,CLEAR,,
46335680,08/18/2013,7,NO,2.1,6.55,19.2,49,51,49,NORMAL,,CLEAR,,
46335680,09/22/2013,6,NO,1.8,,,51,,,NORMAL,,CLEAR,,2-Very minor aesthetic problems
46335680,10/19/2013,15,NO,4.6,,,38,,,NORMAL,,CLEAR,,
46335680,05/13/2014,4,NO,1.2,,30.9,57,55,,,,,,
46335680,06/23/2014,4,NO,1.2,14.9,38.6,57,56,55,NORMAL,,,,
46335680,07/21/2014,4.5,NO,1.4,6.96,24,55,53,49,,,,,
46335680,08/24/2014,4,NO,1.2,12.8,28.2,57,54,54,,,,,
46335680,09/27/2014,4.5,NO,1.4,,,55,,,,,,,
46335680,05/28/2015,5,NO,1.5,,,54,,,,,,,
46335680,06/23/2015,3.5,NO,1.1,,,59,,,,,,,
46335680,07/27/2015,3.5, ,1.1,,,59,,,,,,,
46335680,08/30/2015,5,NO,1.5,,,54,,,,,,,
46335680,09/23/2015,4,NO,1.2,,,57,,,,,,,
46335680,06/17/2016,4.5,NO,1.4,,,55,,,,,,,
46335680,07/13/2016,5,NO,1.5,,,54,,,,,,,
46335680,08/17/2016,5,NO,1.5,,,54,,,,,,,
46335680,09/14/2016,4.5,NO,1.4,,,55,,,,,,,
46335680,06/21/2017,4,NO,1.2,,,57,,,,,,,
46335680,07/24/2017,3.5,NO,1.1,,,59,,,,,,,
46335680,08/31/2017,4.5,NO,1.4,,,55,,,,,,,
46335680,09/15/2017,3,NO,0.9,,,61,,,,,,,
46335680,10/02/2017,3,NO,0.9,,,61,,,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
06/17/2013,1,FEET,72,DEGREES F,,
06/17/2013,2,FEET,73,DEGREES F,,
06/17/2013,3,FEET,73,DEGREES F,,
06/17/2013,5,FEET,73,DEGREES F,,
06/17/2013,7,FEET,72,DEGREES F,,
06/17/2013,10,FEET,72,DEGREES F,,
07/13/2013,1,FEET,78.8,DEGREES F,,
07/13/2013,2,FEET,79.3,DEGREES F,,
07/13/2013,4,FEET,79.1,DEGREES F,,
07/13/2013,6,FEET,79.1,DEGREES F,,
07/13/2013,8,FEET,78.8,DEGREES F,,
07/13/2013,10,FEET,78,DEGREES F,,
07/13/2013,12,FEET,78,DEGREES F,,
08/18/2013,1,FEET,77.7,DEGREES F,,
08/18/2013,2,FEET,77.7,DEGREES F,,
08/18/2013,4,FEET,76.2,DEGREES F,,
08/18/2013,6,FEET,74.8,DEGREES F,,
08/18/2013,8,FEET,73.7,DEGREES F,,
08/18/2013,10,FEET,73.5,DEGREES F,,
08/18/2013,12,FEET,73.5,DEGREES F,,
09/22/2013,1,FEET,66.2,DEGREES F,,
09/22/2013,2,FEET,66.5,DEGREES F,,
09/22/2013,4,FEET,66.2,DEGREES F,,
09/22/2013,6,FEET,65.6,DEGREES F,,
09/22/2013,8,FEET,65.4,DEGREES F,,
09/22/2013,10,FEET,65.4,DEGREES F,,
09/22/2013,12,FEET,65.4,DEGREES F,,
10/19/2013,1,FEET,53.9,DEGREES F,,
10/19/2013,2,FEET,54.1,DEGREES F,,
10/19/2013,4,FEET,53.7,DEGREES F,,
10/19/2013,6,FEET,53.2,DEGREES F,,
10/19/2013,8,FEET,53,DEGREES F,,
10/19/2013,10,FEET,52.8,DEGREES F,,
10/19/2013,12,FEET,52.8,DEGREES F,,
10/19/2013,14,FEET,52.8,DEGREES F,,
05/13/2014,1,FEET,60.8,DEGREES F,,
05/13/2014,2,FEET,61.1,DEGREES F,,
05/13/2014,4,FEET,61.5,DEGREES F,,
05/13/2014,6,FEET,61.5,DEGREES F,,
05/13/2014,8,FEET,61.5,DEGREES F,,
05/13/2014,10,FEET,61.7,DEGREES F,,
06/23/2014,1,FEET,78.6,DEGREES F,,
06/23/2014,2,FEET,78.6,DEGREES F,,
06/23/2014,4,FEET,76,DEGREES F,,
06/23/2014,6,FEET,74.4,DEGREES F,,
06/23/2014,8,FEET,73.7,DEGREES F,,
06/23/2014,10,FEET,73.2,DEGREES F,,
06/23/2014,12,FEET,72.8,DEGREES F,,
07/21/2014,1,FEET,81.6,DEGREES F,,
07/21/2014,2,FEET,80.6,DEGREES F,,
07/21/2014,4,FEET,78,DEGREES F,,
07/21/2014,6,FEET,76.2,DEGREES F,,
07/21/2014,8,FEET,75.7,DEGREES F,,
07/21/2014,10,FEET,75,DEGREES F,,
08/24/2014,1,FEET,76.6,DEGREES F,,
08/24/2014,2,FEET,76.2,DEGREES F,,
08/24/2014,4,FEET,75.5,DEGREES F,,
08/24/2014,6,FEET,75.2,DEGREES F,,
08/24/2014,8,FEET,74.6,DEGREES F,,
08/24/2014,10,FEET,74.3,DEGREES F,,
09/27/2014,1,FEET,67.1,DEGREES F,,
09/27/2014,2,FEET,66.3,DEGREES F,,
09/27/2014,4,FEET,65.8,DEGREES F,,
09/27/2014,6,FEET,65.4,DEGREES F,,
09/27/2014,8,FEET,64.5,DEGREES F,,
09/27/2014,10,FEET,64.4,DEGREES F,,
05/28/2015,1,FEET,69.2,DEGREES F,,
05/28/2015,2,FEET,68.7,DEGREES F,,
05/28/2015,4,FEET,68.3,DEGREES F,,
05/28/2015,6,FEET,68,DEGREES F,,
05/28/2015,8,FEET,67.2,DEGREES F,,
05/28/2015,10,FEET,66,DEGREES F,,
06/23/2015,1,FEET,76.6,DEGREES F,,
06/23/2015,2,FEET,77.3,DEGREES F,,
06/23/2015,4,FEET,77,DEGREES F,,
06/23/2015,6,FEET,76.2,DEGREES F,,
06/23/2015,8,FEET,75.3,DEGREES F,,
06/23/2015,10,FEET,75.3,DEGREES F,,
07/27/2015,1,FEET,82.9,DEGREES F,,
07/27/2015,2,FEET,82.4,DEGREES F,,
07/27/2015,4,FEET,81.5,DEGREES F,,
07/27/2015,6,FEET,80.9,DEGREES F,,
07/27/2015,8,FEET,80.4,DEGREES F,,
07/27/2015,10,FEET,79.8,DEGREES F,,
08/30/2015,1,FEET,72.3,DEGREES F,,
08/30/2015,2,FEET,70.5,DEGREES F,,
08/30/2015,4,FEET,68.3,DEGREES F,,
