Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Rinehart Lake,Portage,278600,WC,50,,503134,CE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190740,04/25/1993,13.5,NO,4.1,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190740,05/09/1993,11.75,NO,3.6,,,42,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190740,05/22/1993,19.25,NO,5.9,,,35,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189995,06/02/1993,13.5,NO,4.1,,,40,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189995,06/06/1993,12,NO,3.6,,,41,,,HIGH,,,GREEN/BROWN,3-Enjoyment somewhat impaired (algae)
8190740,06/13/1993,13.5,NO,4.1,,,40,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
8189995,06/17/1993,12.5,NO,3.8,,,41,,,HIGH,,,GREEN/BROWN,3-Enjoyment somewhat impaired (algae)
8189995,06/20/1993,14,NO,4.3,,,39,,,HIGH,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189995,06/30/1993,11.5,NO,3.5,,,42,,,HIGH,,,GREEN/BROWN,3-Enjoyment somewhat impaired (algae)
8189995,07/07/1993,15,NO,4.6,,,38,,,HIGH,,,GREEN/BROWN,3-Enjoyment somewhat impaired (algae)
1,07/11/1993,,,,2.84,,,,43,,,,,
8190740,07/11/1993,14,NO,4.3,,9,39,45,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189995,07/14/1993,13,NO,4,,,40,,,HIGH,,,GREEN/BROWN,3-Enjoyment somewhat impaired (algae)
8189995,07/23/1993,12,NO,3.6,,,41,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189995,08/01/1993,10.5,NO,3.2,,,43,,,NORMAL,,,GREEN/BROWN,3-Enjoyment somewhat impaired (algae)
8189995,08/12/1993,12,NO,3.6,,,41,,,NORMAL,,,GREEN/BROWN,3-Enjoyment somewhat impaired (algae)
8189995,08/21/1993,11,NO,3.3,,,43,,,NORMAL,,,GREEN/BROWN,3-Enjoyment somewhat impaired (algae)
1,08/24/1993,,,,,12,,47,,,,,,
8190740,08/24/1993,14,NO,4.3,2.35,,39,,41,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
1,11/07/1993,,,,,13,,48,,,,,,
8190740,11/07/1993,16,NO,4.9,1.21,,37,,36,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems
1,04/10/1994,,,,,10,,46,,,,,,
8190740,04/10/1994,14,NO,4.3,2.66,,39,,42,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189995,05/19/1994,13,NO,4,,,40,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8189995,05/27/1994,15,NO,4.6,,,38,,,DOWN, BELOW NORMAL,,,GREEN,2-Very minor aesthetic problems
8189995,06/03/1994,15.5,NO,4.7,,,38,,,DOWN, BELOW NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189995,06/14/1994,13,NO,4,,,40,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189995,06/22/1994,11.5,NO,3.5,,,42,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189995,06/29/1994,12,NO,3.6,,,41,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189995,07/04/1994,12.5,NO,3.8,,,41,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
1,07/10/1994,,,,2.7,11,,47,42,,,,,
8190740,07/10/1994,15,NO,4.6,,,38,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8189995,07/11/1994,12,NO,3.6,,,41,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189995,07/16/1994,11.25,NO,3.4,,,42,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189995,07/23/1994,15,NO,4.6,,,38,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189995,07/29/1994,17,NO,5.2,,,36,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189995,08/09/1994,15,NO,4.6,,,38,,,LOW,,,GREEN BROWN,3-Enjoyment somewhat impaired (algae)
8189995,08/17/1994,13.5,NO,4.1,,,40,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190740,08/17/1994,20.5,NO,6.2,1.31,8,34,44,37,NORMAL,,,BROWN,3-Enjoyment somewhat impaired (algae)
8189995,08/24/1994,13,NO,4,,,40,,,LOW,,,GREEN BROWN,4-Would not swim but boating OK (algae)
8189995,08/31/1994,14.5,NO,4.4,,,39,,,LOW,,,GREEN BROWN,4-Would not swim but boating OK (algae)
8189995,09/04/1994,15.5,NO,4.7,,,38,,,LOW,,,GREEN,4-Would not swim but boating OK (algae)
8189995,09/10/1994,16.5,NO,5,,,37,,,LOW,,,GREEN BROWN,4-Would not swim but boating OK (algae)
8190740,09/10/1994,17.5,NO,5.3,0.573,18,36,51,31,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190740,04/08/1995,18.5,NO,5.6,2.15,,35,,41,,,CLEAR,BLUE,2-Very minor aesthetic problems
8189995,05/27/1995,18.5,NO,5.6,,,35,,,BELOW NORMAL-CALM,,,GREEN,5-Enjoyment substantially impaired (algae)
8189995,06/02/1995,20,NO,6.1,,,34,,,LOW,,,GREEN BROWN,4-Would not swim but boating OK (algae)
8189995,06/09/1995,16,NO,4.9,,,37,,,LOW,,,GREEN BROWN,4-Would not swim but boating OK (algae)
8189995,06/16/1995,15,NO,4.6,,,38,,,LOW,,,GREEN BROWN,4-Would not swim but boating OK (algae)
8190740,06/18/1995,19.5,NO,5.9,1.01,12,34,47,35,NORMAL,,,GREEN,1-Beautiful, could not be nicer
8189995,06/23/1995,18,NO,5.5,,,35,,,LOW,,,GREEN BROWN,4-Would not swim but boating OK (algae)
8189995,06/28/1995,19.5,NO,5.9,,,34,,,LOW,,,GREEN BROWN,4-Would not swim but boating OK (algae)
8189995,07/04/1995,18,NO,5.5,,,35,,,LOW,,,GREEN BROWN,4-Would not swim but boating OK (algae)
8189995,07/11/1995,18.5,NO,5.6,,,35,,,LOW,,,GREEN BROWN,4-Would not swim but boating OK (algae)
8189995,07/18/1995,17,NO,5.2,,,36,,,LOW,,,GREEN BROWN,4-Would not swim but boating OK (algae)
1,07/23/1995,,,,0.14,10,,46,20,,,,,
8189995,07/23/1995,15.5,NO,4.7,,,38,,,LOW,,,GREEN BROWN,4-Would not swim but boating OK (algae)
8189995,07/30/1995,16,NO,4.9,,,37,,,LOW,,,GREEN,4-Would not swim but boating OK (algae)
8189995,08/05/1995,14.5,NO,4.4,,,39,,,LOW,,,GREEN,4-Would not swim but boating OK (algae)
8189995,08/13/1995,16.5,NO,5,,,37,,,HIGH,,,GREEN BROWN,4-Would not swim but boating OK (algae)
8189995,08/19/1995,14.5,NO,4.4,,,39,,,ABOVE NORMAL-DUE TO HEAVY RAINS,,,GREEN BROWN,4-Would not swim but boating OK (algae)
8189995,08/26/1995,16,NO,4.9,,,37,,,NORMAL,,,GREEN BROWN,4-Would not swim but boating OK (algae)
1,05/12/1996,,,,6.66,20,,51,49,,,,,
8190740,05/12/1996,10,NO,3,,,44,,,HIGH,,,GREEN,3-Enjoyment somewhat impaired (algae)
8189995,06/02/1996,20,NO,6.1,,,34,,,HIGH,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
1,06/09/1996,,,,0.47,13,,48,29,,,,,
8190740,06/09/1996,20,YES,6.1,,,34,,,HIGH,,CLEAR,,2-Very minor aesthetic problems
8189995,06/11/1996,22,NO,6.7,,,33,,,NORMAL,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8189995,06/20/1996,16.5,NO,5,,,37,,,HIGH,,,,3-Enjoyment somewhat impaired (algae)
8189995,06/27/1996,18,NO,5.5,,,35,,,NORMAL,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8189995,07/02/1996,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8189995,07/09/1996,14,NO,4.3,,,39,,,LOW,,,GREEN,3-Enjoyment somewhat impaired (algae)
