Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Bohner Lake,Racine,750800,SE,52,,523132,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190835,06/17/1989,7.75,NO,2.4,,,48,,,-4 IN.,,CLEAR,GREEN,2-Very minor aesthetic problems
8190835,06/22/1989,6.25,NO,1.9,,,51,,,-1 IN. MORE,,,GREEN,2-Very minor aesthetic problems
8190835,06/30/1989,8.5,NO,2.6,,,46,,,-.5 IN. MORE,,CLEAR,GREEN,2-Very minor aesthetic problems
8190835,07/12/1989,9,NO,2.7,,,45,,,-10 IN.,,CLEAR,GREEN,2-Very minor aesthetic problems
8190835,07/21/1989,10,NO,3,,,44,,,-8-10 IN.,,CLEAR,GREEN,2-Very minor aesthetic problems
8190835,08/04/1989,10,NO,3,,,44,,,+4-5 IN.,,,GREEN,2-Very minor aesthetic problems
8190835,08/14/1989,8.25,NO,2.5,,,47,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190835,08/21/1989,7,NO,2.1,,,49,,,DOWN 2",,,GREEN,3-Enjoyment somewhat impaired (algae)
8190835,08/29/1989,10,NO,3,,,44,,,-1 IN.,,,GREEN,2-Very minor aesthetic problems
8190835,09/08/1989,8.75,NO,2.7,,,46,,,NORMAL,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190835,09/19/1989,8.5,NO,2.6,,,46,,,NORMAL,,,BROWN,2-Very minor aesthetic problems
8190835,10/15/1989,9.25,NO,2.8,,,45,,,-2 IN.,,,GREEN,2-Very minor aesthetic problems
8190835,05/31/1990,9.25,NO,2.8,,,45,,,HIGH,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190835,06/11/1990,8,NO,2.4,,,47,,,NORMAL,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190835,06/24/1990,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190835,07/25/1990,7.5,NO,2.3,,,48,,,NORMAL,,,BLUE,2-Very minor aesthetic problems
8190835,08/01/1990,7.25,NO,2.2,,,49,,,NORMAL,,,BLUE,2-Very minor aesthetic problems
8190835,08/08/1990,8,NO,2.4,,,47,,,DOWN 2",,,BLUE,2-Very minor aesthetic problems
8190835,08/24/1990,7.25,NO,2.2,,,49,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190835,08/28/1990,6.75,NO,2.1,,,50,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190835,09/06/1990,6.25,NO,1.9,,,51,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190835,09/12/1990,6.5,NO,2,,,50,,,NORMAL,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190835,09/20/1990,6,NO,1.8,,,51,,,DOWN 2",,,GREEN,3-Enjoyment somewhat impaired (algae)
8190835,05/14/1991,9.25,NO,2.8,,,45,,,HIGH,,,BLUE,3-Enjoyment somewhat impaired (algae)
8190835,05/29/1991,8,NO,2.4,,,47,,,HIGH,,,BLUE,3-Enjoyment somewhat impaired (algae)
8190835,06/16/1991,6,NO,1.8,,,51,,,NORMAL,,,BLUE,3-Enjoyment somewhat impaired (algae)
8190835,06/19/1991,6,NO,1.8,,,51,,,NORMAL,,,BROWN,4-Would not swim but boating OK (algae)
8190835,07/18/1991,4.75,NO,1.4,,,55,,,DOWN 2",,,GREEN,3-Enjoyment somewhat impaired (algae)
8190835,08/21/1991,5.75,NO,1.7,,,52,,,DOWN 4",,,GREEN,2-Very minor aesthetic problems
8190283,08/30/1991,5.75,NO,1.7,,,52,,,DOWN 4.5",,,GREEN,
8190283,09/09/1991,6.25,NO,1.9,,,51,,,DOWN 5",,,GREEN,3-Enjoyment somewhat impaired (algae)
8190283,09/20/1991,6.5,NO,2,,,50,,,LOW 4",,,GREEN,2-Very minor aesthetic problems
