Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lake Redstone,Sauk,1280400,SC,57,,573131,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
7000028,05/23/2000,15.7,,4.8,,,37,,,,,,,
7000028,06/06/2000,9,,2.74,,47,45,58,,,,,,
7000028,06/22/2000,3.9,,1.2,,47,57,58,,,,,,
7000028,07/06/2000,3,,0.9,,56,62,59,,,,,,
1,07/19/2000,2.3,,0.7,,60,65,60,,,,,,
1,08/02/2000,3.3,,1,,88,60,63,,,,,,
1,05/10/2005,10,NO,3,,23,44,52,,,,,,
1,06/13/2005,,,,23.5,26,,53,59,,,,,
1,07/11/2005,2.83,,0.9,49.8,44,62,57,64,,,,,
18138299,02/14/2006,,,,,,,,,,,,,
7000129,05/02/2006,,,,,34,,55,,,,,,
18138299,05/02/2006,6.8,NO,2.1,,,50,,,,,,,
18138299,06/12/2006,6.6,NO,2,,,50,,,,,,,
18138299,07/11/2006,3.3,NO,1,,,60,,,,,,,
7000129,08/09/2006,,,,,59,,60,,,,,,
18138299,08/09/2006,2.6,NO,0.8,,,63,,,,,,,
7000129,08/23/2006,,,,90.2,,,,69,,,,,
7000129,09/13/2006,,,,40.7,81,,62,63,,,,,
18138299,09/13/2006,2.5,NO,0.8,,,64,,,,,,,
7000129,10/24/2006,,,,10.3,49,,58,52,,,,,
18138299,10/24/2006,4,NO,1.2,,,57,,,,,,,
18138299,01/15/2007,,,,,,,,,,,,,
18138299,05/10/2007,8.8,NO,2.7,,,46,,,,,,,
1,05/21/2007,,,,,75,,62,,,,,,
18138299,06/14/2007,1.6,NO,0.5,,,70,,,,,,,
18138299,07/11/2007,2.8,NO,0.9,40.7,78,62,62,63,,,,,
1,08/13/2007,,,,60.8,101,,64,66,,,,,
18138299,08/14/2007,1.5,NO,0.5,,,71,,,,,,,
18138299,09/12/2007,1.8,NO,0.5,22.3,137,69,66,58,,,,,
18138299,10/16/2007,8,NO,2.4,,139,47,66,,,,,,
1,10/17/2007,,,,2.83,,,,43,,,,,
18138299,01/12/2008,,,,,,,,,,,,,
18138299,02/23/2008,,,,,,,,,,,,,
18138299,05/13/2008,5,NO,1.5,,,54,,,,,,,
18138299,07/14/2008,3.5,NO,1.1,10,,59,,52,,,,,
18138299,08/25/2008,2.2,NO,0.7,97.1,,66,,69,,,,,
1,09/30/2008,,,,27.8,,,,60,,,,,
18138299,10/06/2008,4,NO,1.2,,,57,,,,,,,
18138299,10/22/2008,3.2,NO,1,40.7,,60,,63,,,,,
18138299,01/08/2009,,,,,,,,,,,,,
18138299,02/23/2009,,,,,,,,,,,,,
18138299,05/31/2009,5.3,NO,1.6,,56,53,59,,,,,,
18138299,08/18/2009,3.7,NO,1.1,27.1,58,58,60,60,,,,,
1,10/07/2009,,,,26.7,66,,61,60,,,,,
18138299,10/19/2009,3.2,NO,1,,,60,,,,,,,
18138299,02/10/2010,,,,,,,,,,,,,
18138299,03/08/2010,,,,,,,,,,,,,
18138299,04/19/2010,4.2,NO,1.3,,40,56,57,,,,,,
1,05/17/2010,,,,,52,,59,,,,,,
18138299,05/17/2010,3.4,NO,1,,,59,,,,,,,
18138299,06/16/2010,3.1,NO,0.9,,55,61,59,,,,,,
1,07/14/2010,,,,,40,,57,,,,,,
18138299,07/14/2010,3.3,NO,1,27.1,,60,,60,,,,,
1,08/19/2010,,,,,89,,63,,,,,,
18138299,08/19/2010,2.6,NO,0.8,77.7,,63,,68,,,,,
18138299,09/22/2010,2.5,NO,0.8,,,64,,,,,,,
1,09/23/2010,,,,53.5,61,,60,65,,,,,
18138299,01/26/2011,,,,,,,,,,,,,
18138299,06/07/2011,3.8,NO,1.2,,41,58,57,,,,,,
1,07/14/2011,,,,33.8,53,,59,61,,,,,
18138299,07/14/2011,3.5,NO,1.1,,,59,,,,,,,
1,08/16/2011,,,,,38,,56,,,,,,
18138299,08/16/2011,3.5,NO,1.1,25.5,,59,,59,,,,,
1,09/19/2011,,,,54.5,67,,61,65,,,,,
18138299,09/28/2011,2.8,NO,0.9,,,62,,,,,,,
18138299,04/04/2012,,,,,39,,57,,,,,,
18138299,05/12/2012,3.2,NO,1,,,60,,,,,,,
18138299,05/15/2012,3.2,NO,1,,,60,,,,,,,
1,05/16/2012,,,,,59,,60,,,,,,
18138299,06/13/2012,3.8,NO,1.2,,59,58,60,,,,,,
1,07/23/2012,,,,63.5,74,,61,66,,,,,
18138299,07/23/2012,2.5,NO,0.8,,,64,,,,,,,
18138299,08/21/2012,2.4,NO,0.7,,,65,,,,,,,
1,08/22/2012,,,,42.9,61,,60,63,,,,,
1,10/02/2012,,,,,65,,60,,,,,,
18138299,10/02/2012,2.9,NO,0.9,44.2,,62,,63,,,,,
18138299,01/26/2013,,,,,,,,,,,,,
18138299,05/14/2013,2.4,NO,0.7,,43.5,65,57,,,,,,
1,06/13/2013,,,,15.4,,,,55,,,,,
18138299,06/13/2013,3.7,NO,1.1,,236,58,70,,,,,,
1,07/17/2013,,,,,77,,62,,,,,,
18138299,07/17/2013,2,NO,0.6,62.9,,67,,66,,,,,
1,08/22/2013,,,,,68.8,,61,,,,,,
18138299,08/22/2013,2.6,NO,0.8,48.8,,63,,64,,,,,
1,09/18/2013,,,,,70.1,,61,,,,,,
18138299,09/18/2013,2.6,NO,0.8,69.8,,63,,67,,,,,
18138299,05/27/2014,2.3,NO,0.7,,,65,,,,,,,
107573897,05/29/2014,,,,,29.8,,54,,,,,,
18138299,07/21/2014,3.3,NO,1,,,60,,,,,,,
1,07/23/2014,,,,38.2,,,,62,,,,,
107573892,07/23/2014,,,,,57.2,,59,,,,,,
18138299,08/19/2014,2,NO,0.6,,,67,,,,,,,
1,08/21/2014,,,,61.5,,,,66,,,,,
107573897,08/21/2014,,,,,83.6,,62,,,,,,
18138299,09/16/2014,2.3,NO,0.7,,,65,,,,,,,
1,09/18/2014,,,,27.7,,,,60,,,,,
107573892,09/18/2014,,,,,91.1,,63,,,,,,
18138299,10/20/2014,3,NO,0.9,,,61,,,,,,,
107573892,10/20/2014,,,,,59.9,,60,,,,,,
1,01/19/2015,,,,,58.5,,60,,,,,,
18138299,01/19/2015,4.9,NO,1.5,,,54,,,,,,,
18138299,02/17/2015,5,NO,1.5,,,54,,,,,,,
1,03/31/2015,,,,26.3,,,,60,,,,,
18138299,03/31/2015,3.7,NO,1.1,,33.6,58,55,,,,,,
1,05/18/2015,,,,,54.7,,59,,,,,,
18138299,05/18/2015,3,NO,0.9,25.1,,61,,59,,,,,
1,06/17/2015,,,,,52.3,,59,,,,,,
18138299,06/17/2015,2.5,NO,0.8,38.5,,64,,62,,,,,
1,07/28/2015,,,,32.4,89.1,,63,61,,,,,
18138299,07/28/2015,2.5,NO,0.8,,,64,,,,,,,
1,08/24/2015,,,,60,,,,66,,,,,
18138299,08/24/2015,2.8,NO,0.9,,77.8,62,62,,,,,,
1,09/21/2015,,,,57.3,64.5,,60,65,,,,,
18138299,09/21/2015,2.2,NO,0.7,,,66,,,,,,,
1,10/13/2015,,,,,59.5,,60,,,,,,
18138299,10/13/2015,2.5,NO,0.8,,,64,,,,,,,
18138299,05/17/2016,3.4,NO,1,,60.2,59,60,,,,,,
18138299,06/13/2016,3.75,,1.1,,,58,,,,,,,
18138299,07/16/2016,2.5,NO,0.8,,,64,,,,,,,
1,07/19/2016,,,,33,66.8,,61,61,,,,,
1,08/22/2016,,,,,96.6,,64,,,,,,
18138299,08/22/2016,2.2,NO,0.7,56.1,,66,,65,,,,,
18138299,09/26/2016,2,NO,0.6,,,67,,,,,,,
107573892,09/28/2016,,,,48,87.5,,63,64,,,,,
18138299,04/14/2017,2.6,NO,0.8,,,63,,,,,,,
18138299,05/31/2017,2.5,NO,0.8,,,64,,,,,,,
107573892,05/31/2017,,,,20,,,,57,,,,,
18138299,06/21/2017,3.3,NO,1,,,60,,,,,,,
