Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Tiger Cat Flowage,Sawyer,2435000,NO,58,,583105,CE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189234,09/22/1997,6,NO,1.8,,,51,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189247,07/11/1998,9.5,NO,2.9,,,45,,,NO CHANGE,,CLEAR,GREEN,2-Very minor aesthetic problems
8189344,08/11/1998,7,NO,2.1,,,49,,,NO CHANGE,,,BROWN,
8189344,08/26/1998,6.5,NO,2,,,50,,,LOW,,,BLUE,
8189344,09/25/1998,7,NO,2.1,,,49,,,LOW,,,BLUE,
8189344,10/01/1998,6.5,NO,2,,,50,,,LOW,,,BROWN,
8189247,04/24/1999,10,NO,3,,,44,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189344,05/21/1999,10.5,NO,3.2,,,43,,,,,CLEAR,,2-Very minor aesthetic problems
8189344,06/12/1999,10.5,NO,3.2,,,43,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189344,06/25/1999,11,NO,3.3,,,43,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189344,07/11/1999,10,NO,3,,,44,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189344,08/01/1999,9,NO,2.7,,,45,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189344,08/20/1999,9,NO,2.7,,,45,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8189344,09/11/1999,8,NO,2.4,,,47,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8189344,09/29/1999,8.5,NO,2.6,,,46,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
7000017,04/18/2000,12,,3.6,,13,41,48,,,,,,
8189344,05/26/2000,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189344,07/03/2000,10.25,YES,3.1,,,44,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189344,07/19/2000,10,NO,3,,,44,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189344,07/27/2000,10,NO,3,,,44,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
7000017,08/08/2000,12,,3.6,4,14,41,49,45,,,,,
8189344,08/10/2000,12,NO,3.6,,,41,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189344,08/23/2000,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189344,09/17/2000,10,NO,3,,,44,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189344,09/21/2000,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189344,06/28/2001,12,NO,3.6,,,41,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189344,07/17/2001,11,NO,3.3,,,43,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189344,07/30/2001,9,NO,2.7,,,45,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8189344,08/23/2001,10,NO,3,,,44,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189344,09/03/2001,8.5,NO,2.6,,,46,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189344,09/21/2001,11,NO,3.3,,,43,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189344,09/27/2001,12,NO,3.6,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189344,06/15/2002,12.5,NO,3.8,,,41,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189344,07/02/2002,11.5,NO,3.5,,,42,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189344,07/14/2002,10.5,NO,3.2,,,43,,,NORMAL,,MURKY,BLUE,2-Very minor aesthetic problems
8189344,08/07/2002,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189344,08/25/2002,10,NO,3,,,44,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8189344,09/13/2002,9,NO,2.7,,,45,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189344,09/27/2002,10,NO,3,,,44,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189344,06/15/2003,11,NO,3.3,,,43,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189344,06/18/2003,11.75,NO,3.6,,,42,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189344,07/04/2003,10.25,NO,3.1,,,44,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189344,07/23/2003,8,NO,2.4,,,47,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8189344,08/13/2003,9.5,NO,2.9,,,45,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8189344,09/01/2003,7,NO,2.1,,,49,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189344,09/06/2003,7.5,NO,2.3,,,48,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189344,06/29/2004,7,NO,2.1,,,49,,,HIGH,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189344,07/17/2004,9,NO,2.7,,,45,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8189344,08/01/2004,8.5,NO,2.6,,,46,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8189344,08/13/2004,7,NO,2.1,,,49,,,NORMAL,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189344,08/23/2004,8,NO,2.4,,,47,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8189344,09/01/2004,9,NO,2.7,,,45,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8188593,09/10/2004,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189344,09/12/2004,9.5,NO,2.9,,,45,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
8189344,09/19/2004,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189344,09/25/2004,10.5,NO,3.2,,,43,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8189247,10/25/2005,16,NO,4.9,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8188593,05/29/2007,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188593,06/05/2007,10,NO,3,,,44,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188593,06/09/2007,9.5,NO,2.9,2.81,23,45,52,43,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188593,07/15/2007,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
8188593,07/25/2007,10,NO,3,2.14,12,44,47,41,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
25475360,07/20/2008,9.5,NO,2.9,3.38,11,45,47,44,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
25475360,08/24/2008,7,NO,2.1,10.1,8,49,44,52,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
25475360,09/15/2008,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,YELLOW,2-Very minor aesthetic problems
25475360,05/08/2009,8.5,NO,2.6,,,46,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
25475360,05/21/2009,9.75,NO,3,,,44,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
25475360,05/25/2009,12.5,NO,3.8,,16,41,50,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
25475360,06/10/2009,8.5,NO,2.6,,,46,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
25475360,06/18/2009,9.75,NO,3,,,44,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
25475360,06/25/2009,10.5,NO,3.2,,,43,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
25475360,06/30/2009,7,NO,2.1,5.42,16,49,50,48,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
25475360,07/13/2009,8.5,NO,2.6,,,46,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
25475360,07/22/2009,10,NO,3,3.26,12,44,47,44,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
25475360,08/06/2009,11,NO,3.3,,,43,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
25475360,08/22/2009,9,NO,2.7,,,45,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
25475360,08/26/2009,,,,3.13,11,,47,43,,,,,
25475360,08/27/2009,12,NO,3.6,,,41,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
25475360,09/08/2009,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
25475360,09/30/2009,9,NO,2.7,,,45,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
25475360,10/05/2009,10.5,NO,3.2,,,43,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
25475360,05/17/2010,11.5,NO,3.5,,11,42,47,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
25475360,05/31/2010,12,NO,3.6,,,41,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
25475360,06/07/2010,13,NO,4,,,40,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
25475360,06/13/2010,10.5,NO,3.2,,,43,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
25475360,06/16/2010,9.5,NO,2.9,,,45,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
25475360,06/28/2010,,,,4.05,11,,47,45,,,,,
25475360,07/07/2010,11.5,NO,3.5,,,42,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
25475360,07/24/2010,11,NO,3.3,,,43,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
