Lake Water Quality Report - 1950 to 2017


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Johnson Lake,Sawyer,1856700,NO,58,,583134,CE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8189016,10/04/1999,10,NO,3,,,44,,,NO CHANGE,,CLEAR,,1-Beautiful, could not be nicer
8189053,10/15/1999,8.25,NO,2.5,,,47,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8189053,10/25/1999,13,NO,4,,,40,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8189053,04/25/2000,14,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189053,05/05/2000,15.5,NO,4.7,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189016,05/15/2000,16.5,NO,5,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189053,05/31/2000,16.25,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189053,06/08/2000,15.25,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189053,06/17/2000,15,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189016,06/25/2000,15.5,NO,4.7,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189016,07/04/2000,15.5,NO,4.7,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189016,07/11/2000,11,NO,3.3,,,43,,,HIGH,,MURKY,BLUE,2-Very minor aesthetic problems
8189016,07/17/2000,15,NO,4.6,,,38,,,HIGH,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189016,07/22/2000,14.5,NO,4.4,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
8189016,07/27/2000,10.5,NO,3.2,,,43,,,HIGH,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189053,08/03/2000,11,NO,3.3,,,43,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8189053,08/16/2000,11.75,NO,3.6,,,42,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,08/23/2000,12.5,NO,3.8,,,41,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189016,08/28/2000,11.5,NO,3.5,,,42,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,09/07/2000,12.5,NO,3.8,,,41,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189016,09/13/2000,14.5,NO,4.4,,,39,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,09/21/2000,12.5,NO,3.8,,,41,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,09/29/2000,14.5,NO,4.4,,,39,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189016,10/16/2000,12.75,NO,3.9,,,40,,,NORMAL,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,05/12/2001,15,NO,4.6,,,38,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,05/23/2001,10,NO,3,,,44,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189016,05/30/2001,14,NO,4.3,,,39,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189016,06/08/2001,15.75,NO,4.8,,,37,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,06/20/2001,13.5,NO,4.1,,,40,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,06/28/2001,14,NO,4.3,,,39,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189016,07/05/2001,14,NO,4.3,,,39,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,07/16/2001,17,NO,5.2,,,36,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189016,07/31/2001,13.25,NO,4,,,40,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,09/03/2001,14,NO,4.3,,,39,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,09/20/2001,15.75,NO,4.8,,,37,,,NORMAL,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,10/02/2001,17.25,NO,5.2,,,36,,,NORMAL,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,05/21/2002,13.75,NO,4.2,,,39,,,HIGH,,CLEAR,YELLOW,2-Very minor aesthetic problems
8189053,05/30/2002,14.75,NO,4.5,,,38,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,06/12/2002,15,NO,4.6,,,38,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,06/25/2002,13,NO,4,,,40,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189016,07/03/2002,13,NO,4,,,40,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189016,07/11/2002,14.5,NO,4.4,,,39,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,07/19/2002,13,NO,4,,,40,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,07/26/2002,13,NO,4,,,40,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,08/11/2002,14.75,NO,4.5,,,38,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,08/20/2002,14,NO,4.3,,,39,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,08/27/2002,12.75,NO,3.9,,,40,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189016,09/12/2002,15.5,NO,4.7,,,38,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189016,09/30/2002,11.75,NO,3.6,,,42,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,05/07/2003,11.5,NO,3.5,,,42,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,05/29/2003,15.5,NO,4.7,,,38,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,06/11/2003,15.75,YES,4.8,,,37,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,06/18/2003,13,NO,4,,,40,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,06/30/2003,15,NO,4.6,,,38,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,07/16/2003,12,NO,3.6,,,41,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,07/23/2003,16,NO,4.9,,,37,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,08/09/2003,16.25,NO,4.9,,,37,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,08/22/2003,15,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,08/30/2003,13,NO,4,,,40,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,09/06/2003,15.5,NO,4.7,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,09/16/2003,13.25,NO,4,,,40,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,10/07/2003,16.25,NO,4.9,,,37,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,06/03/2004,19.5,YES,5.9,,,34,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,06/15/2004,15.75,NO,4.8,,,37,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,06/28/2004,15,NO,4.6,,,38,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,07/07/2004,15.75,NO,4.8,,,37,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,07/19/2004,13,NO,4,,,40,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,07/29/2004,14.75,NO,4.5,,,38,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,08/22/2004,14.5,NO,4.4,,,39,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,08/31/2004,13.25,NO,4,,,40,,,HIGH,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,09/11/2004,12.75,NO,3.9,,,40,,,LOW,,CLEAR,YELLOW,1-Beautiful, could not be nicer
8189053,06/09/2005,15.75,NO,4.8,,,37,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,06/25/2005,15.25,NO,4.6,,,38,,,NORMAL,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,07/09/2005,13.5,NO,4.1,,,40,,,NORMAL,1.6,CLEAR,GREEN,1-Beautiful, could not be nicer
8189053,08/15/2005,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
8190659,06/14/2006,9,NO,2.7,,,42,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
8190659,07/12/2006,1,NO,0.3,,,77,,,HIGH,,MURKY,GREEN,1-Beautiful, could not be nicer
8190659,07/26/2006,12.5,NO,3.8,,,41,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8190659,08/27/2006,13,NO,4,,,40,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18138783,06/13/2007,13.5,NO,4.1,,,40,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18138783,06/21/2007,13.5,NO,4.1,,,40,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18138783,07/27/2007,14,NO,4.3,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18138783,07/28/2007,14.5,NO,4.4,,,39,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
18138783,08/11/2007,14.75,NO,4.5,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
29834339,07/31/2009,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
29834339,08/17/2009,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
29834339,09/09/2009,18,NO,5.5,,,35,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
29834339,05/20/2010,18,NO,5.5,,,35,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
29834339,05/29/2010,18,NO,5.5,,,35,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
29834339,06/20/2010,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
29834339,07/19/2010,15,NO,4.6,,,38,,,LOW,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
29834339,10/07/2010,20,NO,6.1,,,34,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
29834339,06/08/2011,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,07/03/2011,17.5,NO,5.3,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,07/26/2011,17,NO,5.2,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,08/03/2011,17,NO,5.2,,,36,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
29834339,09/05/2011,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
29834339,09/28/2011,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
29834339,06/10/2012,13,NO,4,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,06/18/2012,12,NO,3.6,,,41,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,07/04/2012,16,NO,4.9,,,37,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,07/11/2012,15,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,07/18/2012,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
29834339,07/22/2012,,YES,,,,,,,,,,,
29834339,07/26/2012,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
29834339,08/13/2012,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
29834339,08/29/2012,14,YES,4.3,,,39,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
29834339,09/06/2012,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,09/15/2012,15,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,09/30/2012,17,NO,5.2,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,06/14/2013,17,NO,5.2,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,07/01/2013,17,NO,5.2,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,08/16/2013,16,NO,4.9,,,37,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,09/16/2013,14,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,06/26/2014,14.5,NO,4.4,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
29834339,07/18/2014,12,NO,3.6,,,41,,,HIGH,,MURKY,BLUE,1-Beautiful, could not be nicer
29834339,07/25/2014,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer
